time,tavg,tmin,tmax,prcp,snow
1996-01-01,-30.9,,-24.9,0.0,
1996-01-02,-33.5,-37.0,-26.8,0.0,
1996-01-03,-30.3,-36.4,,0.0,
1996-01-04,-30.6,-32.0,-28.0,,
1996-01-05,,,,,
1996-01-06,-34.9,-40.6,-27.1,0.0,
1996-01-07,-35.9,-40.6,-31.7,0.0,
1996-01-08,-34.9,-38.1,-31.7,0.0,
1996-01-09,-35.4,-37.7,-31.7,0.0,
1996-01-10,-36.8,-40.0,-31.7,0.0,
1996-01-11,-33.9,-40.2,-31.5,0.0,
1996-01-12,-34.6,,-31.5,0.0,
1996-01-13,-38.5,-40.7,-31.9,0.0,
1996-01-14,-39.4,-43.0,-34.0,0.0,
1996-01-15,-33.6,-43.0,-30.0,0.0,
1996-01-16,-30.9,-35.5,-28.7,0.0,
1996-01-17,-30.0,-33.8,-25.6,0.0,
1996-01-18,-25.0,-33.1,,2.0,
1996-01-19,-27.0,-31.5,-22.5,2.0,
1996-01-20,-24.1,-31.7,-22.0,3.0,
1996-01-21,-32.2,-36.0,-22.0,0.0,
1996-01-22,-28.2,-36.0,-23.5,0.0,
1996-01-23,-26.7,-34.0,-21.6,0.5,
1996-01-24,-31.2,,-22.5,0.0,
1996-01-25,-33.9,-37.1,-27.0,0.0,
1996-01-26,-33.6,-37.1,-28.4,0.0,
1996-01-27,-33.7,-36.9,-28.7,0.0,
1996-01-28,-27.1,-36.9,-24.4,0.0,
1996-01-29,-30.3,-34.5,-24.4,0.0,
1996-01-30,-35.0,-37.2,-26.6,0.0,
1996-01-31,-30.9,-37.2,-26.4,0.0,
1996-02-01,-33.8,-37.1,-26.7,0.0,
1996-02-02,-31.7,-36.5,-28.5,0.0,
1996-02-03,-30.2,-36.0,-27.1,0.0,
1996-02-04,-35.5,-39.7,-27.2,0.0,
1996-02-05,-34.7,-39.7,-32.8,0.0,
1996-02-06,-33.4,-37.3,-30.9,0.0,
1996-02-07,-32.5,-36.1,-29.4,0.0,
1996-02-08,-31.7,-35.4,-28.8,0.0,
1996-02-09,-29.1,-35.4,-14.3,0.0,
1996-02-10,-22.8,-35.5,-17.8,4.1,
1996-02-11,-29.7,-35.4,-17.8,0.0,
1996-02-12,-33.7,-37.0,-27.7,0.0,
1996-02-13,-32.4,-38.6,-28.4,0.0,
1996-02-14,-34.5,-36.0,-28.4,0.0,
1996-02-15,-32.3,-36.6,-27.0,0.0,
1996-02-16,-27.1,-33.8,-24.1,0.0,
1996-02-17,-29.8,-32.9,-24.1,0.0,
1996-02-18,-26.4,-32.3,-22.0,0.0,
1996-02-19,-27.8,-32.3,-20.8,0.0,
1996-02-20,-14.2,-17.0,-9.6,2.0,
1996-02-21,-20.1,-26.4,-9.6,0.0,
1996-02-22,-26.5,-30.0,-15.2,0.0,
1996-02-23,-25.4,-30.2,-19.3,1.0,
1996-02-24,-29.3,-33.3,-19.3,0.0,
1996-02-25,-32.3,-37.0,-26.8,0.0,
1996-02-26,-36.6,-38.8,-28.0,0.0,
1996-02-27,-34.6,-39.1,-26.0,0.0,
1996-02-28,-27.8,-38.2,-25.4,0.0,
1996-02-29,-33.5,-35.4,-25.9,0.0,
1996-03-01,-33.4,-36.6,-31.5,0.0,
1996-03-02,-28.2,-36.3,-23.0,0.0,
1996-03-03,-25.3,-30.2,-20.4,0.0,
1996-03-04,-28.4,-31.9,-20.4,0.0,
1996-03-05,-27.4,-32.0,-25.3,0.5,
1996-03-06,-31.4,-37.4,-25.3,0.0,
1996-03-07,-38.0,-40.1,-37.0,0.0,
1996-03-08,-35.1,-41.2,-29.7,0.5,
1996-03-09,-30.9,-41.2,-24.0,0.0,
1996-03-10,-32.9,-36.8,-23.7,0.0,
1996-03-11,-34.9,-37.0,-29.3,0.0,
1996-03-12,-34.2,-37.5,-31.7,0.0,
1996-03-13,-38.3,-40.8,-32.9,0.0,
1996-03-14,-32.1,-40.8,-22.9,0.5,
1996-03-15,-30.8,-38.1,-22.0,0.0,
1996-03-16,-30.5,-35.6,-21.0,1.0,
1996-03-17,-24.6,-35.6,-15.0,6.1,
1996-03-18,-17.3,,,3.0,
1996-03-19,-22.4,-37.0,-11.2,0.0,
1996-03-20,-37.2,-40.5,-26.8,0.0,
1996-03-21,-38.4,-42.6,-35.0,0.0,
1996-03-22,-36.8,-42.6,-33.6,0.0,
1996-03-23,-38.5,-41.3,-32.9,0.0,
1996-03-24,-33.3,,,,
1996-03-25,-33.3,-36.4,-29.3,0.0,
1996-03-26,-32.9,-36.0,-29.3,0.0,
1996-03-27,-30.0,-35.1,-25.9,0.0,
1996-03-28,-25.7,-32.9,-23.7,0.0,
1996-03-29,-25.1,-27.2,-21.0,0.0,
1996-03-30,-25.5,-27.2,-20.0,0.5,
1996-03-31,-26.7,-31.0,-24.4,3.0,
1996-04-01,-28.6,-34.4,,0.0,
1996-04-02,-22.1,-25.0,-18.5,0.0,
1996-04-03,-23.4,-26.0,-18.3,0.0,
1996-04-04,-27.2,-29.0,-19.0,0.0,
1996-04-05,-27.1,-31.1,-24.0,0.0,
1996-04-06,-26.2,-31.1,-22.7,0.0,
1996-04-07,-25.8,-30.3,-22.2,0.0,
1996-04-08,-27.7,-31.5,-22.2,0.0,
1996-04-09,-22.2,-31.5,-15.0,2.0,
1996-04-10,-21.4,-27.6,-15.1,0.0,
1996-04-11,-22.3,-26.0,-15.7,0.0,
1996-04-12,-23.4,-27.0,-18.3,0.0,
1996-04-13,-23.9,-26.6,-20.6,0.0,
1996-04-14,-23.6,-27.4,,0.0,
1996-04-15,-21.4,,-17.3,0.0,
1996-04-16,-24.3,-29.0,-19.1,0.0,
1996-04-17,-26.3,-29.5,-22.4,0.0,
1996-04-18,-23.3,-29.3,,0.0,
1996-04-19,-25.2,-27.2,-22.4,0.0,
1996-04-20,-23.9,-27.5,-19.2,0.0,
1996-04-21,-21.9,-26.3,-19.2,0.0,
1996-04-22,-16.2,-24.2,-13.4,0.0,
1996-04-23,-19.0,-20.4,-13.4,0.0,
1996-04-24,-21.1,-26.0,-18.1,0.0,
1996-04-25,-23.1,-25.0,-18.1,0.0,
1996-04-26,-16.2,-25.5,-12.0,0.0,
1996-04-27,-17.8,-21.3,-11.6,0.0,
1996-04-28,-17.0,-20.9,-13.7,0.0,
1996-04-29,-18.2,-21.6,-13.7,0.0,
1996-04-30,-17.8,-21.6,-16.6,0.0,
1996-05-01,-17.9,-22.0,-15.5,0.0,
1996-05-02,-20.7,-25.0,-15.5,0.0,
1996-05-03,-17.0,-24.0,-13.9,0.0,
