time,tavg,tmin,tmax,prcp,snow
2021-01-01,20.2,13.0,24.5,4.3,
2021-01-02,19.4,16.3,24.4,0.8,
2021-01-03,18.5,16.7,20.8,21.2,
2021-01-04,19.3,15.8,22.6,1.2,
2021-01-05,20.3,15.8,24.3,0.3,
2021-01-06,19.9,15.6,24.2,0.0,
2021-01-07,19.1,15.2,23.0,1.5,
2021-01-08,19.1,17.2,21.5,18.7,
2021-01-09,19.2,15.7,22.9,0.8,
2021-01-10,18.7,15.4,21.4,0.3,
2021-01-11,18.2,15.2,20.6,0.2,
2021-01-12,18.9,13.9,23.1,0.6,
2021-01-13,20.0,17.2,22.6,2.6,
2021-01-14,19.9,15.8,24.1,0.4,
2021-01-15,19.2,16.0,22.2,0.0,
2021-01-16,19.1,14.9,23.0,0.0,
2021-01-17,19.2,15.0,23.7,1.7,
2021-01-18,18.7,17.2,20.6,0.5,
2021-01-19,19.7,16.7,22.7,2.3,
2021-01-20,16.6,13.9,18.9,2.9,
2021-01-21,15.9,13.3,18.5,0.1,
2021-01-22,17.3,14.6,20.3,0.1,
2021-01-23,17.8,14.6,21.3,0.2,
2021-01-24,19.4,16.8,21.5,1.8,
2021-01-25,19.6,16.5,22.6,0.0,
2021-01-26,20.6,18.1,23.6,0.0,
2021-01-27,20.7,16.8,25.8,0.0,
2021-01-28,20.0,17.3,22.9,0.3,
2021-01-29,17.3,15.4,19.1,0.0,
2021-01-30,17.8,13.8,22.3,0.2,
2021-01-31,18.1,13.4,22.7,0.0,
2021-02-01,18.6,13.5,23.7,0.0,
2021-02-02,19.0,15.0,23.2,0.8,
2021-02-03,19.2,13.6,24.9,0.0,
2021-02-04,19.6,14.9,24.1,0.0,
2021-02-05,19.3,16.6,22.7,1.3,
2021-02-06,19.6,16.3,22.5,0.1,
2021-02-07,19.6,16.8,23.3,0.1,
2021-02-08,19.0,15.1,22.5,0.0,
2021-02-09,20.7,17.5,25.2,1.2,
2021-02-10,19.4,16.2,25.1,10.6,
2021-02-11,17.9,16.2,20.6,0.4,
2021-02-12,17.6,14.8,20.6,0.0,
2021-02-13,18.6,13.3,23.0,0.0,
2021-02-14,19.9,16.8,23.5,0.0,
2021-02-15,20.2,18.7,22.2,37.7,
2021-02-16,20.0,19.0,21.1,5.4,
2021-02-17,18.9,16.2,22.9,0.5,
2021-02-18,16.4,12.8,20.0,0.0,
2021-02-19,17.1,13.5,21.2,0.0,
2021-02-20,17.5,13.5,22.5,0.0,
2021-02-21,18.3,13.5,24.2,0.0,
2021-02-22,18.6,14.5,22.2,0.0,
2021-02-23,20.3,18.5,23.0,0.2,
2021-02-24,20.2,17.9,22.8,0.1,
2021-02-25,20.0,16.4,23.1,0.1,
2021-02-26,19.3,16.8,22.2,1.0,
2021-02-27,19.4,16.8,22.3,0.1,
2021-02-28,19.2,16.3,22.4,0.6,
2021-03-01,19.0,16.7,22.0,18.3,
2021-03-02,19.4,16.4,23.4,15.5,
2021-03-03,19.5,17.9,21.6,10.2,
2021-03-04,18.6,16.5,21.6,2.9,
2021-03-05,18.0,14.4,21.5,1.1,
2021-03-06,18.0,13.9,22.2,3.0,
2021-03-07,17.6,15.4,20.0,1.7,
2021-03-08,17.7,16.3,19.3,0.0,
2021-03-09,17.3,14.0,20.1,0.0,
2021-03-10,17.3,13.1,20.5,2.0,
2021-03-11,18.3,15.3,21.0,11.1,
2021-03-12,17.9,14.2,22.6,0.2,
2021-03-13,17.7,14.2,21.4,0.0,
2021-03-14,17.7,13.7,22.5,0.0,
2021-03-15,18.7,16.2,22.1,1.5,
2021-03-16,18.2,14.8,21.6,0.9,
2021-03-17,17.9,13.6,21.2,0.3,
2021-03-18,17.7,15.7,20.0,2.4,
2021-03-19,16.8,14.2,19.8,0.3,
2021-03-20,16.2,12.4,20.9,0.1,
2021-03-21,15.9,11.5,20.4,0.0,
2021-03-22,16.4,12.2,21.6,0.0,
2021-03-23,16.8,12.4,21.0,0.0,
2021-03-24,16.6,12.3,22.0,0.0,
2021-03-25,16.9,11.8,22.5,0.2,
2021-03-26,17.3,14.1,20.3,2.0,
2021-03-27,18.4,16.8,20.9,1.0,
2021-03-28,19.2,17.1,22.2,0.6,
2021-03-29,18.8,17.3,21.9,22.5,
2021-03-30,18.9,16.7,21.2,17.1,
2021-03-31,18.6,14.6,21.6,16.2,
2021-04-01,16.2,13.1,20.2,10.6,
2021-04-02,16.4,11.8,19.6,1.0,
2021-04-03,16.5,13.3,19.4,0.7,
2021-04-04,15.7,11.6,20.0,0.3,
2021-04-05,17.4,14.5,20.3,0.1,
2021-04-06,18.5,15.6,21.3,0.2,
2021-04-07,17.3,13.8,21.0,0.0,
2021-04-08,16.8,13.8,19.4,2.3,
2021-04-09,17.7,15.6,19.4,0.4,
2021-04-10,18.4,17.2,19.8,19.8,
2021-04-11,18.7,15.5,21.9,0.0,
2021-04-12,18.4,15.1,22.7,0.7,
