time,tavg,tmin,tmax,prcp,snow
1960-01-01,6.4,3.2,8.2,0.0,0.0
1960-01-02,8.1,6.6,9.0,1.9,0.0
1960-01-03,5.4,3.7,7.8,0.0,0.0
1960-01-04,3.9,3.5,5.2,0.0,0.0
1960-01-05,6.0,3.4,7.5,8.8,0.0
1960-01-06,4.0,2.4,7.4,4.6,0.0
1960-01-07,3.5,0.9,5.8,4.3,0.0
1960-01-08,0.9,-0.4,2.8,0.5,0.0
1960-01-09,-3.9,-5.7,-0.4,0.0,0.0
1960-01-10,-4.8,-6.3,-3.2,2.7,10.0
1960-01-11,-5.4,-7.9,-2.0,0.8,50.0
1960-01-12,-6.2,-10.3,-3.3,1.9,80.0
1960-01-13,-5.6,-8.3,-4.3,5.5,100.0
1960-01-14,-8.1,-10.0,-2.5,0.3,180.0
1960-01-15,-9.2,-14.0,-7.0,0.1,180.0
1960-01-16,-3.8,-7.2,-2.7,2.0,180.0
1960-01-17,-4.0,-5.3,-1.0,0.3,170.0
1960-01-18,-1.6,-6.2,-0.6,0.0,120.0
1960-01-19,3.2,-2.0,3.9,2.1,90.0
1960-01-20,1.4,-0.3,3.4,3.7,60.0
1960-01-21,0.0,-0.7,2.0,0.2,60.0
1960-01-22,0.8,-1.6,2.3,0.0,60.0
1960-01-23,3.3,0.9,6.8,0.0,40.0
1960-01-24,3.6,1.6,6.8,0.0,0.0
1960-01-25,4.3,1.2,8.6,0.4,0.0
1960-01-26,4.8,0.8,9.1,0.0,0.0
1960-01-27,3.3,1.9,4.7,0.1,0.0
1960-01-28,2.9,1.8,3.7,3.6,0.0
1960-01-29,5.0,3.3,7.5,1.1,0.0
1960-01-30,0.0,-1.4,4.1,0.4,0.0
1960-01-31,-5.0,-6.2,-1.3,0.0,0.0
1960-02-01,-6.0,-8.4,-2.7,0.0,0.0
1960-02-02,-7.6,-11.0,-2.7,0.0,0.0
1960-02-03,-5.4,-10.8,-2.1,0.0,0.0
1960-02-04,-4.6,-7.3,-1.1,0.0,0.0
1960-02-05,-4.4,-7.0,-3.0,0.0,0.0
1960-02-06,-7.9,-10.6,-3.4,0.0,0.0
1960-02-07,-8.0,-12.7,-3.6,0.0,0.0
1960-02-08,-5.5,-11.8,-1.1,0.0,0.0
1960-02-09,-2.1,-9.3,3.3,0.0,0.0
1960-02-10,0.5,-5.7,2.4,0.4,0.0
1960-02-11,1.5,-0.2,3.2,0.3,0.0
1960-02-12,1.3,0.8,3.0,0.3,0.0
1960-02-13,0.2,-0.4,1.2,0.0,0.0
1960-02-14,1.5,-1.8,3.8,3.3,0.0
1960-02-15,0.5,-0.3,3.6,0.3,0.0
1960-02-16,0.0,-2.4,2.7,0.6,0.0
1960-02-17,0.6,-0.2,3.3,0.0,10.0
1960-02-18,-0.2,-3.8,3.4,0.0,0.0
1960-02-19,1.5,-4.0,5.2,0.0,0.0
1960-02-20,3.2,-0.4,6.8,0.0,0.0
1960-02-21,4.1,2.2,8.7,2.4,0.0
1960-02-22,2.4,-1.4,5.7,0.0,0.0
1960-02-23,4.6,1.3,9.3,1.8,0.0
1960-02-24,1.2,0.0,3.6,4.9,0.0
1960-02-25,-0.2,-0.8,0.9,0.0,0.0
1960-02-26,-2.6,-3.3,-0.6,0.0,0.0
1960-02-27,3.8,-4.5,7.6,2.6,0.0
1960-02-28,8.3,3.6,10.0,0.0,0.0
1960-02-29,8.3,7.2,10.8,0.0,0.0
1960-03-01,4.4,3.8,7.2,4.6,0.0
1960-03-02,8.1,3.0,11.7,2.6,0.0
1960-03-03,7.1,6.0,10.5,1.9,0.0
1960-03-04,6.5,4.4,8.2,1.3,0.0
1960-03-05,3.2,2.4,7.0,0.0,0.0
1960-03-06,0.0,-2.2,3.8,0.0,0.0
1960-03-07,-1.6,-3.2,1.4,0.0,0.0
1960-03-08,-2.9,-7.2,-0.6,0.3,0.0
1960-03-09,0.8,-5.0,5.5,0.0,0.0
1960-03-10,4.4,-1.2,8.6,0.0,0.0
1960-03-11,6.7,1.1,11.3,0.0,0.0
1960-03-12,6.4,4.1,8.6,2.7,0.0
1960-03-13,4.2,2.8,6.6,1.9,0.0
1960-03-14,5.3,2.9,9.0,0.0,0.0
1960-03-15,3.5,1.4,6.6,0.0,0.0
1960-03-16,1.8,0.4,3.4,0.0,0.0
1960-03-17,1.6,0.9,3.0,0.1,0.0
1960-03-18,0.4,0.0,1.3,0.0,0.0
1960-03-19,1.0,-0.2,1.5,0.4,0.0
1960-03-20,2.4,0.4,3.9,0.0,0.0
1960-03-21,1.8,-0.3,5.3,0.0,0.0
1960-03-22,5.5,-1.6,11.0,0.0,0.0
1960-03-23,6.8,1.1,12.7,0.0,0.0
1960-03-24,4.6,-1.2,9.6,0.0,0.0
1960-03-25,7.8,1.0,13.6,0.0,0.0
1960-03-26,9.3,3.4,14.0,0.0,0.0
1960-03-27,9.8,6.8,16.9,0.0,0.0
1960-03-28,5.6,3.6,8.5,0.2,0.0
1960-03-29,5.6,3.0,6.9,0.0,0.0
1960-03-30,6.9,2.0,12.6,0.0,0.0
1960-03-31,4.8,-0.3,9.6,0.0,0.0
1960-04-01,4.3,-1.6,10.2,0.0,0.0
1960-04-02,6.6,-1.9,13.4,0.0,0.0
1960-04-03,8.6,0.8,15.4,0.0,0.0
1960-04-04,4.8,1.6,11.6,0.0,0.0
1960-04-05,5.0,-1.0,10.4,0.0,0.0
1960-04-06,3.8,-1.6,9.2,0.0,0.0
1960-04-07,5.3,-1.0,10.5,0.0,0.0
1960-04-08,6.7,1.2,9.9,9.3,0.0
1960-04-09,6.8,5.3,9.7,0.3,0.0
1960-04-10,8.2,5.1,11.6,4.4,0.0
1960-04-11,8.7,6.2,12.0,0.0,0.0
1960-04-12,8.5,6.0,12.5,0.0,0.0
1960-04-13,12.7,5.6,16.9,0.0,0.0
1960-04-14,9.0,7.0,13.6,0.1,0.0
1960-04-15,7.2,3.6,12.1,0.3,0.0
1960-04-16,6.8,2.0,10.6,0.0,0.0
1960-04-17,9.0,2.8,14.2,0.0,0.0
1960-04-18,11.6,4.9,17.1,0.0,0.0
1960-04-19,16.6,8.2,22.5,0.0,0.0
1960-04-20,16.2,9.0,21.4,0.0,0.0
1960-04-21,11.6,9.0,19.4,0.0,0.0
1960-04-22,8.7,5.5,10.5,0.0,0.0
1960-04-23,6.0,5.1,9.5,0.2,0.0
1960-04-24,4.4,2.9,7.8,1.6,0.0
1960-04-25,5.0,0.6,12.0,3.0,0.0
1960-04-26,4.1,1.0,8.4,1.3,0.0
1960-04-27,6.2,0.8,9.2,1.9,0.0
1960-04-28,3.6,2.4,6.8,2.0,0.0
1960-04-29,6.8,0.8,11.6,0.0,0.0
1960-04-30,7.2,4.3,9.7,0.0,0.0
1960-05-01,6.3,3.6,9.7,0.0,0.0
1960-05-02,6.8,0.8,10.3,0.1,0.0
1960-05-03,8.4,1.6,12.0,0.0,0.0
1960-05-04,12.6,4.0,17.9,0.0,0.0
1960-05-05,15.4,6.4,20.6,0.0,0.0
1960-05-06,16.7,8.8,22.0,0.0,0.0
1960-05-07,16.3,8.2,21.1,0.0,0.0
1960-05-08,15.8,9.0,21.5,0.0,0.0
1960-05-09,16.1,10.2,20.0,0.6,0.0
1960-05-10,14.8,12.2,19.0,2.9,0.0
1960-05-11,16.0,11.2,20.8,0.1,0.0
1960-05-12,15.2,9.6,21.2,0.0,0.0
1960-05-13,17.9,11.8,23.8,0.0,0.0
1960-05-14,17.8,13.0,23.0,0.0,0.0
1960-05-15,19.4,12.5,24.0,0.0,0.0
1960-05-16,18.7,14.4,23.4,0.3,0.0
1960-05-17,18.2,13.4,24.2,3.8,0.0
1960-05-18,18.3,14.4,23.6,0.0,0.0
1960-05-19,13.6,9.9,18.3,2.3,0.0
1960-05-20,15.9,11.9,20.1,0.0,0.0
1960-05-21,17.8,9.9,21.9,0.5,0.0
1960-05-22,13.9,11.9,18.0,0.0,0.0
1960-05-23,13.4,9.3,17.0,0.0,0.0
1960-05-24,14.9,7.5,23.7,4.0,0.0
1960-05-25,11.0,6.6,14.0,0.0,0.0
1960-05-26,10.6,6.2,13.4,0.4,0.0
1960-05-27,13.0,5.8,16.5,0.0,0.0
1960-05-28,15.8,9.9,19.7,0.0,0.0
1960-05-29,16.7,12.1,20.8,0.0,0.0
1960-05-30,13.4,11.4,17.7,5.7,0.0
1960-05-31,14.7,11.0,18.2,0.0,0.0
1960-06-01,16.4,10.4,20.2,0.0,0.0
1960-06-02,17.0,10.8,22.5,0.0,0.0
1960-06-03,19.2,12.1,23.8,0.0,0.0
1960-06-04,18.0,12.1,25.3,0.0,0.0
1960-06-05,20.7,14.2,25.4,2.8,0.0
1960-06-06,21.7,15.6,26.9,4.1,0.0
1960-06-07,20.7,16.4,26.9,0.0,0.0
1960-06-08,20.0,12.7,23.6,0.0,0.0
1960-06-09,22.5,16.5,28.4,0.0,0.0
1960-06-10,19.0,15.5,23.9,1.7,0.0
1960-06-11,16.1,12.8,20.4,0.7,0.0
1960-06-12,17.9,12.6,21.8,0.0,0.0
1960-06-13,19.2,16.4,26.4,8.3,0.0
1960-06-14,16.0,14.6,19.6,4.6,0.0
1960-06-15,15.8,11.8,20.5,4.6,0.0
1960-06-16,17.6,9.2,21.9,1.1,0.0
1960-06-17,18.6,13.6,22.9,0.2,0.0
1960-06-18,20.2,11.9,24.1,13.9,0.0
1960-06-19,16.0,14.2,21.2,2.2,0.0
1960-06-20,14.2,10.2,17.4,0.0,0.0
1960-06-21,15.6,10.2,19.6,0.0,0.0
1960-06-22,17.4,14.1,21.6,0.0,0.0
1960-06-23,21.6,14.0,26.0,0.0,0.0
