time,tavg,tmin,tmax,prcp,snow
2013-01-01,-8.4,-12.0,-2.0,,
2013-01-02,-7.2,-11.0,-1.0,0.0,
2013-01-03,-6.0,-12.0,2.0,0.0,
2013-01-04,-1.6,-7.0,8.0,0.0,
2013-01-05,-3.1,-9.0,3.0,0.0,
2013-01-06,-0.2,-8.0,9.0,0.0,
2013-01-07,3.5,-3.0,10.0,0.0,
2013-01-08,4.0,-2.0,10.0,0.0,
2013-01-09,4.7,-1.0,15.0,0.0,
2013-01-10,5.2,2.0,9.0,0.0,
2013-01-11,-2.7,-13.0,6.0,,
2013-01-12,-15.5,-18.0,-10.0,,
2013-01-13,-16.4,-20.0,-12.0,,
2013-01-14,-16.3,-20.0,-12.0,,
2013-01-15,-8.8,-20.0,-1.0,0.0,
2013-01-16,0.5,-5.0,8.0,0.0,
2013-01-17,0.5,-7.2,9.4,0.0,
2013-01-18,3.6,-3.9,13.3,0.0,
2013-01-19,5.7,-3.3,14.4,0.0,
2013-01-20,0.2,-6.0,8.0,0.0,
2013-01-21,2.4,-7.0,12.0,0.0,
2013-01-22,6.9,0.0,17.0,0.0,
2013-01-23,7.6,2.0,15.0,0.0,
2013-01-24,9.1,0.0,18.0,0.0,
2013-01-25,5.9,1.0,13.0,0.0,
2013-01-26,5.1,0.0,12.0,,
2013-01-27,5.6,-1.0,14.0,0.0,
2013-01-28,3.7,-3.0,12.0,,
2013-01-29,-5.3,-8.0,-2.0,,
2013-01-30,-4.0,-13.0,2.0,,
2013-01-31,1.5,-6.0,8.0,0.0,
2013-02-01,1.9,-4.0,9.0,0.0,
2013-02-02,2.2,-5.0,14.0,0.0,
2013-02-03,3.8,-3.0,12.0,0.0,
2013-02-04,3.9,-3.0,12.0,0.0,
2013-02-05,6.2,-1.0,15.0,0.0,
2013-02-06,5.2,0.0,13.0,,
2013-02-07,1.3,-5.0,8.0,,
2013-02-08,3.3,-1.0,12.0,0.0,
2013-02-09,-1.7,-6.0,1.0,,
2013-02-10,-3.5,-8.0,1.0,,
2013-02-11,-6.1,-10.0,-2.0,,
2013-02-12,-3.7,-10.0,4.0,0.0,
2013-02-13,0.2,-7.2,7.2,0.0,
2013-02-14,-3.3,-8.0,4.0,,
2013-02-15,-4.7,-11.0,2.0,0.0,
2013-02-16,3.9,-5.0,13.0,0.0,
2013-02-17,6.0,-1.0,16.0,0.0,
