time,tavg,tmin,tmax,prcp,snow
1974-01-01,,,,,
1974-01-02,,,,,
1974-01-03,,,,,
1974-01-04,20.2,,,,
1974-01-05,,,,,
1974-01-06,20.9,19.0,24.0,0.0,
1974-01-07,,,,,
1974-01-08,20.2,18.0,24.0,,
1974-01-09,,,,,
1974-01-10,,,,,
1974-01-11,19.4,18.0,22.0,0.0,
1974-01-12,,,,,
1974-01-13,21.9,19.0,27.0,0.0,
1974-01-14,20.8,,26.0,,
1974-01-15,20.9,18.0,25.0,,
1974-01-16,22.3,,,,
1974-01-17,21.8,,,,
1974-01-18,22.4,19.0,25.0,0.0,
1974-01-19,,,,,
1974-01-20,,,,,
1974-01-21,,,,,
1974-01-22,,,,,
1974-01-23,22.5,20.0,27.0,0.0,
1974-01-24,,,,,
1974-01-25,,,,,
1974-01-26,,,,,
1974-01-27,22.4,,,,
1974-01-28,22.1,,,,
1974-01-29,22.0,,,,
1974-01-30,21.8,20.0,26.0,0.0,
1974-01-31,22.6,,,,
1974-02-01,,,,,
1974-02-02,24.2,,,,
1974-02-03,,,,,
1974-02-04,,,,,
1974-02-05,23.7,,,,
1974-02-06,23.3,21.0,28.0,0.0,
1974-02-07,23.3,,,,
1974-02-08,22.9,21.0,26.0,0.0,
1974-02-09,,,,,
1974-02-10,21.3,18.0,26.0,0.0,
1974-02-11,20.7,18.0,26.0,0.0,
1974-02-12,,,,,
1974-02-13,,,,,
1974-02-14,,,,,
1974-02-15,,,,,
1974-02-16,22.1,16.0,26.0,0.0,
1974-02-17,,,,,
1974-02-18,,,,,
1974-02-19,22.3,19.0,26.0,0.0,
1974-02-20,,,,,
1974-02-21,21.2,18.0,25.0,0.0,
1974-02-22,21.2,18.0,26.0,0.0,
1974-02-23,20.4,,,,
1974-02-24,,,,,
1974-02-25,22.2,,27.0,,
1974-02-26,,,,,
1974-02-27,,,,,
1974-02-28,22.4,19.0,28.0,0.0,
1974-03-01,,,,,
1974-03-02,22.1,20.0,26.0,,
1974-03-03,,,,,
1974-03-04,22.7,20.0,28.0,0.0,
1974-03-05,21.6,19.0,27.0,0.0,
1974-03-06,,,,,
1974-03-07,,,,,
1974-03-08,,,,,
1974-03-09,,,,,
1974-03-10,22.4,19.0,26.0,0.0,
1974-03-11,22.3,,,,
1974-03-12,22.0,20.0,26.0,,
1974-03-13,,,,,
1974-03-14,,,,,
1974-03-15,,,,,
1974-03-16,20.9,18.0,25.0,0.0,
1974-03-17,,,,,
1974-03-18,20.1,,,,
1974-03-19,,,,,
1974-03-20,,,,,
1974-03-21,20.7,,26.0,,
1974-03-22,19.1,17.0,25.0,0.0,
1974-03-23,,,,,
1974-03-24,20.2,17.0,26.0,,
1974-03-25,19.2,16.0,26.0,0.0,
1974-03-26,,,,,
1974-03-27,,,,,
1974-03-28,18.5,,,,
1974-03-29,,,,,
1974-03-30,,,,,
1974-03-31,20.0,17.0,24.0,0.0,
1974-04-01,,,,,
1974-04-02,,,,,
1974-04-03,19.0,15.0,23.0,0.0,
1974-04-04,17.9,15.0,23.0,0.0,
1974-04-05,18.7,,,,
1974-04-06,,,,,
1974-04-07,,,,,
1974-04-08,,,,,
1974-04-09,,,,,
1974-04-10,,,,,
1974-04-11,,,,,
1974-04-12,,,,,
1974-04-13,,,,,
1974-04-14,19.2,,,,
1974-04-15,,,,,
1974-04-16,,,,,
1974-04-17,18.9,,,,
1974-04-18,,,,,
1974-04-19,19.1,,,,
1974-04-20,,,,,
1974-04-21,,,,,
1974-04-22,,,,,
1974-04-23,,,,,
1974-04-24,,,,,
1974-04-25,19.6,17.0,24.0,0.0,
1974-04-26,20.4,,,,
1974-04-27,,,,,
1974-04-28,,,,,
1974-04-29,,,,,
1974-04-30,,,,,
1974-05-01,,,,,
1974-05-02,,,,,
1974-05-03,,,,,
1974-05-04,20.2,,,,
1974-05-05,,,,,
1974-05-06,20.1,17.0,22.0,0.0,
1974-05-07,20.3,,,,
1974-05-08,,,,,
1974-05-09,19.4,,,,
1974-05-10,,,,,
1974-05-11,18.3,,,,
1974-05-12,18.1,17.0,22.0,0.0,
1974-05-13,,,,,
1974-05-14,,,,,
1974-05-15,,,,,
1974-05-16,,,,,
1974-05-17,,,,,
1974-05-18,,,,,
1974-05-19,,,,,
1974-05-20,,,,,
1974-05-21,,,,,
1974-05-22,18.5,,,,
1974-05-23,,,,,
1974-05-24,18.5,,,,
1974-05-25,,,,,
1974-05-26,18.2,,,,
1974-05-27,,,,,
1974-05-28,,,,,
1974-05-29,,,,,
1974-05-30,,,,,
1974-05-31,,,,,
1974-06-01,,,,,
1974-06-02,,,,,
1974-06-03,17.4,,,,
1974-06-04,,,,,
1974-06-05,,,,,
1974-06-06,,,,,
1974-06-07,,,,,
1974-06-08,,,,,
1974-06-09,17.8,,,,
1974-06-10,17.7,17.0,19.0,0.0,
1974-06-11,,,,,
1974-06-12,,,,,
1974-06-13,,,,,
1974-06-14,17.8,,,,
1974-06-15,,,,,
1974-06-16,,,,,
1974-06-17,17.2,,19.0,,
1974-06-18,,,,,
1974-06-19,,,,,
1974-06-20,,,,,
1974-06-21,,,,,
1974-06-22,,,,,
1974-06-23,,,,,
1974-06-24,17.7,,,,
1974-06-25,,,,,
1974-06-26,,,,,
1974-06-27,17.2,,20.0,,
1974-06-28,,,,,
1974-06-29,17.6,,,,
1974-06-30,18.1,16.0,20.0,0.0,
1974-07-01,,,,,
1974-07-02,,,,,
1974-07-03,,,,,
1974-07-04,17.6,16.0,20.0,0.0,
1974-07-05,17.2,,,,
1974-07-06,,,,,
1974-07-07,16.7,,20.0,0.0,
1974-07-08,,,,,
1974-07-09,,,,,
1974-07-10,17.0,,,,
1974-07-11,17.4,,,,
1974-07-12,17.4,16.0,20.0,0.0,
1974-07-13,,,,,
1974-07-14,,,,,
1974-07-15,,,,,
1974-07-16,17.5,,,,
1974-07-17,,,,,
1974-07-18,16.5,,,,
1974-07-19,16.3,16.0,18.0,0.0,
1974-07-20,,,,,
1974-07-21,,,,,
1974-07-22,,,,,
1974-07-23,,,,,
1974-07-24,16.2,16.0,19.0,0.0,
1974-07-25,,,,,
1974-07-26,,,,,
1974-07-27,,,,,
1974-07-28,,,,,
1974-07-29,,,,,
1974-07-30,,,,,
1974-07-31,15.2,,,,
1974-08-01,,,,,
1974-08-02,,,,,
1974-08-03,16.5,,19.0,,
1974-08-04,16.1,,,,
1974-08-05,,,,,
1974-08-06,,,,,
1974-08-07,,,,,
1974-08-08,,,,,
1974-08-09,,,,,
1974-08-10,,,,,
1974-08-11,16.2,,18.0,,
1974-08-12,,,,,
1974-08-13,16.2,15.0,18.0,0.0,
1974-08-14,,,,,
1974-08-15,,,,,
1974-08-16,15.8,,,,
1974-08-17,,,,,
1974-08-18,16.0,,,,
1974-08-19,,,,,
1974-08-20,,,,,
1974-08-21,,,,,
1974-08-22,17.0,,,,
1974-08-23,,,,,
1974-08-24,16.2,,,,
1974-08-25,,,,,
1974-08-26,,,,,
1974-08-27,16.8,,,,
1974-08-28,,,,,
1974-08-29,,,,,
1974-08-30,16.7,,,,
1974-08-31,,,,,
