time,tavg,tmin,tmax,prcp,snow
2003-01-01,,,,,
2003-01-02,-0.9,,6.7,,
2003-01-03,-1.5,-5.3,1.1,2.0,
2003-01-04,-1.1,,4.1,,
2003-01-05,,,,,
2003-01-06,-0.9,-4.9,5.8,3.0,
2003-01-07,1.6,-5.0,5.2,0.0,
2003-01-08,1.2,-1.2,3.1,,
2003-01-09,-0.9,-4.3,1.6,0.0,
2003-01-10,-0.9,-4.2,2.5,0.3,
2003-01-11,-2.7,-5.4,1.9,0.0,
2003-01-12,-2.9,,0.5,,
2003-01-13,,,,,
2003-01-14,,,,,
2003-01-15,-1.6,-5.7,2.1,0.0,
2003-01-16,-3.1,-5.4,1.6,,
2003-01-17,,,,,
2003-01-18,,,,,
2003-01-19,,,,,
2003-01-20,,,,,
2003-01-21,,,,,
2003-01-22,,,,,
2003-01-23,0.2,-3.5,3.5,,
2003-01-24,0.1,,2.7,,
2003-01-25,-4.2,-6.1,0.7,,
2003-01-26,,,,,
2003-01-27,-2.3,-4.4,0.1,0.0,
2003-01-28,-2.1,-8.0,2.0,,
2003-01-29,-2.8,-6.7,1.0,0.0,
2003-01-30,-3.7,-6.9,1.3,0.0,
2003-01-31,-5.7,,2.2,0.0,
2003-02-01,,,,,
2003-02-02,-13.0,,-9.4,0.0,
2003-02-03,,,,,
2003-02-04,-6.4,-10.6,-1.0,0.0,
2003-02-05,-5.5,,-1.5,0.0,
2003-02-06,-4.1,,-0.9,,
2003-02-07,,,,,
2003-02-08,-3.8,-7.8,-0.1,,
2003-02-09,-7.3,-9.9,-5.3,,
2003-02-10,,,,,
2003-02-11,-4.5,,-1.9,,
2003-02-12,-8.3,,-2.8,,
2003-02-13,-8.8,-11.4,-4.1,0.0,
2003-02-14,-11.9,-13.3,-8.2,0.0,
2003-02-15,,,,,
2003-02-16,,,,,
2003-02-17,-7.0,-8.8,-4.5,,
2003-02-18,,,,,
2003-02-19,-10.7,-17.1,-3.3,,
2003-02-20,,,,,
2003-02-21,-7.3,-12.3,-3.9,2.0,
2003-02-22,-9.6,,-4.7,50.0,
2003-02-23,-7.6,-13.9,-4.7,0.0,
2003-02-24,,,,,
2003-02-25,,,,,
2003-02-26,-8.4,-14.8,-6.4,0.3,
2003-02-27,-9.3,,-4.9,5.1,
2003-02-28,-10.7,-15.0,-6.9,0.0,
2003-03-01,,,,,
2003-03-02,,,,,
2003-03-03,-14.3,-17.3,-10.7,0.3,
2003-03-04,,,,,
2003-03-05,-17.7,,-12.3,0.0,
2003-03-06,,,,,
2003-03-07,-18.2,-21.0,-13.0,0.0,
2003-03-08,,,,,
2003-03-09,-17.7,-20.5,-14.3,,
2003-03-10,-20.9,,-16.2,0.0,
2003-03-11,-24.2,-25.5,-21.6,,
2003-03-12,-24.9,,-22.2,0.0,
2003-03-13,-25.7,-27.6,-20.7,0.0,
2003-03-14,-26.5,-28.2,-24.1,0.0,
2003-03-15,-23.6,-30.0,-20.0,0.0,
2003-03-16,,,,,
2003-03-17,,,,,
2003-03-18,,,,,
2003-03-19,-21.5,-23.6,-14.9,0.0,
2003-03-20,,,,,
2003-03-21,-22.2,-25.9,-19.7,,
2003-03-22,,,,,
2003-03-23,-12.3,-13.8,-9.0,0.0,
2003-03-24,-11.8,-13.1,-8.4,1.0,
2003-03-25,-10.5,-13.9,-6.8,0.0,
2003-03-26,-13.2,,-8.9,0.0,
2003-03-27,-17.7,-20.7,-12.2,0.0,
2003-03-28,-17.9,-21.8,-14.7,,
2003-03-29,,,,,
2003-03-30,-12.2,-18.6,-6.0,8.9,
2003-03-31,-16.6,,-13.3,0.0,
2003-04-01,-22.2,,-17.0,0.3,
2003-04-02,,,,,
2003-04-03,-27.7,-33.3,-23.6,0.0,
2003-04-04,-27.6,-30.5,-23.5,,
2003-04-05,,,,,
2003-04-06,-23.3,-27.3,-17.8,0.0,
2003-04-07,,,,,
2003-04-08,-18.7,-24.3,-16.4,0.5,
2003-04-09,-20.2,,-15.7,5.1,
2003-04-10,-22.8,-29.9,-14.7,2.0,
2003-04-11,-21.9,-24.3,-19.4,5.1,
2003-04-12,-25.2,-28.0,-19.1,0.0,
2003-04-13,-27.0,-30.1,-25.1,0.0,
2003-04-14,-27.6,-30.5,-25.4,0.0,
2003-04-15,-28.4,-30.9,-26.1,0.0,
2003-04-16,,,,,
2003-04-17,-24.3,,-20.5,0.0,
2003-04-18,-26.1,-28.1,-20.5,2.0,
2003-04-19,-21.8,-29.4,-19.7,0.0,
2003-04-20,,,,,
2003-04-21,-10.5,-26.2,-8.1,4.1,
2003-04-22,-19.8,,-9.6,0.0,
2003-04-23,-22.2,-24.4,-19.6,,
2003-04-24,-21.0,-24.0,-18.1,0.0,
2003-04-25,-23.4,-28.1,-19.5,0.0,
2003-04-26,-22.3,-28.8,-20.1,0.0,
2003-04-27,-24.8,-28.5,-20.4,,
2003-04-28,-24.0,,-21.2,0.0,
2003-04-29,-27.5,-28.8,-22.3,0.0,
2003-04-30,-26.2,-28.8,-24.9,0.0,
2003-05-01,-29.1,-30.9,-25.9,0.0,
2003-05-02,-27.8,-30.2,-25.6,0.0,
2003-05-03,-26.8,-30.1,-25.0,0.0,
2003-05-04,-28.4,-30.4,-22.4,0.0,
2003-05-05,,,,,
2003-05-06,-25.7,-30.1,-21.9,0.0,
2003-05-07,-19.1,-27.9,-17.0,0.0,
2003-05-08,-12.2,-18.3,-9.8,0.0,
2003-05-09,-17.9,-21.5,-10.7,0.0,
2003-05-10,-21.7,-27.3,-15.4,0.0,
2003-05-11,-24.8,-27.4,-18.4,0.0,
2003-05-12,-21.8,-29.6,-17.6,,
2003-05-13,-25.8,-28.5,-18.5,0.0,
2003-05-14,-22.5,-28.9,-20.4,,
2003-05-15,-20.8,,-16.0,0.0,
2003-05-16,-23.9,-28.3,-17.7,,
2003-05-17,,,,,
2003-05-18,-17.3,-22.9,-13.9,1.0,
2003-05-19,-23.8,-26.4,-16.5,0.0,
2003-05-20,,,,,
2003-05-21,-17.2,,-11.1,0.0,
2003-05-22,-20.0,-23.5,-15.5,0.0,
2003-05-23,-13.3,-24.0,-11.4,0.0,
2003-05-24,-12.3,-14.7,-9.1,,
2003-05-25,,,,,
2003-05-26,,,,,
2003-05-27,-9.6,,-2.7,0.0,
2003-05-28,-17.5,-20.4,-11.0,0.0,
2003-05-29,,,,,
2003-05-30,-18.5,-23.0,-15.1,0.0,
2003-05-31,-20.7,-25.2,-18.0,0.0,
2003-06-01,,,,,
2003-06-02,-23.6,,-17.4,0.0,
2003-06-03,,,,,
2003-06-04,-22.1,-30.4,-16.2,0.0,
2003-06-05,-14.0,-27.7,-12.2,,
2003-06-06,-11.6,-15.7,-10.3,4.1,
2003-06-07,-14.8,-16.7,-11.3,0.0,
2003-06-08,-17.1,,-14.3,0.3,
2003-06-09,-17.5,-20.9,-16.3,0.5,
2003-06-10,-24.2,,-16.6,0.0,
2003-06-11,,,,,
2003-06-12,-22.4,-24.9,-21.5,0.8,
2003-06-13,,,,,
2003-06-14,,,,,
2003-06-15,-21.9,-29.4,-17.2,0.0,
2003-06-16,-22.9,-26.1,-21.4,0.0,
2003-06-17,-22.0,,-19.2,0.0,
2003-06-18,-19.9,-25.1,-18.1,0.0,
2003-06-19,-25.0,-29.3,-18.1,,
2003-06-20,-26.2,-31.7,-23.5,0.0,
2003-06-21,-27.9,-32.1,-24.4,0.0,
2003-06-22,-28.2,-33.9,-23.6,0.0,
2003-06-23,-29.9,-35.5,-25.5,0.0,
2003-06-24,,,,,
2003-06-25,,,,,
2003-06-26,-26.9,-32.6,-24.5,,
2003-06-27,-26.2,-28.9,-24.2,,
2003-06-28,-24.8,-27.3,-22.5,0.0,
2003-06-29,-26.7,,-21.1,0.0,
2003-06-30,-31.3,-37.1,-26.6,0.0,
2003-07-01,,,,,
2003-07-02,-17.5,-28.1,-13.0,0.0,
2003-07-03,-21.2,-27.2,-16.6,0.0,
2003-07-04,-18.9,-22.0,-15.0,,
2003-07-05,-19.2,-22.1,-14.2,0.0,
2003-07-06,-18.0,-23.3,-13.8,,
2003-07-07,-19.7,-26.0,-13.3,0.8,
2003-07-08,-17.1,,-14.8,1.0,
2003-07-09,,,,,
2003-07-10,-17.2,-18.5,-14.7,0.0,
2003-07-11,-18.2,-24.3,-14.8,0.0,
2003-07-12,-20.4,,-16.4,0.0,
2003-07-13,,,,,
2003-07-14,,,,,
2003-07-15,-25.6,-34.4,-23.1,0.0,
2003-07-16,,,,,
2003-07-17,-22.5,-26.3,-15.1,0.0,
2003-07-18,-24.1,-26.9,-19.5,0.0,
2003-07-19,-23.8,-26.4,-22.3,,
2003-07-20,,,,,
2003-07-21,,,,,
2003-07-22,-17.2,-21.1,-14.8,0.0,
2003-07-23,-22.7,,-17.9,0.0,
2003-07-24,-27.1,-29.5,-21.5,0.0,
2003-07-25,-28.9,-31.2,-23.5,0.0,
2003-07-26,-33.7,,-27.2,0.0,
2003-07-27,,,,,
2003-07-28,-24.3,-30.4,-21.8,0.0,
2003-07-29,-22.7,-29.3,-19.2,0.0,
2003-07-30,-18.4,-28.3,-15.5,0.0,
2003-07-31,-22.5,-27.6,-18.2,0.5,
2003-08-01,-25.8,,-18.6,,
2003-08-02,-20.2,-30.8,-15.8,0.0,
2003-08-03,-21.9,-25.2,-13.7,0.0,
2003-08-04,-23.6,-31.8,-19.2,0.0,
2003-08-05,-22.6,-29.2,-20.1,0.0,
2003-08-06,-22.5,,-15.2,,
2003-08-07,-26.4,-31.2,-21.4,,
2003-08-08,-26.6,-30.2,-23.2,,
2003-08-09,-27.0,-31.4,-24.0,0.0,
2003-08-10,-29.2,-32.9,-26.1,0.0,
2003-08-11,-31.3,-35.3,-28.2,0.0,
2003-08-12,-31.6,-37.0,-28.4,0.0,
