time,tavg,tmin,tmax,prcp,snow
1962-01-01,0.3,-3.9,2.2,,
1962-01-02,-1.9,-3.9,0.0,,
1962-01-03,,,,,
1962-01-04,-4.2,,-1.1,,
1962-01-05,-9.0,-12.2,-6.1,,
1962-01-06,-4.8,-10.0,-1.1,,
1962-01-07,1.0,,2.8,,
1962-01-08,0.2,-3.9,2.8,,
1962-01-09,-1.1,-2.2,0.0,,
1962-01-10,-3.7,-5.0,-2.2,,
1962-01-11,1.3,,5.0,,
1962-01-12,3.9,2.2,7.2,,
1962-01-13,2.6,2.2,3.9,,
1962-01-14,1.5,-1.1,2.8,1.5,
1962-01-15,0.3,-2.2,3.9,,
1962-01-16,-0.4,-3.9,2.8,,
1962-01-17,0.4,,2.2,,
1962-01-18,-1.7,-3.9,2.8,,
1962-01-19,2.6,-2.2,6.1,1.3,
1962-01-20,5.9,3.9,7.8,,
1962-01-21,6.4,3.9,7.8,2.3,
1962-01-22,4.9,2.8,8.9,,
1962-01-23,1.9,0.0,5.0,,
1962-01-24,,,,,
1962-01-25,6.1,2.8,8.9,3.6,
1962-01-26,4.4,,5.0,5.1,
1962-01-27,,,,,
1962-01-28,-0.6,,2.2,0.8,
1962-01-29,-6.3,,-5.0,1.3,
1962-01-30,-8.9,-10.0,-7.2,1.0,
1962-01-31,-10.0,-12.8,-5.0,,
1962-02-01,-9.0,-12.8,-3.9,,
1962-02-02,-5.8,,-2.8,,
1962-02-03,-3.0,-6.1,2.8,,
1962-02-04,-2.6,-7.8,0.0,,
1962-02-05,1.2,-2.8,5.0,4.6,
1962-02-06,1.7,0.0,3.9,,
1962-02-07,3.4,1.1,7.2,,
1962-02-08,2.1,,5.0,,
1962-02-09,0.8,,3.9,5.6,
1962-02-10,-0.3,-3.9,3.9,,
1962-02-11,0.3,-2.2,3.9,,
1962-02-12,3.2,-2.2,7.2,1.3,
1962-02-13,0.7,,2.2,5.1,
1962-02-14,-2.8,,1.1,2.5,
1962-02-15,-5.1,,-3.9,1.3,
1962-02-16,-0.2,-7.2,2.8,1.0,
1962-02-17,1.7,,2.8,0.8,
1962-02-18,-0.1,-2.2,2.2,,
1962-02-19,2.2,-1.1,3.9,1.0,
1962-02-20,2.2,,3.9,,
1962-02-21,0.6,,2.2,,
1962-02-22,-3.1,,-2.2,1.3,
1962-02-23,-4.3,-6.1,-2.8,1.3,
1962-02-24,-3.6,,-2.2,1.0,
1962-02-25,-6.5,-7.8,-5.0,2.5,
1962-02-26,-5.8,-8.9,-2.8,,
1962-02-27,-2.8,-3.9,-2.2,,
1962-02-28,-0.9,-2.2,1.1,1.3,
1962-03-01,-0.9,,0.0,,
1962-03-02,-1.4,-3.9,2.2,0.5,
1962-03-03,0.3,-1.1,2.8,1.3,
1962-03-04,0.3,-2.2,2.2,1.5,
1962-03-05,2.8,0.0,6.1,1.5,
1962-03-06,-2.4,,0.0,,
1962-03-07,-4.4,-7.2,-1.1,1.0,
1962-03-08,-2.5,-7.8,3.9,,
1962-03-09,-0.3,-6.1,6.1,,
1962-03-10,0.8,-2.8,5.0,,
1962-03-11,1.2,-1.1,2.8,,
1962-03-12,2.2,,7.2,2.5,
1962-03-13,-4.2,,-2.2,1.5,
1962-03-14,-4.6,-10.0,1.1,,
1962-03-15,-4.4,-8.9,0.0,,
1962-03-16,-4.4,-7.8,-2.2,,
1962-03-17,-3.3,-6.1,-1.1,,
1962-03-18,-3.1,-7.8,1.1,,
1962-03-19,-2.0,-5.0,2.2,,
1962-03-20,-1.0,-3.9,2.8,,
1962-03-21,-2.6,-6.1,0.0,,
1962-03-22,-1.1,-3.9,2.2,,
1962-03-23,-2.2,-5.0,0.0,,
1962-03-24,-0.6,-7.8,3.9,,
1962-03-25,-0.8,-5.0,3.9,,
1962-03-26,0.4,-5.0,6.1,,
1962-03-27,1.8,-2.8,7.8,,
1962-03-28,1.7,,6.1,1.5,
1962-03-29,,,,,
1962-03-30,8.4,3.9,11.1,2.5,
1962-03-31,8.5,,12.8,7.1,
1962-04-01,4.2,0.0,8.9,,
1962-04-02,4.8,1.1,8.9,,
1962-04-03,8.7,1.1,17.8,,
1962-04-04,7.6,5.0,12.2,,
1962-04-05,6.1,1.1,12.8,1.3,
1962-04-06,4.3,,7.8,,
1962-04-07,3.7,0.0,7.8,1.0,
1962-04-08,8.6,3.9,15.0,,
1962-04-09,6.8,,11.1,,
1962-04-10,4.0,0.0,10.0,,
1962-04-11,5.1,-2.2,12.2,,
1962-04-12,8.6,-1.1,17.2,,
1962-04-13,,,,,
1962-04-14,3.3,0.0,7.2,1.5,
1962-04-15,5.6,2.8,8.9,,
1962-04-16,7.9,,12.2,3.3,
1962-04-17,9.2,2.2,17.2,,
1962-04-18,14.3,7.8,22.2,,
1962-04-19,16.6,10.0,22.8,,
1962-04-20,17.4,11.1,25.0,,
1962-04-21,17.6,10.0,25.0,,
1962-04-22,19.1,12.2,26.1,,
1962-04-23,19.4,10.0,27.2,,
1962-04-24,20.6,11.1,27.8,,
1962-04-25,20.6,12.2,27.2,,
1962-04-26,16.7,12.2,23.9,,
1962-04-27,,,,,
1962-04-28,5.7,,8.9,2.5,
1962-04-29,4.2,1.1,10.0,5.1,
1962-04-30,2.6,0.0,5.0,2.5,
1962-05-01,3.2,-1.1,7.2,,
1962-05-02,3.8,1.1,8.9,4.1,
1962-05-03,6.8,2.2,12.2,1.5,
1962-05-04,5.8,2.2,10.0,,
1962-05-05,7.6,3.9,11.1,1.0,
1962-05-06,11.0,2.8,18.9,,
1962-05-07,15.3,11.1,20.0,2.5,
1962-05-08,16.2,12.2,22.2,1.5,
1962-05-09,14.6,8.9,18.9,,
1962-05-10,14.2,11.1,17.8,14.5,
1962-05-11,10.1,5.0,16.1,,
1962-05-12,8.8,5.0,13.9,,
1962-05-13,10.2,6.1,12.8,,
1962-05-14,,,,,
1962-05-15,7.8,5.0,11.1,,
1962-05-16,7.9,3.9,12.2,,
1962-05-17,10.9,7.2,16.1,1.3,
1962-05-18,12.2,7.8,17.2,,
1962-05-19,14.5,6.1,25.0,,
1962-05-20,10.3,5.0,15.0,,
1962-05-21,11.8,3.9,17.8,,
1962-05-22,12.0,7.8,17.8,1.0,
1962-05-23,13.6,7.2,18.9,,
1962-05-24,10.0,,12.2,1.3,
1962-05-25,9.1,3.9,12.2,,
1962-05-26,7.9,7.2,8.9,8.9,
1962-05-27,10.1,6.1,13.9,,
1962-05-28,12.3,6.1,17.8,,
1962-05-29,12.8,7.8,18.9,,
1962-05-30,13.0,7.2,17.8,1.3,
1962-05-31,14.4,7.2,22.2,,
1962-06-01,7.4,6.1,8.9,,
1962-06-02,8.2,,12.2,,
1962-06-03,6.7,3.9,12.2,2.5,
1962-06-04,6.9,2.2,12.2,,
1962-06-05,9.2,3.9,15.0,,
1962-06-06,8.6,1.1,15.0,,
1962-06-07,8.8,2.8,13.9,,
1962-06-08,13.5,5.0,20.0,,
1962-06-09,15.6,7.2,22.2,,
1962-06-10,17.8,12.8,22.2,1.0,
1962-06-11,13.6,10.0,17.2,7.1,
1962-06-12,10.6,7.8,13.9,,
1962-06-13,13.6,6.1,21.1,,
1962-06-14,18.1,11.1,26.1,,
1962-06-15,21.9,13.9,30.0,,
1962-06-16,20.4,16.1,27.2,,
1962-06-17,19.2,12.8,25.0,,
1962-06-18,19.8,15.0,26.1,1.5,
1962-06-19,20.6,16.1,27.8,5.1,
1962-06-20,17.6,13.9,22.2,,
1962-06-21,18.9,12.8,23.9,,
1962-06-22,21.2,12.8,27.8,,
1962-06-23,23.4,15.0,31.1,,
1962-06-24,23.1,15.0,30.0,,
1962-06-25,17.4,,20.0,,
1962-06-26,16.3,8.9,22.8,,
1962-06-27,11.7,7.8,16.1,1.5,
1962-06-28,9.6,7.2,12.8,,
1962-06-29,10.4,6.1,13.9,,
1962-06-30,11.0,7.8,13.9,,
1962-07-01,10.8,7.8,13.9,,
1962-07-02,11.4,7.8,16.1,1.5,
1962-07-03,10.6,,12.2,1.5,
1962-07-04,9.7,5.0,12.8,1.0,
1962-07-05,,,,,
1962-07-06,12.2,7.2,17.8,1.0,
1962-07-07,10.9,7.8,15.0,,
1962-07-08,14.0,7.8,20.0,,
1962-07-09,13.5,7.8,22.8,,
1962-07-10,19.2,10.0,27.2,,
1962-07-11,18.7,13.9,26.1,,
1962-07-12,18.1,12.2,23.9,,
1962-07-13,13.9,12.2,18.9,1.5,
1962-07-14,14.9,11.1,18.9,1.3,
1962-07-15,14.9,12.2,18.9,31.0,
1962-07-16,15.5,12.2,21.1,,
1962-07-17,,,,,
1962-07-18,14.1,12.8,17.8,7.1,
1962-07-19,17.0,10.0,23.9,,
1962-07-20,18.6,12.8,25.0,,
1962-07-21,22.1,,30.0,,
1962-07-22,19.7,15.0,26.1,3.0,
1962-07-23,17.4,12.2,22.8,,
1962-07-24,17.0,10.0,22.8,,
1962-07-25,20.3,12.2,27.8,,
1962-07-26,22.9,16.1,32.8,,
1962-07-27,21.2,,27.2,1.3,
1962-07-28,14.5,,17.8,,
1962-07-29,15.7,7.8,22.2,,
1962-07-30,,,,,
1962-07-31,17.6,12.2,23.9,6.6,
1962-08-01,19.0,12.8,26.1,,
1962-08-02,20.3,12.8,27.8,,
1962-08-03,20.0,15.0,27.8,,
1962-08-04,21.8,16.1,27.8,,
1962-08-05,18.5,13.9,23.9,,
1962-08-06,20.6,15.0,26.1,,
1962-08-07,16.2,,17.8,4.6,
1962-08-08,15.6,10.0,21.1,,
1962-08-09,16.4,10.0,22.2,,
1962-08-10,16.7,10.0,23.9,,
1962-08-11,19.2,12.8,25.0,,
1962-08-12,22.2,13.9,30.0,,
1962-08-13,24.8,16.1,32.2,,
1962-08-14,21.7,,27.8,1.3,
1962-08-15,18.3,13.9,25.0,3.6,
1962-08-16,19.0,13.9,26.1,,
1962-08-17,16.5,13.9,20.0,2.5,
1962-08-18,15.4,13.9,20.0,,
1962-08-19,14.7,10.0,18.9,,
1962-08-20,15.0,8.9,21.1,,
1962-08-21,16.3,8.9,25.0,,
1962-08-22,15.7,10.0,22.2,,
1962-08-23,16.6,12.2,22.2,1.3,
1962-08-24,19.8,13.9,27.8,1.3,
1962-08-25,16.1,12.2,20.0,,
1962-08-26,15.9,,22.8,,
1962-08-27,17.6,10.0,27.2,,
1962-08-28,15.2,10.0,22.8,,
1962-08-29,16.2,10.0,22.8,,
1962-08-30,13.7,10.0,17.8,,
1962-08-31,13.0,7.2,20.0,,
1962-09-01,12.4,7.2,18.9,,
1962-09-02,15.2,6.1,23.9,,
1962-09-03,18.1,7.8,27.2,,
1962-09-04,20.8,12.2,30.0,,
1962-09-05,17.2,15.0,22.2,,
1962-09-06,16.1,12.2,18.9,2.3,
1962-09-07,16.7,,20.0,1.3,
1962-09-08,,,,,
1962-09-09,,,,,
1962-09-10,16.1,,26.1,,
1962-09-11,18.0,13.9,22.8,1.0,
1962-09-12,22.2,15.0,30.0,,
1962-09-13,,,,,
1962-09-14,10.3,5.0,16.1,,
1962-09-15,13.2,2.8,23.9,,
1962-09-16,16.2,11.1,23.9,,
1962-09-17,,,,,
1962-09-18,7.9,,10.0,7.6,
1962-09-19,7.9,,12.8,,
1962-09-20,8.0,2.8,13.9,,
1962-09-21,8.4,,12.8,,
1962-09-22,9.4,7.2,12.8,1.5,
1962-09-23,8.1,7.2,10.0,3.6,
1962-09-24,8.2,2.8,13.9,,
1962-09-25,9.2,3.9,15.0,,
1962-09-26,12.1,6.1,18.9,,
1962-09-27,11.9,6.1,17.8,,
1962-09-28,10.1,3.9,15.0,,
1962-09-29,11.1,5.0,18.9,,
1962-09-30,13.5,7.8,21.1,,
1962-10-01,14.9,7.8,22.2,,
1962-10-02,14.7,7.2,22.8,,
1962-10-03,15.6,7.8,22.2,,
1962-10-04,14.7,7.8,22.2,,
1962-10-05,13.3,,17.8,,
1962-10-06,11.9,8.9,13.9,1.3,
1962-10-07,11.4,8.9,17.2,,
1962-10-08,11.9,5.0,20.0,,
1962-10-09,12.2,3.9,21.1,,
1962-10-10,,,,,
1962-10-11,10.9,3.9,17.8,,
1962-10-12,6.7,2.8,12.2,,
1962-10-13,6.1,3.9,8.9,1.3,
1962-10-14,6.9,6.1,8.9,1.3,
1962-10-15,7.8,6.1,11.1,1.0,
1962-10-16,6.3,0.0,12.2,,
1962-10-17,7.9,2.8,12.2,,
1962-10-18,,,,,
1962-10-19,8.9,6.1,12.8,,
1962-10-20,7.1,,10.0,,
1962-10-21,3.7,0.0,10.0,,
1962-10-22,1.9,-2.8,7.8,,
1962-10-23,3.5,-2.8,10.0,,
1962-10-24,5.1,0.0,12.2,,
1962-10-25,3.0,-1.1,7.2,,
1962-10-26,5.1,-2.2,15.0,,
1962-10-27,3.3,1.1,5.0,,
1962-10-28,3.8,2.2,7.2,4.1,
1962-10-29,4.1,,7.2,,
1962-10-30,1.9,-2.8,7.8,,
1962-10-31,2.7,-1.1,6.1,1.3,
1962-11-01,3.5,2.2,3.9,19.1,
1962-11-02,4.6,3.9,6.1,,
1962-11-03,4.6,2.8,7.8,,
1962-11-04,,,,,
1962-11-05,8.7,3.9,13.9,,
1962-11-06,9.9,7.8,12.2,,
1962-11-07,8.9,7.2,11.1,,
1962-11-08,10.8,7.8,15.0,,
1962-11-09,,,,,
1962-11-10,,,,,
1962-11-11,1.4,1.1,2.2,1.0,
1962-11-12,2.1,0.0,3.9,0.8,
1962-11-13,3.9,2.8,5.0,,
1962-11-14,4.3,3.9,6.1,,
1962-11-15,3.0,,3.9,,
1962-11-16,0.2,-2.2,3.9,1.3,
1962-11-17,-1.1,-2.8,2.2,,
1962-11-18,0.3,-2.8,2.8,,
1962-11-19,,,,,
1962-11-20,0.4,,3.9,,
1962-11-21,-1.6,-5.0,2.2,,
1962-11-22,-0.3,-1.1,2.2,1.3,
1962-11-23,,,,,
1962-11-24,-3.2,-7.2,-1.1,,
1962-11-25,-2.6,-7.8,2.2,,
1962-11-26,0.7,-1.1,2.2,0.8,
1962-11-27,0.8,0.0,2.2,,
1962-11-28,,,,,
1962-11-29,0.6,-1.1,2.8,,
1962-11-30,0.8,0.0,2.2,,
1962-12-01,-2.1,,1.1,1.0,
1962-12-02,-4.7,-7.2,0.0,,
1962-12-03,-6.3,-10.0,-2.2,,
1962-12-04,-7.4,-11.1,-2.2,,
1962-12-05,-4.1,-8.9,2.8,,
1962-12-06,-3.8,,-2.8,,
1962-12-07,-6.2,,-2.8,,
1962-12-08,-6.5,-7.8,-2.8,,
1962-12-09,,,,,
1962-12-10,1.9,0.0,3.9,1.3,
1962-12-11,2.3,2.2,2.8,,
1962-12-12,2.8,,6.1,,
1962-12-13,-0.3,-1.1,0.0,1.3,
1962-12-14,-0.4,,2.2,,
1962-12-15,0.4,-2.8,2.8,1.0,
1962-12-16,2.4,0.0,5.0,6.1,
1962-12-17,1.3,0.0,3.9,1.0,
1962-12-18,-0.4,-1.1,2.2,1.3,
1962-12-19,-2.1,-2.8,-1.1,1.5,
1962-12-20,-5.8,-7.8,-3.9,1.0,
1962-12-21,-9.3,-11.1,-7.8,,
1962-12-22,,,,,
1962-12-23,-15.1,-17.2,-12.2,,
1962-12-24,-12.4,-17.2,-10.0,,
1962-12-25,-10.6,-12.8,-7.8,,
1962-12-26,-9.9,,-8.9,1.0,
1962-12-27,-13.1,,-10.0,1.3,
1962-12-28,-13.6,-16.1,-10.0,,
1962-12-29,-12.4,-16.1,-8.9,,
1962-12-30,-6.1,-10.0,-3.9,,
1962-12-31,,,,,
