time,tavg,tmin,tmax,prcp,snow
2013-01-01,-3.1,-5.7,0.0,0.0,
2013-01-02,3.1,-2.1,4.9,6.5,
2013-01-03,3.7,2.7,4.5,7.1,
2013-01-04,7.1,3.0,10.7,0.3,
2013-01-05,4.8,1.5,10.1,3.2,
2013-01-06,3.9,1.5,5.4,7.6,
2013-01-07,3.4,0.7,6.3,0.2,
2013-01-08,4.2,2.5,7.0,1.4,
2013-01-09,4.7,1.0,8.7,1.6,
2013-01-10,3.1,2.5,5.4,7.8,
2013-01-11,5.3,1.7,6.2,5.6,
2013-01-12,1.5,-0.1,5.6,3.2,
2013-01-13,-0.6,-2.8,1.4,4.0,
2013-01-14,-2.4,-4.6,-1.7,2.0,
2013-01-15,3.2,-2.4,5.7,9.0,
2013-01-16,3.2,1.4,6.2,8.1,
2013-01-17,4.9,2.0,8.0,4.3,
2013-01-18,5.7,4.1,8.7,13.5,
2013-01-19,3.4,1.3,5.6,6.2,
2013-01-20,3.8,2.4,5.0,7.1,
2013-01-21,4.1,3.2,4.7,0.0,
2013-01-22,3.2,2.1,4.9,0.0,
2013-01-23,1.9,1.5,2.9,0.0,
2013-01-24,2.2,0.7,3.8,0.0,
2013-01-25,-1.1,-3.5,4.5,8.5,
2013-01-26,1.7,-2.6,4.0,7.8,
2013-01-27,3.7,1.1,6.0,2.8,
2013-01-28,3.4,1.5,5.6,1.6,
2013-01-29,3.9,2.8,5.2,0.0,
2013-01-30,2.3,0.5,5.0,0.0,
2013-01-31,-0.4,-1.4,1.7,0.1,
2013-02-01,0.7,-2.7,3.5,0.0,
2013-02-02,3.5,1.8,6.0,4.4,
2013-02-03,0.9,-1.0,3.4,15.4,
2013-02-04,1.8,-0.4,3.0,8.7,
2013-02-05,1.3,-0.4,4.5,0.8,
2013-02-06,-0.3,-4.5,2.3,0.0,
2013-02-07,1.2,0.3,3.4,4.5,
2013-02-08,3.6,-0.9,6.1,2.8,
2013-02-09,6.9,5.1,9.0,2.3,
2013-02-10,2.7,0.5,7.9,19.7,
2013-02-11,2.6,1.4,4.4,4.6,
2013-02-12,0.7,-0.9,3.8,0.0,
2013-02-13,0.1,-2.5,4.2,0.0,
2013-02-14,-0.3,-2.5,4.3,0.0,
2013-02-15,-0.1,-3.2,4.3,0.0,
2013-02-16,2.1,-0.3,4.2,0.0,
2013-02-17,4.7,2.5,6.3,0.6,
2013-02-18,6.2,4.6,7.5,0.7,
2013-02-19,7.4,6.1,8.4,0.2,
2013-02-20,7.8,5.3,9.2,1.9,
2013-02-21,7.9,7.5,9.2,4.0,
2013-02-22,7.9,7.2,8.8,1.3,
2013-02-23,7.2,6.4,8.5,2.4,
2013-02-24,7.4,6.1,8.6,2.8,
2013-02-25,9.1,7.3,10.2,11.1,
2013-02-26,7.7,6.1,9.5,8.7,
2013-02-27,5.2,4.5,6.5,6.6,
2013-02-28,5.1,3.2,7.0,0.6,
2013-03-01,6.4,4.4,8.5,12.0,
2013-03-02,2.9,-0.7,5.5,1.7,
2013-03-03,0.1,-3.3,6.4,1.0,
2013-03-04,-4.3,-6.6,-2.6,0.2,
2013-03-05,-6.2,-7.4,-4.0,0.0,
2013-03-06,-2.6,-7.0,0.7,7.5,
2013-03-07,2.3,-0.3,3.0,0.7,
2013-03-08,4.0,1.3,5.4,3.0,
