time,tavg,tmin,tmax,prcp,snow
1984-01-01,20.1,12.4,31.1,0.0,
1984-01-02,20.8,,,,
1984-01-03,22.1,12.2,31.6,0.0,
1984-01-04,21.1,,30.5,,
1984-01-05,21.6,,31.0,0.0,
1984-01-06,20.1,13.2,30.4,0.0,
1984-01-07,19.5,12.0,28.6,0.0,
1984-01-08,20.1,,,,
1984-01-09,20.1,10.4,29.4,0.0,
1984-01-10,20.6,,30.0,0.0,
1984-01-11,20.8,10.4,30.0,0.0,
1984-01-12,19.7,11.0,29.5,0.0,
1984-01-13,21.0,,,,
1984-01-14,21.4,10.6,31.6,0.0,
1984-01-15,21.1,10.0,31.1,0.0,
1984-01-16,21.2,,,,
1984-01-17,22.2,,32.9,0.0,
1984-01-18,21.8,,,,
1984-01-19,22.7,12.0,33.3,0.0,
1984-01-20,,,,,
1984-01-21,20.6,13.0,28.2,0.0,
1984-01-22,20.4,,,,
1984-01-23,22.0,,,,
1984-01-24,21.6,12.7,31.0,0.0,
1984-01-25,21.8,,31.2,0.0,
1984-01-26,20.6,12.0,31.2,0.0,
1984-01-27,20.5,10.0,31.0,,
1984-01-28,20.6,,30.7,0.0,
1984-01-29,19.7,10.5,29.8,0.0,
1984-01-30,20.4,10.0,30.0,,
1984-01-31,20.5,,,,
1984-02-01,,,,,
1984-02-02,21.3,,32.6,0.0,
1984-02-03,19.9,,32.4,0.0,
1984-02-04,17.8,7.0,28.7,0.0,
1984-02-05,18.2,,,,
1984-02-06,18.5,,,,
1984-02-07,18.8,11.0,30.5,,
1984-02-08,20.6,,,,
1984-02-09,20.4,,,,
1984-02-10,19.2,9.7,31.8,0.0,
1984-02-11,17.7,10.8,28.4,0.0,
1984-02-12,18.5,,,,
1984-02-13,19.5,,,,
1984-02-14,16.9,10.0,31.6,0.0,
1984-02-15,18.2,,,,
1984-02-16,19.7,11.0,29.2,0.0,
1984-02-17,19.7,,,,
1984-02-18,20.4,10.0,30.0,,
1984-02-19,,,,,
1984-02-20,20.8,10.0,31.4,,
1984-02-21,20.3,10.4,30.7,0.0,
1984-02-22,21.5,9.5,30.9,0.0,
1984-02-23,,,,,
1984-02-24,15.7,9.0,30.1,0.0,
1984-02-25,15.9,,,,
1984-02-26,,,,,
1984-02-27,15.6,6.8,27.4,,
1984-02-28,16.1,6.0,27.0,,
1984-02-29,19.6,,,,
1984-03-01,20.4,9.0,32.4,0.0,
1984-03-02,,,,,
1984-03-03,19.4,,,,
1984-03-04,19.6,,31.4,0.0,
1984-03-05,17.9,8.4,30.9,0.0,
1984-03-06,15.1,10.0,27.6,,
1984-03-07,14.4,11.6,22.7,0.0,
1984-03-08,18.0,,,,
1984-03-09,,,,,
1984-03-10,17.4,8.0,30.8,0.0,
1984-03-11,18.9,,,,
1984-03-12,17.4,,28.7,0.0,
1984-03-13,,,,,
1984-03-14,17.9,,27.8,0.0,
1984-03-15,,,,,
1984-03-16,16.8,,27.4,0.0,
1984-03-17,,,,,
1984-03-18,19.3,9.6,30.2,0.0,
1984-03-19,,,,,
1984-03-20,,,,,
1984-03-21,16.1,11.6,28.0,0.0,
1984-03-22,15.3,,22.8,,
1984-03-23,17.4,13.8,23.0,,
1984-03-24,16.4,,,,
1984-03-25,17.1,,,,
1984-03-26,17.4,6.0,29.0,,
1984-03-27,17.6,6.4,29.1,0.0,
1984-03-28,17.4,,28.0,,
1984-03-29,15.1,,,,
1984-03-30,14.7,11.2,23.8,,
1984-03-31,,,,,
1984-04-01,,,,,
1984-04-02,17.9,,,,
1984-04-03,16.7,,,,
1984-04-04,16.0,4.0,29.2,0.0,
1984-04-05,15.6,,29.3,0.0,
1984-04-06,16.3,,,,
1984-04-07,16.8,6.0,27.6,0.0,
1984-04-08,16.2,,27.4,,
1984-04-09,16.0,6.0,27.7,,
1984-04-10,15.3,6.0,26.0,,
1984-04-11,16.2,,,,
1984-04-12,16.0,5.0,28.9,0.0,
1984-04-13,16.6,,,,
1984-04-14,16.9,7.7,28.7,0.0,
1984-04-15,14.7,8.4,27.4,0.0,
1984-04-16,14.8,9.0,20.8,0.3,
1984-04-17,12.3,7.4,20.9,0.0,
1984-04-18,12.0,4.9,21.3,0.0,
1984-04-19,10.5,,,,
1984-04-20,9.8,-0.2,18.4,0.0,
1984-04-21,,,,,
1984-04-22,,,,,
1984-04-23,14.1,,,,
1984-04-24,14.0,,,,
1984-04-25,14.5,,,,
1984-04-26,,,,,
1984-04-27,11.2,3.6,25.8,0.0,
1984-04-28,12.7,,22.4,0.0,
1984-04-29,11.2,-0.6,25.0,,
1984-04-30,,,,,
1984-05-01,,,,,
1984-05-02,10.3,,21.0,0.0,
1984-05-03,,,,,
1984-05-04,,,,,
1984-05-05,10.2,3.9,19.0,0.0,
1984-05-06,9.6,2.6,18.8,0.0,
1984-05-07,8.4,2.0,17.6,0.0,
1984-05-08,8.4,1.4,17.4,0.0,
1984-05-09,,,,,
1984-05-10,,,,,
1984-05-11,,,,,
1984-05-12,,,,,
1984-05-13,6.7,-1.6,18.6,0.0,
1984-05-14,7.1,,,,
1984-05-15,7.4,-0.8,17.7,0.0,
1984-05-16,11.9,,,,
1984-05-17,8.8,6.9,16.2,0.0,
1984-05-18,9.1,7.2,11.0,9.9,
1984-05-19,10.4,,,,
1984-05-20,,,,,
1984-05-21,,,,,
1984-05-22,9.6,,,,
1984-05-23,,,,,
1984-05-24,4.8,-0.6,13.0,0.0,
1984-05-25,7.9,,,,
1984-05-26,,,,,
1984-05-27,7.4,,14.6,3.0,
1984-05-28,,,,,
1984-05-29,,,,,
1984-05-30,,,,,
1984-05-31,,,,,
1984-06-01,6.4,4.0,14.0,7.1,
1984-06-02,,,,,
1984-06-03,,,,,
1984-06-04,1.9,-1.6,11.2,0.0,
1984-06-05,4.7,,11.0,,
1984-06-06,,,,,
1984-06-07,5.9,-3.8,16.4,0.0,
1984-06-08,7.9,,13.3,0.0,
1984-06-09,8.4,,,,
