time,tavg,tmin,tmax,prcp,snow
1963-01-01,2.8,-2.2,10.4,0.0,
1963-01-02,4.1,-2.6,12.0,0.0,
1963-01-03,4.1,-1.5,11.7,0.0,
1963-01-04,4.0,-2.5,9.6,0.0,
1963-01-05,5.3,-0.9,9.1,0.2,
1963-01-06,2.8,0.1,7.7,0.0,
1963-01-07,6.6,-1.8,12.6,0.0,
1963-01-08,5.1,3.2,10.9,0.0,
1963-01-09,4.9,-0.7,11.1,0.0,
1963-01-10,5.4,-0.4,11.2,0.0,
1963-01-11,4.4,0.2,9.5,0.0,
1963-01-12,1.9,-1.4,6.7,0.0,
1963-01-13,3.2,-4.5,8.6,0.0,
1963-01-14,3.2,-2.3,9.5,0.0,
1963-01-15,2.0,-2.7,10.2,0.0,
1963-01-16,0.9,-4.9,8.3,0.0,
1963-01-17,1.8,-5.3,7.7,0.0,
1963-01-18,6.4,-3.6,12.7,0.0,
1963-01-19,1.4,0.4,8.3,0.0,
1963-01-20,4.7,-3.5,8.7,0.0,
1963-01-21,1.8,-1.3,10.1,0.0,
1963-01-22,1.4,-5.2,6.7,0.0,
1963-01-23,2.8,-4.6,10.2,0.0,
1963-01-24,0.2,-2.9,6.6,0.0,
1963-01-25,0.1,-5.4,5.7,0.0,
1963-01-26,1.3,-5.5,7.6,0.0,
1963-01-27,1.7,-5.5,7.4,0.0,
1963-01-28,2.3,-4.1,9.5,0.0,
1963-01-29,3.2,-3.8,10.3,0.0,
1963-01-30,2.4,-3.2,7.7,0.0,
1963-01-31,3.7,-3.0,10.3,0.0,
1963-02-01,2.5,-2.0,8.7,0.0,
1963-02-02,5.1,-4.1,10.4,1.7,
1963-02-03,0.8,0.8,3.9,3.4,
1963-02-04,2.4,-2.8,7.3,0.0,
1963-02-05,4.6,-1.5,10.3,0.0,
1963-02-06,4.1,0.0,9.5,0.0,
1963-02-07,5.6,-1.3,10.6,0.0,
1963-02-08,4.6,2.2,9.5,10.5,
1963-02-09,4.9,1.3,11.1,0.0,
1963-02-10,5.3,0.0,9.5,0.2,
1963-02-11,3.6,2.3,5.3,0.5,
1963-02-12,5.9,2.2,11.3,0.0,
1963-02-13,3.9,1.5,9.9,0.0,
1963-02-14,4.3,0.1,10.2,0.0,
1963-02-15,5.7,-1.8,9.9,0.0,
1963-02-16,6.3,2.1,13.7,0.0,
1963-02-17,5.1,2.2,9.7,0.0,
1963-02-18,2.7,1.9,9.7,0.0,
1963-02-19,4.5,-3.7,9.8,0.0,
1963-02-20,5.2,-1.7,10.9,0.0,
1963-02-21,5.4,1.9,11.6,0.0,
1963-02-22,5.8,1.1,10.9,0.0,
1963-02-23,6.5,1.9,12.3,0.0,
1963-02-24,6.1,0.0,15.3,0.0,
1963-02-25,5.9,0.4,12.8,0.0,
1963-02-26,5.0,2.0,9.5,5.0,
1963-02-27,5.9,0.2,12.5,0.0,
1963-02-28,6.5,0.8,13.3,0.0,
1963-03-01,8.2,-1.1,17.8,0.0,
1963-03-02,7.2,0.9,14.5,0.0,
1963-03-03,7.6,2.2,13.5,0.2,
1963-03-04,4.8,3.5,10.4,0.0,
1963-03-05,5.5,0.6,11.5,0.0,
1963-03-06,3.3,1.2,5.9,0.2,
1963-03-07,4.8,-0.1,10.3,0.0,
1963-03-08,5.5,0.0,10.4,0.8,
1963-03-09,2.5,0.7,3.8,5.3,
1963-03-10,1.7,0.7,2.7,4.7,
1963-03-11,4.6,1.0,8.9,0.0,
1963-03-12,2.2,1.7,4.9,9.6,
1963-03-13,1.4,-0.8,3.9,0.2,
1963-03-14,4.2,-2.1,9.3,0.0,
1963-03-15,8.6,0.3,12.9,3.6,
1963-03-16,7.1,5.1,7.5,19.9,
1963-03-17,9.1,6.4,15.8,0.0,
1963-03-18,10.0,1.4,14.4,0.0,
1963-03-19,9.5,6.5,16.1,0.0,
1963-03-20,12.1,4.9,18.5,0.0,
1963-03-21,13.4,6.6,20.5,0.0,
1963-03-22,6.1,7.2,11.7,0.0,
1963-03-23,7.4,4.1,13.1,11.4,
1963-03-24,7.1,3.9,10.2,25.2,
1963-03-25,9.0,4.6,13.9,0.0,
1963-03-26,12.4,3.4,18.1,0.0,
1963-03-27,13.3,6.5,19.9,0.0,
1963-03-28,16.0,7.2,19.5,1.9,
1963-03-29,10.4,12.7,17.0,3.7,
1963-03-30,10.1,3.7,14.2,0.0,
1963-03-31,14.6,5.1,19.3,0.0,
1963-04-01,16.7,9.5,21.9,0.0,
1963-04-02,8.4,10.6,15.9,0.0,
1963-04-03,12.1,2.4,15.4,0.0,
1963-04-04,13.8,9.4,19.0,0.0,
1963-04-05,15.3,8.4,21.9,0.0,
1963-04-06,17.7,10.0,23.3,0.0,
1963-04-07,6.2,9.9,16.1,6.8,
1963-04-08,6.1,4.2,6.5,18.2,
1963-04-09,7.0,4.7,10.5,2.5,
1963-04-10,9.1,4.6,15.6,0.0,
1963-04-11,11.8,2.8,16.5,0.0,
1963-04-12,14.2,5.8,20.0,0.0,
1963-04-13,15.9,9.1,20.8,0.0,
1963-04-14,16.1,13.2,20.3,0.3,
1963-04-15,16.8,13.7,19.9,5.8,
1963-04-16,18.1,14.7,19.1,1.0,
1963-04-17,21.4,16.3,26.3,0.0,
1963-04-18,19.8,18.5,26.9,6.3,
1963-04-19,9.2,11.2,19.8,2.7,
1963-04-20,12.8,5.9,18.3,0.0,
1963-04-21,15.5,9.3,20.5,0.0,
1963-04-22,12.8,11.2,18.6,0.5,
1963-04-23,10.7,9.4,14.5,30.5,
1963-04-24,15.9,8.8,20.3,0.0,
1963-04-25,12.4,11.6,15.6,1.5,
1963-04-26,13.8,11.4,21.1,0.0,
1963-04-27,14.8,8.0,21.9,0.0,
1963-04-28,16.2,9.8,20.9,0.0,
1963-04-29,18.4,11.0,21.8,0.0,
1963-04-30,20.1,15.8,24.1,0.0,
1963-05-01,14.3,17.7,24.0,28.9,
1963-05-02,13.1,9.6,17.9,0.1,
1963-05-03,12.9,8.5,18.5,0.0,
1963-05-04,16.0,8.1,18.9,1.4,
1963-05-05,17.2,14.4,19.1,4.4,
1963-05-06,17.6,16.2,19.1,11.3,
1963-05-07,17.7,15.2,24.0,0.0,
