time,tavg,tmin,tmax,prcp,snow
1969-01-01,-12.8,-16.7,-8.9,0.5,15.0
1969-01-02,-8.6,-11.1,-6.1,0.3,15.0
1969-01-03,-6.4,-7.8,-5.0,0.3,15.0
1969-01-04,-8.3,-9.4,-7.2,0.0,15.0
1969-01-05,-6.9,-11.1,-2.8,0.0,15.0
1969-01-06,-4.2,-8.3,0.0,3.3,15.0
1969-01-07,-3.9,-5.6,-2.2,0.3,20.0
1969-01-08,-6.7,-10.6,-2.8,6.9,15.0
1969-01-09,-5.0,-9.4,-0.6,0.3,18.0
1969-01-10,-8.3,-10.0,-6.7,0.3,18.0
1969-01-11,-8.1,-13.9,-2.2,0.0,18.0
1969-01-12,-3.6,-5.0,-2.2,0.0,18.0
1969-01-13,-4.5,-7.8,-1.1,0.0,18.0
1969-01-14,-1.9,-3.3,-0.6,0.0,18.0
1969-01-15,-6.9,-9.4,-4.4,0.0,18.0
1969-01-16,-3.6,-9.4,2.2,0.0,18.0
1969-01-17,1.6,0.0,3.3,15.0,13.0
1969-01-18,3.4,1.7,5.0,0.0,10.0
1969-01-19,1.7,0.6,2.8,0.0,10.0
1969-01-20,-0.5,-2.8,1.7,0.0,8.0
1969-01-21,1.6,0.0,3.3,0.0,5.0
1969-01-22,1.9,0.6,3.3,0.0,5.0
1969-01-23,3.9,2.2,5.6,2.5,5.0
1969-01-24,2.5,0.0,5.0,6.4,3.0
1969-01-25,-8.9,-10.6,-7.2,0.0,3.0
1969-01-26,-9.2,-11.7,-6.7,0.0,0.0
1969-01-27,-12.2,-17.8,-6.7,0.0,0.0
1969-01-28,-5.0,-11.7,1.7,1.8,0.0
1969-01-29,1.3,-0.6,3.3,11.2,0.0
1969-01-30,4.2,0.6,7.8,6.9,0.0
1969-01-31,1.9,1.1,2.8,0.0,0.0
1969-02-01,1.1,-1.1,3.3,0.0,0.0
1969-02-02,0.3,-1.1,1.7,6.4,3.0
1969-02-03,-1.9,-5.0,1.1,2.3,0.0
1969-02-04,-7.8,-9.4,-6.1,0.0,3.0
1969-02-05,-7.5,-10.6,-4.4,0.0,3.0
1969-02-06,-3.6,-6.7,-0.6,0.0,3.0
