datum,temperatura,leto,mesec
2016-02-01,6.4,2016,2
2016-02-02,6.3,2016,2
2016-02-03,5.9,2016,2
2016-02-04,3.0,2016,2
2016-02-05,2.7,2016,2
2016-02-06,2.7,2016,2
2016-02-07,4.5,2016,2
2016-02-08,6.7,2016,2
2016-02-09,7.3,2016,2
2016-02-10,3.8,2016,2
2016-02-11,0.8,2016,2
2016-02-12,0.9,2016,2
2016-02-13,1.8,2016,2
2016-02-14,2.0,2016,2
2016-02-15,3.6,2016,2
2016-02-16,2.8,2016,2
2016-02-17,2.1,2016,2
2016-02-18,3.3,2016,2
2016-02-19,2.7,2016,2
2016-02-20,2.4,2016,2
2016-02-21,2.1,2016,2
2016-02-22,3.1,2016,2
2016-02-23,5.6,2016,2
2016-02-24,3.8,2016,2
2016-02-25,2.9,2016,2
2016-02-26,2.4,2016,2
2016-02-27,1.0,2016,2
2016-02-28,3.6,2016,2
2016-02-29,4.2,2016,2
