datum,temperatura,leto,mesec
2020-04-01,1.9,2020,4
2020-04-02,3.2,2020,4
2020-04-03,7.7,2020,4
2020-04-04,7.6,2020,4
2020-04-05,8.0,2020,4
2020-04-06,9.5,2020,4
2020-04-07,10.3,2020,4
2020-04-08,9.6,2020,4
2020-04-09,11.7,2020,4
2020-04-10,13.9,2020,4
2020-04-11,14.3,2020,4
2020-04-12,15.2,2020,4
2020-04-13,13.5,2020,4
2020-04-14,7.3,2020,4
2020-04-15,6.2,2020,4
2020-04-16,10.9,2020,4
2020-04-17,14.1,2020,4
2020-04-18,15.4,2020,4
2020-04-19,15.5,2020,4
2020-04-20,10.4,2020,4
2020-04-21,10.0,2020,4
2020-04-22,10.3,2020,4
2020-04-23,10.9,2020,4
2020-04-24,12.9,2020,4
2020-04-25,14.7,2020,4
2020-04-26,12.6,2020,4
2020-04-27,13.8,2020,4
2020-04-28,12.8,2020,4
2020-04-29,11.3,2020,4
2020-04-30,12.7,2020,4
