datum,temperatura,leto,mesec
2022-01-01,5.2,2022,1
2022-01-02,3.8,2022,1
2022-01-03,5.1,2022,1
2022-01-04,7.8,2022,1
2022-01-05,8.6,2022,1
2022-01-06,2.2,2022,1
2022-01-07,-1.5,2022,1
2022-01-08,-2.5,2022,1
2022-01-09,-1.4,2022,1
2022-01-10,-0.3,2022,1
2022-01-11,-1.0,2022,1
2022-01-12,-2.0,2022,1
2022-01-13,-2.6,2022,1
2022-01-14,3.3,2022,1
2022-01-15,1.1,2022,1
2022-01-16,0.2,2022,1
2022-01-17,1.9,2022,1
2022-01-18,2.5,2022,1
2022-01-19,0.6,2022,1
2022-01-20,2.0,2022,1
2022-01-21,-1.0,2022,1
2022-01-22,1.0,2022,1
2022-01-23,0.9,2022,1
2022-01-24,-0.5,2022,1
2022-01-25,0.3,2022,1
2022-01-26,-1.1,2022,1
2022-01-27,1.1,2022,1
2022-01-28,2.6,2022,1
2022-01-29,1.9,2022,1
2022-01-30,5.8,2022,1
2022-01-31,0.9,2022,1
