datum,temperatura,leto,mesec
2001-03-01,4.8,2001,3
2001-03-02,6.1,2001,3
2001-03-03,9.5,2001,3
2001-03-04,11.6,2001,3
2001-03-05,12.2,2001,3
2001-03-06,8.7,2001,3
2001-03-07,7.3,2001,3
2001-03-08,8.6,2001,3
2001-03-09,11.5,2001,3
2001-03-10,10.4,2001,3
2001-03-11,10.8,2001,3
2001-03-12,11.8,2001,3
2001-03-13,11.4,2001,3
2001-03-14,9.3,2001,3
2001-03-15,10.1,2001,3
2001-03-16,12.1,2001,3
2001-03-17,12.2,2001,3
2001-03-18,11.7,2001,3
2001-03-19,12.3,2001,3
2001-03-20,12.1,2001,3
2001-03-21,13.1,2001,3
2001-03-22,13.2,2001,3
2001-03-23,13.9,2001,3
2001-03-24,15.0,2001,3
2001-03-25,15.7,2001,3
2001-03-26,13.8,2001,3
2001-03-27,9.9,2001,3
2001-03-28,9.7,2001,3
2001-03-29,12.0,2001,3
2001-03-30,12.2,2001,3
2001-03-31,12.9,2001,3
