datum,temperatura,leto,mesec
2021-10-01,12.4,2021,10
2021-10-02,13.6,2021,10
2021-10-03,15.6,2021,10
2021-10-04,17.9,2021,10
2021-10-05,17.4,2021,10
2021-10-06,14.3,2021,10
2021-10-07,10.9,2021,10
2021-10-08,11.2,2021,10
2021-10-09,10.2,2021,10
2021-10-10,7.3,2021,10
2021-10-11,8.5,2021,10
2021-10-12,8.3,2021,10
2021-10-13,7.3,2021,10
2021-10-14,6.8,2021,10
2021-10-15,8.4,2021,10
2021-10-16,8.2,2021,10
2021-10-17,9.0,2021,10
2021-10-18,8.8,2021,10
2021-10-19,9.6,2021,10
2021-10-20,12.9,2021,10
2021-10-21,15.7,2021,10
2021-10-22,12.6,2021,10
2021-10-23,10.2,2021,10
2021-10-24,7.6,2021,10
2021-10-25,6.7,2021,10
2021-10-26,6.1,2021,10
2021-10-27,8.2,2021,10
2021-10-28,6.9,2021,10
2021-10-29,5.0,2021,10
2021-10-30,6.0,2021,10
2021-10-31,8.4,2021,10
