datum,temperatura,leto,mesec
2013-09-01,18.4,2013,9
2013-09-02,15.9,2013,9
2013-09-03,19.5,2013,9
2013-09-04,19.5,2013,9
2013-09-05,20.1,2013,9
2013-09-06,20.3,2013,9
2013-09-07,20.6,2013,9
2013-09-08,20.2,2013,9
2013-09-09,17.7,2013,9
2013-09-10,15.6,2013,9
2013-09-11,13.1,2013,9
2013-09-12,13.7,2013,9
2013-09-13,14.2,2013,9
2013-09-14,14.3,2013,9
2013-09-15,15.6,2013,9
2013-09-16,16.3,2013,9
2013-09-17,13.2,2013,9
2013-09-18,12.3,2013,9
2013-09-19,14.4,2013,9
2013-09-20,13.8,2013,9
2013-09-21,15.4,2013,9
2013-09-22,14.7,2013,9
2013-09-23,14.9,2013,9
2013-09-24,15.4,2013,9
2013-09-25,16.1,2013,9
2013-09-26,16.4,2013,9
2013-09-27,14.0,2013,9
2013-09-28,11.7,2013,9
2013-09-29,10.3,2013,9
2013-09-30,7.5,2013,9
