datum,temperatura,leto,mesec
2021-01-01,1.6,2021,1
2021-01-02,1.7,2021,1
2021-01-03,2.9,2021,1
2021-01-04,2.9,2021,1
2021-01-05,3.1,2021,1
2021-01-06,1.6,2021,1
2021-01-07,-0.3,2021,1
2021-01-08,0.3,2021,1
2021-01-09,-1.4,2021,1
2021-01-10,-1.1,2021,1
2021-01-11,-0.8,2021,1
2021-01-12,-2.3,2021,1
2021-01-13,-0.7,2021,1
2021-01-14,0.3,2021,1
2021-01-15,-1.3,2021,1
2021-01-16,-1.8,2021,1
2021-01-17,-3.1,2021,1
2021-01-18,-1.8,2021,1
2021-01-19,-0.4,2021,1
2021-01-20,3.9,2021,1
2021-01-21,7.4,2021,1
2021-01-22,8.2,2021,1
2021-01-23,7.1,2021,1
2021-01-24,2.0,2021,1
2021-01-25,0.4,2021,1
2021-01-26,0.1,2021,1
2021-01-27,0.4,2021,1
2021-01-28,0.7,2021,1
2021-01-29,2.5,2021,1
2021-01-30,1.5,2021,1
2021-01-31,-0.7,2021,1
