datum,temperatura,leto,mesec
2014-07-01,17.4,2014,7
2014-07-02,20.0,2014,7
2014-07-03,19.7,2014,7
2014-07-04,20.9,2014,7
2014-07-05,22.7,2014,7
2014-07-06,22.9,2014,7
2014-07-07,24.8,2014,7
2014-07-08,23.3,2014,7
2014-07-09,18.1,2014,7
2014-07-10,15.2,2014,7
2014-07-11,17.3,2014,7
2014-07-12,20.4,2014,7
2014-07-13,20.7,2014,7
2014-07-14,19.8,2014,7
2014-07-15,21.8,2014,7
2014-07-16,23.6,2014,7
2014-07-17,23.6,2014,7
2014-07-18,23.2,2014,7
2014-07-19,23.8,2014,7
2014-07-20,25.9,2014,7
2014-07-21,25.6,2014,7
2014-07-22,20.7,2014,7
2014-07-23,21.7,2014,7
2014-07-24,21.3,2014,7
2014-07-25,21.7,2014,7
2014-07-26,21.7,2014,7
2014-07-27,20.4,2014,7
2014-07-28,19.7,2014,7
2014-07-29,21.1,2014,7
2014-07-30,21.1,2014,7
2014-07-31,21.1,2014,7
