datum,temperatura,leto,mesec
2012-08-01,24.9,2012,8
2012-08-02,25.2,2012,8
2012-08-03,25.6,2012,8
2012-08-04,25.7,2012,8
2012-08-05,25.7,2012,8
2012-08-06,25.1,2012,8
2012-08-07,25.5,2012,8
2012-08-08,25.5,2012,8
2012-08-09,24.4,2012,8
2012-08-10,23.4,2012,8
2012-08-11,22.4,2012,8
2012-08-12,20.2,2012,8
2012-08-13,22.2,2012,8
2012-08-14,22.8,2012,8
2012-08-15,23.0,2012,8
2012-08-16,23.7,2012,8
2012-08-17,25.6,2012,8
2012-08-18,26.1,2012,8
2012-08-19,26.8,2012,8
2012-08-20,27.1,2012,8
2012-08-21,26.3,2012,8
2012-08-22,26.1,2012,8
2012-08-23,26.7,2012,8
2012-08-24,26.5,2012,8
2012-08-25,26.3,2012,8
2012-08-26,21.4,2012,8
2012-08-27,19.6,2012,8
2012-08-28,20.3,2012,8
2012-08-29,22.0,2012,8
2012-08-30,24.0,2012,8
2012-08-31,20.6,2012,8
