datum,temperatura,leto,mesec
2011-07-01,19.7,2011,7
2011-07-02,17.3,2011,7
2011-07-03,18.9,2011,7
2011-07-04,21.5,2011,7
2011-07-05,20.4,2011,7
2011-07-06,21.8,2011,7
2011-07-07,23.9,2011,7
2011-07-08,25.2,2011,7
2011-07-09,26.8,2011,7
2011-07-10,27.0,2011,7
2011-07-11,26.3,2011,7
2011-07-12,25.8,2011,7
2011-07-13,28.7,2011,7
2011-07-14,27.8,2011,7
2011-07-15,22.0,2011,7
2011-07-16,23.1,2011,7
2011-07-17,23.9,2011,7
2011-07-18,23.5,2011,7
2011-07-19,22.4,2011,7
2011-07-20,20.3,2011,7
2011-07-21,20.9,2011,7
2011-07-22,20.4,2011,7
2011-07-23,18.5,2011,7
2011-07-24,15.3,2011,7
2011-07-25,15.1,2011,7
2011-07-26,16.6,2011,7
2011-07-27,19.2,2011,7
2011-07-28,17.8,2011,7
2011-07-29,18.0,2011,7
2011-07-30,19.3,2011,7
2011-07-31,19.6,2011,7
