datum,temperatura,leto,mesec
2018-05-01,14.6,2018,5
2018-05-02,16.5,2018,5
2018-05-03,16.7,2018,5
2018-05-04,16.7,2018,5
2018-05-05,16.8,2018,5
2018-05-06,16.6,2018,5
2018-05-07,16.7,2018,5
2018-05-08,15.6,2018,5
2018-05-09,15.2,2018,5
2018-05-10,17.2,2018,5
2018-05-11,15.9,2018,5
2018-05-12,16.9,2018,5
2018-05-13,16.8,2018,5
2018-05-14,14.9,2018,5
2018-05-15,11.7,2018,5
2018-05-16,12.5,2018,5
2018-05-17,14.2,2018,5
2018-05-18,15.4,2018,5
2018-05-19,15.1,2018,5
2018-05-20,14.6,2018,5
2018-05-21,15.3,2018,5
2018-05-22,15.9,2018,5
2018-05-23,17.7,2018,5
2018-05-24,17.2,2018,5
2018-05-25,17.0,2018,5
2018-05-26,18.5,2018,5
2018-05-27,19.8,2018,5
2018-05-28,19.4,2018,5
2018-05-29,19.6,2018,5
2018-05-30,19.1,2018,5
2018-05-31,20.5,2018,5
