,time,temperatura_avg
7305,2020-01-01,-23.6
7306,2020-01-02,-23.3
7307,2020-01-03,-26.1
7308,2020-01-04,-27.3
7309,2020-01-05,-27.5
7310,2020-01-06,-32.8
7311,2020-01-07,-23.7
7312,2020-01-08,-23.4
7313,2020-01-09,-32.8
7314,2020-01-10,-34.2
7315,2020-01-11,-29.2
7316,2020-01-12,-26.4
7317,2020-01-13,-19.9
7318,2020-01-14,-11.7
7319,2020-01-15,-19.0
7320,2020-01-16,-16.0
7321,2020-01-17,-14.6
7322,2020-01-18,-14.4
7323,2020-01-19,-14.1
7324,2020-01-20,-17.8
7325,2020-01-21,-20.3
7326,2020-01-22,-17.8
7327,2020-01-23,-24.2
7328,2020-01-24,-28.4
7329,2020-01-25,-30.9
7330,2020-01-26,-29.8
7331,2020-01-27,-30.3
7332,2020-01-28,-31.7
7333,2020-01-29,-32.2
7334,2020-01-30,-31.6
7335,2020-01-31,-29.7
7336,2020-02-01,-32.4
7337,2020-02-02,-37.7
7338,2020-02-03,-34.4
7339,2020-02-04,-33.5
7340,2020-02-05,-36.3
7341,2020-02-06,-36.7
7342,2020-02-07,-35.7
7343,2020-02-08,-36.8
7344,2020-02-09,-33.0
7345,2020-02-10,-32.6
7346,2020-02-11,-36.3
7347,2020-02-12,-31.2
7348,2020-02-13,-33.2
7349,2020-02-14,-35.8
7350,2020-02-15,-36.7
7351,2020-02-16,-37.2
7352,2020-02-17,-38.8
7353,2020-02-18,-30.4
7354,2020-02-19,-19.9
7355,2020-02-20,-19.9
7356,2020-02-21,-24.6
7357,2020-02-22,-23.7
7358,2020-02-23,-30.3
7359,2020-02-24,-31.2
7360,2020-02-25,-28.8
7361,2020-02-26,-33.6
7362,2020-02-27,-39.2
7363,2020-02-28,-29.4
7364,2020-02-29,-20.4
7365,2020-03-01,-28.1
7366,2020-03-02,-36.5
7367,2020-03-03,-34.3
7368,2020-03-04,-33.4
7369,2020-03-05,-30.3
7370,2020-03-06,-26.8
7371,2020-03-07,-17.7
7372,2020-03-08,-22.8
7373,2020-03-09,-27.9
7374,2020-03-10,-31.0
7375,2020-03-11,-36.3
7376,2020-03-12,-27.5
7377,2020-03-13,-3.9
7378,2020-03-14,-6.2
7379,2020-03-15,-19.5
7380,2020-03-16,-10.2
7381,2020-03-17,-10.2
7382,2020-03-18,-5.9
7383,2020-03-19,-3.8
7384,2020-03-20,-3.4
7385,2020-03-21,-13.3
7386,2020-03-22,-21.4
7387,2020-03-23,-19.2
7388,2020-03-24,-13.0
7389,2020-03-25,-18.7
7390,2020-03-26,-24.9
7391,2020-03-27,-26.9
7392,2020-03-28,-25.8
7393,2020-03-29,-25.7
7394,2020-03-30,-20.1
7395,2020-03-31,-16.2
7396,2020-04-01,-11.4
7397,2020-04-02,-13.2
7398,2020-04-03,-9.9
7399,2020-04-04,-11.6
7400,2020-04-05,-7.2
7401,2020-04-06,-9.5
7402,2020-04-07,-17.4
7403,2020-04-08,-22.4
7404,2020-04-09,-22.2
7405,2020-04-10,-21.8
7406,2020-04-11,-20.9
7407,2020-04-12,-4.0
7408,2020-04-13,-4.9
7409,2020-04-14,-8.1
7410,2020-04-15,-9.5
7411,2020-04-16,-5.6
7412,2020-04-17,-11.7
7413,2020-04-18,-17.0
7414,2020-04-19,-12.9
7415,2020-04-20,-15.3
7416,2020-04-21,-11.6
7417,2020-04-22,-8.5
7418,2020-04-23,-5.7
7419,2020-04-24,-12.2
7420,2020-04-25,-17.1
7421,2020-04-26,-10.2
7422,2020-04-27,-10.9
7423,2020-04-28,-13.9
7424,2020-04-29,-21.5
7425,2020-04-30,-19.6
7426,2020-05-01,-11.9
7427,2020-05-02,-6.4
7428,2020-05-03,-12.7
7429,2020-05-04,-13.8
7430,2020-05-05,-11.1
7431,2020-05-06,-11.1
7432,2020-05-07,-14.1
7433,2020-05-08,-8.7
7434,2020-05-09,-5.6
7435,2020-05-10,-2.9
7436,2020-05-11,-1.7
7437,2020-05-12,-4.1
7438,2020-05-13,-6.9
7439,2020-05-14,-6.1
7440,2020-05-15,-4.6
7441,2020-05-16,-3.3
7442,2020-05-17,-4.1
7443,2020-05-18,-4.2
7444,2020-05-19,-4.2
7445,2020-05-20,-6.3
7446,2020-05-21,-5.5
7447,2020-05-22,-2.6
7448,2020-05-23,-0.1
7449,2020-05-24,0.0
7450,2020-05-25,-0.6
7451,2020-05-26,-0.4
7452,2020-05-27,-0.9
7453,2020-05-28,-1.1
7454,2020-05-29,0.3
7455,2020-05-30,0.7
7456,2020-05-31,0.2
7457,2020-06-01,0.4
7458,2020-06-02,0.3
7459,2020-06-03,0.3
