,time,temperatura_avg
9131,1975-01-01,21.5
9132,1975-01-02,25.3
9133,1975-01-03,24.2
9134,1975-01-04,24.2
9135,1975-01-05,23.4
9136,1975-01-06,24.1
9137,1975-01-07,25.3
9138,1975-01-08,24.1
9139,1975-01-09,20.9
9140,1975-01-10,16.6
9141,1975-01-11,19.9
9142,1975-01-12,22.6
9143,1975-01-13,23.1
9144,1975-01-14,25.9
9145,1975-01-15,30.1
9146,1975-01-16,
9147,1975-01-17,
9148,1975-01-18,
9149,1975-01-19,
9150,1975-01-20,
9151,1975-01-21,28.8
9152,1975-01-22,25.8
9153,1975-01-23,27.4
9154,1975-01-24,26.5
9155,1975-01-25,29.1
9156,1975-01-26,28.4
9157,1975-01-27,20.4
9158,1975-01-28,20.8
9159,1975-01-29,23.3
9160,1975-01-30,24.3
9161,1975-01-31,25.1
9162,1975-02-01,25.7
9163,1975-02-02,25.6
9164,1975-02-03,24.2
9165,1975-02-04,20.1
9166,1975-02-05,20.2
9167,1975-02-06,22.7
9168,1975-02-07,24.4
9169,1975-02-08,24.1
9170,1975-02-09,25.6
9171,1975-02-10,27.3
9172,1975-02-11,23.3
9173,1975-02-12,22.3
9174,1975-02-13,
9175,1975-02-14,25.9
9176,1975-02-15,21.1
9177,1975-02-16,25.7
9178,1975-02-17,21.8
9179,1975-02-18,26.2
9180,1975-02-19,25.8
9181,1975-02-20,25.2
9182,1975-02-21,24.8
9183,1975-02-22,24.1
9184,1975-02-23,24.6
9185,1975-02-24,16.2
9186,1975-02-25,17.1
9187,1975-02-26,21.2
9188,1975-02-27,25.7
9189,1975-02-28,24.0
9190,1975-03-01,26.4
9191,1975-03-02,25.6
9192,1975-03-03,27.4
9193,1975-03-04,27.3
9194,1975-03-05,23.6
9195,1975-03-06,18.1
9196,1975-03-07,17.6
9197,1975-03-08,20.8
9198,1975-03-09,23.2
9199,1975-03-10,23.4
9200,1975-03-11,23.8
9201,1975-03-12,23.1
9202,1975-03-13,21.1
9203,1975-03-14,22.7
9204,1975-03-15,20.6
9205,1975-03-16,18.2
9206,1975-03-17,21.4
9207,1975-03-18,22.3
9208,1975-03-19,19.1
9209,1975-03-20,17.6
9210,1975-03-21,20.2
9211,1975-03-22,19.2
