,time,temperatura_avg
3379,1971-01-01,
3380,1971-01-02,
3381,1971-01-03,
3382,1971-01-04,
3383,1971-01-05,
3384,1971-01-06,
3385,1971-01-07,
3386,1971-01-08,
3387,1971-01-09,
3388,1971-01-10,
3389,1971-01-11,
3390,1971-01-12,
3391,1971-01-13,
3392,1971-01-14,
3393,1971-01-15,
3394,1971-01-16,
3395,1971-01-17,
3396,1971-01-18,
3397,1971-01-19,
3398,1971-01-20,
3399,1971-01-21,
3400,1971-01-22,
3401,1971-01-23,
3402,1971-01-24,
3403,1971-01-25,
3404,1971-01-26,
3405,1971-01-27,
3406,1971-01-28,
3407,1971-01-29,
3408,1971-01-30,
3409,1971-01-31,
3410,1971-02-01,
3411,1971-02-02,
3412,1971-02-03,
3413,1971-02-04,
3414,1971-02-05,
3415,1971-02-06,
3416,1971-02-07,
3417,1971-02-08,
3418,1971-02-09,
3419,1971-02-10,
3420,1971-02-11,
3421,1971-02-12,
3422,1971-02-13,
3423,1971-02-14,
3424,1971-02-15,
3425,1971-02-16,
3426,1971-02-17,
3427,1971-02-18,
3428,1971-02-19,
3429,1971-02-20,
3430,1971-02-21,
3431,1971-02-22,
3432,1971-02-23,
3433,1971-02-24,
3434,1971-02-25,
3435,1971-02-26,
3436,1971-02-27,
3437,1971-02-28,
3438,1971-03-01,
3439,1971-03-02,
3440,1971-03-03,
3441,1971-03-04,
3442,1971-03-05,
3443,1971-03-06,
3444,1971-03-07,
3445,1971-03-08,
3446,1971-03-09,
3447,1971-03-10,
3448,1971-03-11,
3449,1971-03-12,
3450,1971-03-13,
3451,1971-03-14,
3452,1971-03-15,
3453,1971-03-16,
3454,1971-03-17,
3455,1971-03-18,
3456,1971-03-19,
3457,1971-03-20,
3458,1971-03-21,
3459,1971-03-22,
3460,1971-03-23,
3461,1971-03-24,
3462,1971-03-25,
3463,1971-03-26,
3464,1971-03-27,
3465,1971-03-28,
3466,1971-03-29,
3467,1971-03-30,
3468,1971-03-31,
3469,1971-04-01,
3470,1971-04-02,
3471,1971-04-03,
3472,1971-04-04,
3473,1971-04-05,
3474,1971-04-06,
3475,1971-04-07,
3476,1971-04-08,
3477,1971-04-09,
3478,1971-04-10,
3479,1971-04-11,
3480,1971-04-12,
3481,1971-04-13,
3482,1971-04-14,
3483,1971-04-15,
3484,1971-04-16,
3485,1971-04-17,
3486,1971-04-18,
3487,1971-04-19,
3488,1971-04-20,
3489,1971-04-21,
3490,1971-04-22,
3491,1971-04-23,
3492,1971-04-24,
3493,1971-04-25,
3494,1971-04-26,
3495,1971-04-27,
3496,1971-04-28,
3497,1971-04-29,
3498,1971-04-30,
3499,1971-05-01,
3500,1971-05-02,
3501,1971-05-03,
3502,1971-05-04,
3503,1971-05-05,
3504,1971-05-06,
3505,1971-05-07,
3506,1971-05-08,
3507,1971-05-09,
3508,1971-05-10,
3509,1971-05-11,
3510,1971-05-12,
3511,1971-05-13,
3512,1971-05-14,
3513,1971-05-15,
3514,1971-05-16,
3515,1971-05-17,
3516,1971-05-18,
3517,1971-05-19,
3518,1971-05-20,
3519,1971-05-21,
3520,1971-05-22,
3521,1971-05-23,
3522,1971-05-24,
3523,1971-05-25,
3524,1971-05-26,
3525,1971-05-27,
3526,1971-05-28,
3527,1971-05-29,
3528,1971-05-30,
3529,1971-05-31,
3530,1971-06-01,
3531,1971-06-02,
3532,1971-06-03,
3533,1971-06-04,
3534,1971-06-05,
3535,1971-06-06,
3536,1971-06-07,
3537,1971-06-08,
3538,1971-06-09,
3539,1971-06-10,
3540,1971-06-11,
3541,1971-06-12,
3542,1971-06-13,
3543,1971-06-14,
3544,1971-06-15,
3545,1971-06-16,
3546,1971-06-17,
3547,1971-06-18,
3548,1971-06-19,
3549,1971-06-20,
3550,1971-06-21,
3551,1971-06-22,
3552,1971-06-23,
3553,1971-06-24,
3554,1971-06-25,
3555,1971-06-26,
3556,1971-06-27,
3557,1971-06-28,
3558,1971-06-29,
3559,1971-06-30,
3560,1971-07-01,
3561,1971-07-02,
3562,1971-07-03,
3563,1971-07-04,
3564,1971-07-05,
3565,1971-07-06,
3566,1971-07-07,
3567,1971-07-08,
3568,1971-07-09,
3569,1971-07-10,
3570,1971-07-11,
3571,1971-07-12,
3572,1971-07-13,
3573,1971-07-14,
3574,1971-07-15,
3575,1971-07-16,
3576,1971-07-17,
3577,1971-07-18,
3578,1971-07-19,
3579,1971-07-20,
3580,1971-07-21,
3581,1971-07-22,
3582,1971-07-23,
3583,1971-07-24,
3584,1971-07-25,
3585,1971-07-26,
3586,1971-07-27,
3587,1971-07-28,
3588,1971-07-29,
3589,1971-07-30,
3590,1971-07-31,
3591,1971-08-01,
3592,1971-08-02,
3593,1971-08-03,
3594,1971-08-04,
3595,1971-08-05,
3596,1971-08-06,
3597,1971-08-07,
3598,1971-08-08,
3599,1971-08-09,
3600,1971-08-10,
3601,1971-08-11,
3602,1971-08-12,
3603,1971-08-13,
3604,1971-08-14,
3605,1971-08-15,
3606,1971-08-16,
3607,1971-08-17,
3608,1971-08-18,
3609,1971-08-19,
3610,1971-08-20,
3611,1971-08-21,
3612,1971-08-22,
3613,1971-08-23,
3614,1971-08-24,
3615,1971-08-25,
3616,1971-08-26,
3617,1971-08-27,
3618,1971-08-28,
3619,1971-08-29,
3620,1971-08-30,
3621,1971-08-31,
3622,1971-09-01,
3623,1971-09-02,
3624,1971-09-03,
3625,1971-09-04,
3626,1971-09-05,
3627,1971-09-06,
3628,1971-09-07,
3629,1971-09-08,
3630,1971-09-09,
3631,1971-09-10,
3632,1971-09-11,
3633,1971-09-12,
3634,1971-09-13,
3635,1971-09-14,
3636,1971-09-15,
3637,1971-09-16,
3638,1971-09-17,
3639,1971-09-18,
3640,1971-09-19,
3641,1971-09-20,
3642,1971-09-21,
3643,1971-09-22,
3644,1971-09-23,
3645,1971-09-24,
3646,1971-09-25,
3647,1971-09-26,
3648,1971-09-27,
3649,1971-09-28,
3650,1971-09-29,
3651,1971-09-30,
3652,1971-10-01,
3653,1971-10-02,
3654,1971-10-03,
3655,1971-10-04,
3656,1971-10-05,
3657,1971-10-06,
3658,1971-10-07,
3659,1971-10-08,
3660,1971-10-09,
3661,1971-10-10,
3662,1971-10-11,
3663,1971-10-12,
3664,1971-10-13,
3665,1971-10-14,
3666,1971-10-15,
3667,1971-10-16,
3668,1971-10-17,
3669,1971-10-18,
3670,1971-10-19,
3671,1971-10-20,
3672,1971-10-21,
3673,1971-10-22,
3674,1971-10-23,
3675,1971-10-24,
3676,1971-10-25,
3677,1971-10-26,
3678,1971-10-27,
3679,1971-10-28,
3680,1971-10-29,
3681,1971-10-30,
3682,1971-10-31,
3683,1971-11-01,
3684,1971-11-02,
3685,1971-11-03,
3686,1971-11-04,
3687,1971-11-05,
3688,1971-11-06,
