,time,temperatura_avg
7304,1993-01-01,20.7
7305,1993-01-02,23.4
7306,1993-01-03,25.8
7307,1993-01-04,25.3
7308,1993-01-05,23.0
7309,1993-01-06,22.8
7310,1993-01-07,23.2
7311,1993-01-08,20.2
7312,1993-01-09,20.9
7313,1993-01-10,20.2
7314,1993-01-11,18.8
7315,1993-01-12,20.7
7316,1993-01-13,21.4
7317,1993-01-14,21.8
7318,1993-01-15,24.8
7319,1993-01-16,23.2
7320,1993-01-17,22.1
7321,1993-01-18,21.4
7322,1993-01-19,21.1
7323,1993-01-20,19.9
7324,1993-01-21,18.8
7325,1993-01-22,20.6
7326,1993-01-23,18.9
7327,1993-01-24,17.1
7328,1993-01-25,20.8
7329,1993-01-26,23.4
7330,1993-01-27,21.3
7331,1993-01-28,21.9
7332,1993-01-29,21.0
7333,1993-01-30,20.1
7334,1993-01-31,19.1
7335,1993-02-01,20.2
7336,1993-02-02,19.1
7337,1993-02-03,17.9
7338,1993-02-04,19.5
7339,1993-02-05,20.3
7340,1993-02-06,19.9
7341,1993-02-07,18.8
7342,1993-02-08,18.6
7343,1993-02-09,24.6
7344,1993-02-10,21.3
7345,1993-02-11,21.3
7346,1993-02-12,20.4
7347,1993-02-13,20.9
7348,1993-02-14,20.9
7349,1993-02-15,17.7
7350,1993-02-16,19.0
7351,1993-02-17,20.3
7352,1993-02-18,22.3
7353,1993-02-19,23.1
7354,1993-02-20,20.0
7355,1993-02-21,18.2
7356,1993-02-22,19.4
7357,1993-02-23,23.4
7358,1993-02-24,21.4
7359,1993-02-25,19.2
7360,1993-02-26,20.9
7361,1993-02-27,21.4
7362,1993-02-28,21.7
7363,1993-03-01,22.6
7364,1993-03-02,21.4
7365,1993-03-03,20.9
7366,1993-03-04,21.7
7367,1993-03-05,20.3
7368,1993-03-06,20.6
7369,1993-03-07,21.3
7370,1993-03-08,21.0
7371,1993-03-09,22.1
7372,1993-03-10,22.0
7373,1993-03-11,20.4
7374,1993-03-12,20.1
7375,1993-03-13,18.6
7376,1993-03-14,19.5
7377,1993-03-15,21.9
