,time,temperatura_avg
15706,1993-01-01,
15707,1993-01-02,
15708,1993-01-03,
15709,1993-01-04,
15710,1993-01-05,
15711,1993-01-06,
15712,1993-01-07,
15713,1993-01-08,
15714,1993-01-09,
15715,1993-01-10,
15716,1993-01-11,
15717,1993-01-12,
15718,1993-01-13,
15719,1993-01-14,
15720,1993-01-15,
15721,1993-01-16,
15722,1993-01-17,
15723,1993-01-18,
15724,1993-01-19,
15725,1993-01-20,
15726,1993-01-21,
15727,1993-01-22,
15728,1993-01-23,
15729,1993-01-24,
15730,1993-01-25,
15731,1993-01-26,
15732,1993-01-27,
15733,1993-01-28,
15734,1993-01-29,
15735,1993-01-30,
15736,1993-01-31,
15737,1993-02-01,
15738,1993-02-02,
15739,1993-02-03,
15740,1993-02-04,
15741,1993-02-05,
15742,1993-02-06,
15743,1993-02-07,
15744,1993-02-08,
15745,1993-02-09,
15746,1993-02-10,
15747,1993-02-11,
15748,1993-02-12,
15749,1993-02-13,
15750,1993-02-14,
15751,1993-02-15,
15752,1993-02-16,
15753,1993-02-17,
15754,1993-02-18,
15755,1993-02-19,
15756,1993-02-20,
15757,1993-02-21,
15758,1993-02-22,
15759,1993-02-23,
15760,1993-02-24,
15761,1993-02-25,
15762,1993-02-26,
15763,1993-02-27,
15764,1993-02-28,
15765,1993-03-01,
15766,1993-03-02,
15767,1993-03-03,
15768,1993-03-04,
15769,1993-03-05,
15770,1993-03-06,
15771,1993-03-07,
15772,1993-03-08,
15773,1993-03-09,
15774,1993-03-10,
15775,1993-03-11,
15776,1993-03-12,
15777,1993-03-13,
15778,1993-03-14,
15779,1993-03-15,
15780,1993-03-16,
15781,1993-03-17,
15782,1993-03-18,
15783,1993-03-19,
15784,1993-03-20,
15785,1993-03-21,
15786,1993-03-22,
15787,1993-03-23,
15788,1993-03-24,
15789,1993-03-25,
15790,1993-03-26,
15791,1993-03-27,
15792,1993-03-28,
15793,1993-03-29,
15794,1993-03-30,
15795,1993-03-31,
15796,1993-04-01,
15797,1993-04-02,
15798,1993-04-03,
15799,1993-04-04,
15800,1993-04-05,
15801,1993-04-06,
15802,1993-04-07,
15803,1993-04-08,
15804,1993-04-09,
15805,1993-04-10,
15806,1993-04-11,
15807,1993-04-12,
15808,1993-04-13,
15809,1993-04-14,
15810,1993-04-15,
15811,1993-04-16,
15812,1993-04-17,
15813,1993-04-18,
15814,1993-04-19,
15815,1993-04-20,
15816,1993-04-21,
15817,1993-04-22,
15818,1993-04-23,
15819,1993-04-24,
15820,1993-04-25,
15821,1993-04-26,
15822,1993-04-27,
15823,1993-04-28,
15824,1993-04-29,
15825,1993-04-30,
15826,1993-05-01,
15827,1993-05-02,
15828,1993-05-03,
15829,1993-05-04,
15830,1993-05-05,
15831,1993-05-06,
15832,1993-05-07,
15833,1993-05-08,
15834,1993-05-09,
15835,1993-05-10,
15836,1993-05-11,
15837,1993-05-12,
15838,1993-05-13,
15839,1993-05-14,
15840,1993-05-15,
15841,1993-05-16,
15842,1993-05-17,
15843,1993-05-18,
15844,1993-05-19,
15845,1993-05-20,
15846,1993-05-21,
15847,1993-05-22,
15848,1993-05-23,
15849,1993-05-24,
15850,1993-05-25,
15851,1993-05-26,
15852,1993-05-27,
15853,1993-05-28,
15854,1993-05-29,
15855,1993-05-30,
15856,1993-05-31,
15857,1993-06-01,
15858,1993-06-02,
15859,1993-06-03,
15860,1993-06-04,
15861,1993-06-05,
15862,1993-06-06,
15863,1993-06-07,
15864,1993-06-08,
15865,1993-06-09,
15866,1993-06-10,
15867,1993-06-11,
15868,1993-06-12,
15869,1993-06-13,
15870,1993-06-14,
15871,1993-06-15,
15872,1993-06-16,
15873,1993-06-17,
15874,1993-06-18,
15875,1993-06-19,
15876,1993-06-20,
15877,1993-06-21,
15878,1993-06-22,
15879,1993-06-23,
15880,1993-06-24,
15881,1993-06-25,
15882,1993-06-26,
15883,1993-06-27,
15884,1993-06-28,
15885,1993-06-29,
15886,1993-06-30,
15887,1993-07-01,
15888,1993-07-02,
15889,1993-07-03,
15890,1993-07-04,
15891,1993-07-05,
15892,1993-07-06,
15893,1993-07-07,
15894,1993-07-08,
15895,1993-07-09,
15896,1993-07-10,
15897,1993-07-11,
15898,1993-07-12,
15899,1993-07-13,
15900,1993-07-14,
15901,1993-07-15,
15902,1993-07-16,
15903,1993-07-17,
15904,1993-07-18,
15905,1993-07-19,
15906,1993-07-20,
15907,1993-07-21,
15908,1993-07-22,
15909,1993-07-23,
15910,1993-07-24,
15911,1993-07-25,
15912,1993-07-26,
15913,1993-07-27,
15914,1993-07-28,
15915,1993-07-29,
15916,1993-07-30,
15917,1993-07-31,
15918,1993-08-01,
15919,1993-08-02,
15920,1993-08-03,
15921,1993-08-04,
15922,1993-08-05,
15923,1993-08-06,
15924,1993-08-07,
15925,1993-08-08,
15926,1993-08-09,
15927,1993-08-10,
15928,1993-08-11,
15929,1993-08-12,
15930,1993-08-13,
15931,1993-08-14,
15932,1993-08-15,
15933,1993-08-16,
15934,1993-08-17,
15935,1993-08-18,
15936,1993-08-19,
15937,1993-08-20,
15938,1993-08-21,
15939,1993-08-22,
15940,1993-08-23,
15941,1993-08-24,
15942,1993-08-25,
15943,1993-08-26,
15944,1993-08-27,
15945,1993-08-28,
15946,1993-08-29,
15947,1993-08-30,
15948,1993-08-31,
15949,1993-09-01,
15950,1993-09-02,
15951,1993-09-03,
15952,1993-09-04,
15953,1993-09-05,
15954,1993-09-06,
15955,1993-09-07,
15956,1993-09-08,
15957,1993-09-09,
15958,1993-09-10,
15959,1993-09-11,
15960,1993-09-12,
15961,1993-09-13,
15962,1993-09-14,
15963,1993-09-15,
15964,1993-09-16,
15965,1993-09-17,
15966,1993-09-18,
15967,1993-09-19,
15968,1993-09-20,
15969,1993-09-21,
15970,1993-09-22,
15971,1993-09-23,
15972,1993-09-24,
15973,1993-09-25,
15974,1993-09-26,
15975,1993-09-27,
15976,1993-09-28,
15977,1993-09-29,
15978,1993-09-30,
15979,1993-10-01,
15980,1993-10-02,
15981,1993-10-03,
15982,1993-10-04,
15983,1993-10-05,
15984,1993-10-06,
15985,1993-10-07,
15986,1993-10-08,
15987,1993-10-09,
15988,1993-10-10,
15989,1993-10-11,
15990,1993-10-12,
15991,1993-10-13,
15992,1993-10-14,
15993,1993-10-15,
15994,1993-10-16,
15995,1993-10-17,
15996,1993-10-18,
15997,1993-10-19,
15998,1993-10-20,
15999,1993-10-21,
16000,1993-10-22,
16001,1993-10-23,
16002,1993-10-24,
16003,1993-10-25,
16004,1993-10-26,
16005,1993-10-27,
16006,1993-10-28,
16007,1993-10-29,
16008,1993-10-30,
16009,1993-10-31,
16010,1993-11-01,
16011,1993-11-02,
16012,1993-11-03,
16013,1993-11-04,
16014,1993-11-05,
16015,1993-11-06,
16016,1993-11-07,
16017,1993-11-08,
16018,1993-11-09,
16019,1993-11-10,
16020,1993-11-11,
16021,1993-11-12,
16022,1993-11-13,
16023,1993-11-14,
16024,1993-11-15,
16025,1993-11-16,
16026,1993-11-17,
16027,1993-11-18,
16028,1993-11-19,
16029,1993-11-20,
16030,1993-11-21,
16031,1993-11-22,
16032,1993-11-23,
16033,1993-11-24,
16034,1993-11-25,
16035,1993-11-26,
16036,1993-11-27,
16037,1993-11-28,
16038,1993-11-29,
16039,1993-11-30,
16040,1993-12-01,
16041,1993-12-02,
16042,1993-12-03,
16043,1993-12-04,
16044,1993-12-05,
16045,1993-12-06,
16046,1993-12-07,
16047,1993-12-08,
16048,1993-12-09,
16049,1993-12-10,
16050,1993-12-11,
16051,1993-12-12,
16052,1993-12-13,
16053,1993-12-14,
16054,1993-12-15,
16055,1993-12-16,
16056,1993-12-17,
16057,1993-12-18,
16058,1993-12-19,
16059,1993-12-20,
16060,1993-12-21,
16061,1993-12-22,
16062,1993-12-23,
16063,1993-12-24,
16064,1993-12-25,
16065,1993-12-26,
16066,1993-12-27,
16067,1993-12-28,
16068,1993-12-29,
16069,1993-12-30,
16070,1993-12-31,
