,time,temperatura_avg
7170,1982-01-01,
7171,1982-01-02,
7172,1982-01-03,
7173,1982-01-04,
7174,1982-01-05,
7175,1982-01-06,
7176,1982-01-07,
7177,1982-01-08,
7178,1982-01-09,
7179,1982-01-10,
7180,1982-01-11,
7181,1982-01-12,
7182,1982-01-13,
7183,1982-01-14,
7184,1982-01-15,
7185,1982-01-16,
7186,1982-01-17,
7187,1982-01-18,
7188,1982-01-19,
7189,1982-01-20,
7190,1982-01-21,
7191,1982-01-22,
7192,1982-01-23,
7193,1982-01-24,
7194,1982-01-25,
7195,1982-01-26,
7196,1982-01-27,
7197,1982-01-28,
7198,1982-01-29,
7199,1982-01-30,
7200,1982-01-31,
7201,1982-02-01,
7202,1982-02-02,
7203,1982-02-03,
7204,1982-02-04,
7205,1982-02-05,
7206,1982-02-06,
7207,1982-02-07,
7208,1982-02-08,
7209,1982-02-09,
7210,1982-02-10,
7211,1982-02-11,
7212,1982-02-12,
7213,1982-02-13,
7214,1982-02-14,
7215,1982-02-15,
7216,1982-02-16,
7217,1982-02-17,
7218,1982-02-18,
7219,1982-02-19,
7220,1982-02-20,
7221,1982-02-21,
7222,1982-02-22,
7223,1982-02-23,
7224,1982-02-24,
7225,1982-02-25,
7226,1982-02-26,
7227,1982-02-27,
7228,1982-02-28,
7229,1982-03-01,
7230,1982-03-02,
7231,1982-03-03,
7232,1982-03-04,
7233,1982-03-05,
7234,1982-03-06,
7235,1982-03-07,
7236,1982-03-08,
7237,1982-03-09,
7238,1982-03-10,
7239,1982-03-11,
7240,1982-03-12,
7241,1982-03-13,
7242,1982-03-14,
7243,1982-03-15,
7244,1982-03-16,
7245,1982-03-17,
7246,1982-03-18,
7247,1982-03-19,
7248,1982-03-20,
7249,1982-03-21,
7250,1982-03-22,
7251,1982-03-23,
7252,1982-03-24,
7253,1982-03-25,
7254,1982-03-26,
7255,1982-03-27,
7256,1982-03-28,
7257,1982-03-29,
7258,1982-03-30,
7259,1982-03-31,
7260,1982-04-01,
7261,1982-04-02,
7262,1982-04-03,
7263,1982-04-04,
7264,1982-04-05,
7265,1982-04-06,
7266,1982-04-07,
7267,1982-04-08,
7268,1982-04-09,
7269,1982-04-10,
7270,1982-04-11,
7271,1982-04-12,
7272,1982-04-13,
7273,1982-04-14,
7274,1982-04-15,
7275,1982-04-16,
7276,1982-04-17,
7277,1982-04-18,
7278,1982-04-19,
7279,1982-04-20,
7280,1982-04-21,
7281,1982-04-22,
7282,1982-04-23,
7283,1982-04-24,
7284,1982-04-25,
7285,1982-04-26,
7286,1982-04-27,
7287,1982-04-28,
7288,1982-04-29,
7289,1982-04-30,
7290,1982-05-01,
7291,1982-05-02,
7292,1982-05-03,
7293,1982-05-04,
7294,1982-05-05,
7295,1982-05-06,
7296,1982-05-07,
7297,1982-05-08,
7298,1982-05-09,
7299,1982-05-10,
7300,1982-05-11,
7301,1982-05-12,
7302,1982-05-13,
7303,1982-05-14,
7304,1982-05-15,
7305,1982-05-16,
7306,1982-05-17,
7307,1982-05-18,
7308,1982-05-19,
7309,1982-05-20,
7310,1982-05-21,
7311,1982-05-22,
7312,1982-05-23,
7313,1982-05-24,
7314,1982-05-25,
7315,1982-05-26,
7316,1982-05-27,
7317,1982-05-28,
7318,1982-05-29,
7319,1982-05-30,
7320,1982-05-31,
7321,1982-06-01,
7322,1982-06-02,
7323,1982-06-03,
7324,1982-06-04,
7325,1982-06-05,
7326,1982-06-06,
7327,1982-06-07,
7328,1982-06-08,
7329,1982-06-09,
7330,1982-06-10,
7331,1982-06-11,
7332,1982-06-12,
7333,1982-06-13,
7334,1982-06-14,
7335,1982-06-15,
7336,1982-06-16,
7337,1982-06-17,
7338,1982-06-18,
7339,1982-06-19,
7340,1982-06-20,
7341,1982-06-21,
7342,1982-06-22,
7343,1982-06-23,
7344,1982-06-24,
7345,1982-06-25,
7346,1982-06-26,
7347,1982-06-27,
7348,1982-06-28,
