,time,temperatura_avg
23011,2013-01-01,23.2
23012,2013-01-02,20.2
23013,2013-01-03,22.4
23014,2013-01-04,24.6
23015,2013-01-05,25.4
23016,2013-01-06,24.4
23017,2013-01-07,24.9
23018,2013-01-08,32.1
23019,2013-01-09,21.0
23020,2013-01-10,23.4
23021,2013-01-11,27.3
23022,2013-01-12,22.3
23023,2013-01-13,19.9
23024,2013-01-14,19.8
23025,2013-01-15,22.3
23026,2013-01-16,23.6
23027,2013-01-17,26.4
23028,2013-01-18,29.5
23029,2013-01-19,21.2
23030,2013-01-20,21.9
23031,2013-01-21,24.4
23032,2013-01-22,24.6
23033,2013-01-23,21.7
23034,2013-01-24,24.3
23035,2013-01-25,27.1
23036,2013-01-26,25.9
23037,2013-01-27,22.3
23038,2013-01-28,21.7
23039,2013-01-29,21.8
23040,2013-01-30,23.8
23041,2013-01-31,24.9
23042,2013-02-01,18.1
23043,2013-02-02,17.3
23044,2013-02-03,19.6
23045,2013-02-04,20.7
23046,2013-02-05,22.3
23047,2013-02-06,23.4
23048,2013-02-07,24.7
23049,2013-02-08,26.0
23050,2013-02-09,25.4
23051,2013-02-10,21.2
23052,2013-02-11,20.2
23053,2013-02-12,20.9
23054,2013-02-13,20.2
23055,2013-02-14,22.3
23056,2013-02-15,22.1
23057,2013-02-16,21.2
23058,2013-02-17,22.4
23059,2013-02-18,23.6
23060,2013-02-19,24.5
23061,2013-02-20,24.2
23062,2013-02-21,24.4
23063,2013-02-22,23.8
23064,2013-02-23,23.6
23065,2013-02-24,25.5
23066,2013-02-25,25.7
23067,2013-02-26,24.9
23068,2013-02-27,24.7
23069,2013-02-28,19.7
23070,2013-03-01,19.6
23071,2013-03-02,20.6
23072,2013-03-03,22.4
23073,2013-03-04,23.1
23074,2013-03-05,23.8
23075,2013-03-06,23.8
23076,2013-03-07,24.6
23077,2013-03-08,24.2
23078,2013-03-09,24.7
23079,2013-03-10,24.4
23080,2013-03-11,24.1
23081,2013-03-12,23.3
23082,2013-03-13,24.6
23083,2013-03-14,21.6
23084,2013-03-15,21.9
23085,2013-03-16,23.7
23086,2013-03-17,18.5
23087,2013-03-18,18.7
23088,2013-03-19,20.1
23089,2013-03-20,22.4
23090,2013-03-21,24.6
23091,2013-03-22,26.8
23092,2013-03-23,23.6
23093,2013-03-24,24.2
23094,2013-03-25,23.6
23095,2013-03-26,24.9
23096,2013-03-27,25.4
23097,2013-03-28,24.3
23098,2013-03-29,18.6
23099,2013-03-30,21.4
23100,2013-03-31,20.5
23101,2013-04-01,20.4
23102,2013-04-02,20.7
23103,2013-04-03,17.6
23104,2013-04-04,17.7
23105,2013-04-05,19.2
23106,2013-04-06,17.8
23107,2013-04-07,18.7
23108,2013-04-08,19.4
23109,2013-04-09,18.2
23110,2013-04-10,20.4
23111,2013-04-11,21.1
