,time,temperatura_avg
366,2001-01-01,5.9
367,2001-01-02,9.1
368,2001-01-03,6.7
369,2001-01-04,5.0
370,2001-01-05,5.3
371,2001-01-06,4.0
372,2001-01-07,2.7
373,2001-01-08,3.9
374,2001-01-09,4.8
375,2001-01-10,8.8
376,2001-01-11,7.7
377,2001-01-12,5.7
378,2001-01-13,2.9
379,2001-01-14,1.6
380,2001-01-15,2.1
381,2001-01-16,3.2
382,2001-01-17,3.6
383,2001-01-18,5.0
384,2001-01-19,3.6
385,2001-01-20,1.8
386,2001-01-21,6.2
387,2001-01-22,6.7
388,2001-01-23,4.8
389,2001-01-24,5.3
390,2001-01-25,4.1
391,2001-01-26,4.7
392,2001-01-27,1.8
393,2001-01-28,6.2
394,2001-01-29,5.1
395,2001-01-30,6.0
396,2001-01-31,6.0
397,2001-02-01,5.1
398,2001-02-02,4.3
399,2001-02-03,5.8
400,2001-02-04,5.8
401,2001-02-05,6.9
402,2001-02-06,8.5
403,2001-02-07,2.8
404,2001-02-08,5.3
405,2001-02-09,5.0
406,2001-02-10,6.9
407,2001-02-11,6.1
408,2001-02-12,3.9
409,2001-02-13,4.2
410,2001-02-14,2.3
411,2001-02-15,5.1
412,2001-02-16,4.8
413,2001-02-17,5.6
414,2001-02-18,7.2
415,2001-02-19,9.2
416,2001-02-20,7.5
417,2001-02-21,11.8
418,2001-02-22,13.2
419,2001-02-23,12.1
420,2001-02-24,5.1
421,2001-02-25,5.3
422,2001-02-26,5.5
423,2001-02-27,8.9
424,2001-02-28,12.0
425,2001-03-01,5.1
426,2001-03-02,6.4
427,2001-03-03,8.4
428,2001-03-04,6.8
429,2001-03-05,8.3
430,2001-03-06,12.6
431,2001-03-07,9.4
432,2001-03-08,4.7
433,2001-03-09,5.4
434,2001-03-10,6.5
435,2001-03-11,5.7
436,2001-03-12,4.1
437,2001-03-13,5.4
438,2001-03-14,9.1
439,2001-03-15,12.4
440,2001-03-16,9.6
441,2001-03-17,9.0
442,2001-03-18,12.1
443,2001-03-19,13.6
444,2001-03-20,15.6
445,2001-03-21,15.8
446,2001-03-22,15.2
447,2001-03-23,13.3
448,2001-03-24,15.9
449,2001-03-25,14.2
450,2001-03-26,12.2
451,2001-03-27,12.2
452,2001-03-28,12.7
453,2001-03-29,5.8
454,2001-03-30,8.2
455,2001-03-31,3.7
456,2001-04-01,8.9
457,2001-04-02,11.3
458,2001-04-03,11.7
459,2001-04-04,11.0
460,2001-04-05,14.3
461,2001-04-06,15.6
462,2001-04-07,16.3
463,2001-04-08,17.1
464,2001-04-09,18.1
465,2001-04-10,18.1
466,2001-04-11,18.6
467,2001-04-12,16.7
468,2001-04-13,15.7
469,2001-04-14,16.7
470,2001-04-15,17.3
471,2001-04-16,17.4
472,2001-04-17,19.1
473,2001-04-18,17.9
474,2001-04-19,17.7
475,2001-04-20,17.8
476,2001-04-21,10.1
477,2001-04-22,13.1
478,2001-04-23,16.3
479,2001-04-24,18.0
480,2001-04-25,12.0
481,2001-04-26,14.4
482,2001-04-27,17.1
483,2001-04-28,19.2
484,2001-04-29,17.4
485,2001-04-30,12.9
486,2001-05-01,12.1
487,2001-05-02,12.2
488,2001-05-03,11.6
489,2001-05-04,14.8
490,2001-05-05,17.3
491,2001-05-06,19.7
492,2001-05-07,21.0
493,2001-05-08,19.1
494,2001-05-09,18.2
495,2001-05-10,19.1
496,2001-05-11,18.2
497,2001-05-12,20.1
498,2001-05-13,21.5
499,2001-05-14,22.1
500,2001-05-15,22.3
501,2001-05-16,19.6
502,2001-05-17,19.8
503,2001-05-18,21.6
504,2001-05-19,20.6
505,2001-05-20,23.3
506,2001-05-21,22.5
507,2001-05-22,21.2
508,2001-05-23,19.6
509,2001-05-24,19.6
510,2001-05-25,22.6
511,2001-05-26,23.2
512,2001-05-27,20.2
513,2001-05-28,21.1
514,2001-05-29,21.3
515,2001-05-30,21.3
516,2001-05-31,22.6
517,2001-06-01,23.1
518,2001-06-02,22.1
519,2001-06-03,23.8
520,2001-06-04,25.5
521,2001-06-05,23.1
522,2001-06-06,20.3
523,2001-06-07,21.7
524,2001-06-08,21.2
525,2001-06-09,21.4
526,2001-06-10,21.2
527,2001-06-11,22.8
528,2001-06-12,20.4
529,2001-06-13,21.8
530,2001-06-14,18.1
531,2001-06-15,17.2
532,2001-06-16,19.7
533,2001-06-17,23.2
534,2001-06-18,25.3
535,2001-06-19,25.9
536,2001-06-20,22.4
537,2001-06-21,19.4
538,2001-06-22,21.8
539,2001-06-23,23.3
540,2001-06-24,25.1
541,2001-06-25,26.6
542,2001-06-26,27.6
543,2001-06-27,28.6
544,2001-06-28,27.7
545,2001-06-29,28.2
546,2001-06-30,25.8
547,2001-07-01,28.8
548,2001-07-02,26.2
549,2001-07-03,27.9
550,2001-07-04,30.4
551,2001-07-05,30.6
552,2001-07-06,28.5
553,2001-07-07,25.6
554,2001-07-08,26.1
555,2001-07-09,26.9
556,2001-07-10,26.9
557,2001-07-11,29.2
558,2001-07-12,31.1
559,2001-07-13,31.6
560,2001-07-14,30.4
561,2001-07-15,30.1
562,2001-07-16,29.6
563,2001-07-17,29.1
564,2001-07-18,28.0
565,2001-07-19,27.5
566,2001-07-20,29.1
567,2001-07-21,29.9
568,2001-07-22,30.8
569,2001-07-23,31.5
570,2001-07-24,32.1
571,2001-07-25,28.3
