time,temperatura_avg
1985-01-01,-20.4
1985-01-02,-18.7
1985-01-03,-26.3
1985-01-04,-29.4
1985-01-05,-31.6
1985-01-06,-31.7
1985-01-07,-23.8
1985-01-08,-21.3
1985-01-09,-28.4
1985-01-10,-32.4
1985-01-11,-36.3
1985-01-12,-35.1
1985-01-13,-32.3
1985-01-14,-34.7
1985-01-15,-35.5
1985-01-16,-29.6
1985-01-17,-30.2
1985-01-18,-29.5
1985-01-19,-28.8
1985-01-20,-26.5
1985-01-21,-30.2
1985-01-22,-33.7
1985-01-23,-34.3
1985-01-24,-28.4
1985-01-25,-33.7
1985-01-26,-36.6
1985-01-27,-35.1
1985-01-28,-32.1
1985-01-29,-34.1
1985-01-30,-31.0
1985-01-31,-39.3
1985-02-01,-40.6
1985-02-02,-41.6
1985-02-03,-42.7
1985-02-04,-40.6
1985-02-05,
1985-02-06,-33.3
1985-02-07,-33.3
1985-02-08,-32.9
1985-02-09,-33.7
1985-02-10,-35.9
1985-02-11,-34.8
1985-02-12,
1985-02-13,-37.0
1985-02-14,-38.7
1985-02-15,-30.2
1985-02-16,-36.8
1985-02-17,-35.0
1985-02-18,-26.9
1985-02-19,-37.3
1985-02-20,-39.6
1985-02-21,-41.5
1985-02-22,-42.9
1985-02-23,-36.1
1985-02-24,-36.1
1985-02-25,-40.0
1985-02-26,-37.9
1985-02-27,-38.4
1985-02-28,-39.1
1985-03-01,-37.6
1985-03-02,-40.8
1985-03-03,-39.2
1985-03-04,-37.7
1985-03-05,
1985-03-06,-33.3
1985-03-07,-35.7
1985-03-08,-31.4
1985-03-09,-34.3
1985-03-10,-35.1
1985-03-11,-34.9
1985-03-12,-34.4
1985-03-13,-35.4
1985-03-14,
1985-03-15,-31.4
1985-03-16,-32.5
1985-03-17,-34.3
1985-03-18,-36.4
1985-03-19,-38.9
1985-03-20,-41.2
1985-03-21,-37.3
1985-03-22,-34.7
1985-03-23,-34.0
1985-03-24,-34.3
1985-03-25,-35.3
1985-03-26,-34.6
1985-03-27,-37.1
1985-03-28,-24.7
1985-03-29,-33.4
1985-03-30,-22.6
1985-03-31,-25.2
1985-04-01,-25.3
1985-04-02,-25.9
1985-04-03,-31.7
1985-04-04,-34.3
1985-04-05,-35.0
1985-04-06,-34.7
1985-04-07,-33.1
1985-04-08,-34.9
1985-04-09,-36.6
1985-04-10,-35.4
1985-04-11,-35.0
1985-04-12,-31.8
1985-04-13,
1985-04-14,-29.6
1985-04-15,-32.7
1985-04-16,-30.2
1985-04-17,
1985-04-18,-27.6
1985-04-19,-25.2
1985-04-20,-21.4
1985-04-21,-19.2
1985-04-22,-24.6
1985-04-23,-21.8
1985-04-24,-22.3
1985-04-25,-24.0
1985-04-26,-21.6
1985-04-27,-22.4
1985-04-28,-23.4
1985-04-29,-22.9
1985-04-30,-23.3
1985-05-01,-22.4
1985-05-02,-22.9
1985-05-03,-21.4
1985-05-04,-22.7
1985-05-05,-20.0
1985-05-06,-18.3
1985-05-07,-19.5
1985-05-08,-21.1
1985-05-09,-20.5
1985-05-10,-20.9
1985-05-11,-18.2
1985-05-12,-13.8
1985-05-13,-15.5
1985-05-14,-9.5
1985-05-15,-6.7
1985-05-16,-9.6
1985-05-17,-9.8
1985-05-18,-10.6
1985-05-19,-13.4
1985-05-20,
1985-05-21,-12.3
1985-05-22,-6.3
1985-05-23,-6.0
1985-05-24,-7.6
1985-05-25,-8.3
1985-05-26,-7.6
1985-05-27,-9.3
1985-05-28,-10.4
1985-05-29,-10.2
1985-05-30,-10.1
1985-05-31,-7.3
1985-06-01,-9.5
1985-06-02,-8.0
1985-06-03,-6.9
1985-06-04,
1985-06-05,-6.8
1985-06-06,-7.8
1985-06-07,-4.0
1985-06-08,-1.9
1985-06-09,-1.8
1985-06-10,1.7
1985-06-11,2.8
1985-06-12,1.8
1985-06-13,-1.2
1985-06-14,-0.1
1985-06-15,1.1
1985-06-16,0.0
1985-06-17,-0.7
1985-06-18,
1985-06-19,3.6
1985-06-20,0.8
1985-06-21,-0.4
1985-06-22,-0.6
1985-06-23,2.8
1985-06-24,2.0
1985-06-25,3.1
1985-06-26,8.1
1985-06-27,3.1
1985-06-28,4.4
1985-06-29,3.4
1985-06-30,3.2
1985-07-01,1.4
1985-07-02,
1985-07-03,-2.9
1985-07-04,8.3
1985-07-05,13.8
1985-07-06,6.8
1985-07-07,0.4
1985-07-08,1.2
1985-07-09,2.7
1985-07-10,1.7
1985-07-11,-0.2
1985-07-12,-0.4
1985-07-13,-0.3
1985-07-14,0.3
1985-07-15,2.8
1985-07-16,
1985-07-17,1.7
1985-07-18,2.0
1985-07-19,0.2
1985-07-20,0.9
1985-07-21,8.8
1985-07-22,8.9
1985-07-23,
1985-07-24,6.9
1985-07-25,3.6
1985-07-26,1.2
1985-07-27,0.7
1985-07-28,1.6
1985-07-29,5.7
1985-07-30,12.1
1985-07-31,13.7
1985-08-01,9.6
1985-08-02,3.0
1985-08-03,0.9
1985-08-04,-2.4
1985-08-05,-2.1
1985-08-06,-2.6
1985-08-07,1.4
1985-08-08,6.7
1985-08-09,0.8
1985-08-10,-1.7
1985-08-11,-2.2
1985-08-12,
1985-08-13,0.7
