time,temperatura_avg
1968-01-01,18.3
1968-01-02,18.7
1968-01-03,18.0
1968-01-04,17.9
1968-01-05,19.1
1968-01-06,17.4
1968-01-07,19.7
1968-01-08,19.7
1968-01-09,19.2
1968-01-10,19.4
1968-01-11,20.4
1968-01-12,21.7
1968-01-13,19.8
1968-01-14,18.9
1968-01-15,18.1
1968-01-16,17.9
1968-01-17,18.6
1968-01-18,16.6
1968-01-19,16.3
1968-01-20,17.0
1968-01-21,16.6
1968-01-22,17.9
1968-01-23,18.8
1968-01-24,19.4
1968-01-25,20.0
1968-01-26,19.6
1968-01-27,19.8
1968-01-28,17.2
1968-01-29,19.1
1968-01-30,18.2
1968-01-31,19.4
1968-02-01,20.3
1968-02-02,21.2
1968-02-03,18.8
1968-02-04,16.7
1968-02-05,16.4
1968-02-06,17.7
1968-02-07,18.3
1968-02-08,20.1
1968-02-09,19.3
1968-02-10,17.1
1968-02-11,17.0
1968-02-12,19.2
1968-02-13,17.1
1968-02-14,17.5
1968-02-15,16.9
1968-02-16,16.3
1968-02-17,18.7
1968-02-18,18.6
1968-02-19,19.1
1968-02-20,18.8
1968-02-21,20.4
1968-02-22,18.9
1968-02-23,19.4
1968-02-24,20.2
1968-02-25,19.0
1968-02-26,18.6
1968-02-27,19.7
1968-02-28,21.1
1968-02-29,21.0
1968-03-01,18.8
1968-03-02,20.8
1968-03-03,20.0
1968-03-04,20.3
1968-03-05,20.4
1968-03-06,21.9
1968-03-07,21.4
1968-03-08,21.9
1968-03-09,20.9
1968-03-10,20.7
1968-03-11,22.1
1968-03-12,19.6
1968-03-13,20.3
1968-03-14,19.9
1968-03-15,20.0
1968-03-16,21.5
1968-03-17,19.4
1968-03-18,20.4
1968-03-19,19.7
1968-03-20,18.4
1968-03-21,18.6
1968-03-22,18.1
1968-03-23,20.1
1968-03-24,19.4
1968-03-25,19.3
1968-03-26,19.2
1968-03-27,19.8
1968-03-28,21.1
1968-03-29,21.8
1968-03-30,22.1
1968-03-31,20.8
1968-04-01,20.2
1968-04-02,20.3
1968-04-03,19.0
1968-04-04,19.1
1968-04-05,20.0
1968-04-06,19.4
1968-04-07,19.9
1968-04-08,20.2
1968-04-09,17.3
1968-04-10,13.3
1968-04-11,13.1
1968-04-12,13.8
1968-04-13,15.9
1968-04-14,15.7
1968-04-15,16.0
1968-04-16,15.0
1968-04-17,14.0
1968-04-18,12.8
1968-04-19,14.9
1968-04-20,15.3
1968-04-21,16.2
1968-04-22,15.5
1968-04-23,16.8
1968-04-24,14.3
1968-04-25,12.8
1968-04-26,13.4
1968-04-27,13.2
1968-04-28,13.4
1968-04-29,16.2
1968-04-30,16.8
1968-05-01,16.7
1968-05-02,15.7
1968-05-03,16.6
1968-05-04,16.9
1968-05-05,14.0
1968-05-06,14.7
1968-05-07,12.4
1968-05-08,13.7
1968-05-09,12.2
1968-05-10,10.6
1968-05-11,10.7
1968-05-12,10.9
1968-05-13,11.4
1968-05-14,12.2
1968-05-15,11.8
1968-05-16,16.6
1968-05-17,14.7
1968-05-18,13.8
1968-05-19,16.9
1968-05-20,13.9
1968-05-21,14.1
1968-05-22,12.8
1968-05-23,9.9
1968-05-24,12.6
1968-05-25,14.8
1968-05-26,12.2
1968-05-27,15.0
1968-05-28,14.4
1968-05-29,13.4
1968-05-30,12.6
1968-05-31,12.8
1968-06-01,13.7
1968-06-02,13.6
1968-06-03,13.2
1968-06-04,13.7
1968-06-05,11.7
1968-06-06,14.6
1968-06-07,14.1
1968-06-08,10.8
1968-06-09,8.8
1968-06-10,7.6
1968-06-11,8.1
1968-06-12,9.6
1968-06-13,12.7
1968-06-14,14.2
1968-06-15,14.3
1968-06-16,12.5
1968-06-17,12.3
1968-06-18,10.9
1968-06-19,12.0
1968-06-20,11.2
1968-06-21,13.3
1968-06-22,13.7
1968-06-23,12.1
1968-06-24,11.7
1968-06-25,12.0
1968-06-26,12.0
1968-06-27,10.8
1968-06-28,11.2
1968-06-29,10.9
1968-06-30,10.6
1968-07-01,10.3
1968-07-02,8.4
1968-07-03,10.5
1968-07-04,6.4
1968-07-05,7.1
1968-07-06,11.4
1968-07-07,12.7
1968-07-08,12.2
1968-07-09,12.7
1968-07-10,11.4
1968-07-11,9.8
1968-07-12,9.3
1968-07-13,7.2
1968-07-14,8.7
1968-07-15,8.0
1968-07-16,10.9
1968-07-17,7.6
1968-07-18,7.1
1968-07-19,7.0
1968-07-20,9.6
1968-07-21,13.8
1968-07-22,14.1
1968-07-23,13.4
1968-07-24,13.4
1968-07-25,10.9
1968-07-26,8.8
1968-07-27,10.6
1968-07-28,11.0
1968-07-29,11.9
1968-07-30,12.2
1968-07-31,12.3
1968-08-01,12.2
1968-08-02,11.4
1968-08-03,12.5
1968-08-04,12.7
1968-08-05,12.5
1968-08-06,12.0
1968-08-07,10.9
1968-08-08,9.8
1968-08-09,9.8
1968-08-10,12.7
1968-08-11,13.5
1968-08-12,13.6
1968-08-13,12.0
1968-08-14,10.1
1968-08-15,10.4
1968-08-16,12.1
1968-08-17,10.9
1968-08-18,10.6
1968-08-19,9.6
1968-08-20,8.3
1968-08-21,12.2
1968-08-22,13.3
1968-08-23,12.7
1968-08-24,12.2
1968-08-25,9.9
1968-08-26,11.9
