time,temperatura_avg
1966-01-01,5.2
1966-01-02,6.4
1966-01-03,2.8
1966-01-04,-3.7
1966-01-05,-4.4
1966-01-06,-6.0
1966-01-07,-2.5
1966-01-08,-3.0
1966-01-09,-4.6
1966-01-10,-4.5
1966-01-11,-4.4
1966-01-12,-6.6
1966-01-13,-3.2
1966-01-14,-4.6
1966-01-15,-5.1
1966-01-16,-7.6
1966-01-17,-9.6
1966-01-18,-7.8
1966-01-19,-4.5
1966-01-20,-8.9
1966-01-21,-6.2
1966-01-22,-4.0
1966-01-23,-2.6
1966-01-24,-2.0
1966-01-25,-0.6
1966-01-26,-5.1
1966-01-27,-2.9
1966-01-28,1.2
1966-01-29,3.2
1966-01-30,6.1
1966-01-31,6.8
1966-02-01,2.7
1966-02-02,-0.8
1966-02-03,2.2
1966-02-04,2.2
1966-02-05,8.1
1966-02-06,8.6
1966-02-07,3.0
1966-02-08,-6.1
1966-02-09,-8.0
1966-02-10,-9.0
1966-02-11,-6.1
1966-02-12,-4.7
1966-02-13,-4.5
1966-02-14,-2.0
1966-02-15,-1.5
1966-02-16,-4.8
1966-02-17,-5.0
1966-02-18,-4.8
1966-02-19,0.0
1966-02-20,7.3
1966-02-21,10.1
1966-02-22,7.7
1966-02-23,5.8
1966-02-24,5.3
1966-02-25,9.0
1966-02-26,9.8
1966-02-27,8.6
1966-02-28,7.4
1966-03-01,6.0
1966-03-02,3.8
1966-03-03,5.6
1966-03-04,5.7
1966-03-05,4.2
1966-03-06,6.4
1966-03-07,8.1
1966-03-08,8.2
1966-03-09,5.5
1966-03-10,6.4
1966-03-11,5.9
1966-03-12,2.6
1966-03-13,-1.4
1966-03-14,-0.1
1966-03-15,3.0
1966-03-16,2.6
1966-03-17,5.8
1966-03-18,5.5
1966-03-19,1.4
1966-03-20,3.0
1966-03-21,4.4
1966-03-22,6.1
1966-03-23,6.0
1966-03-24,2.7
1966-03-25,1.4
1966-03-26,2.2
1966-03-27,4.7
1966-03-28,3.8
1966-03-29,2.6
1966-03-30,1.5
1966-03-31,5.8
1966-04-01,8.8
1966-04-02,9.5
1966-04-03,7.9
1966-04-04,9.3
1966-04-05,8.8
1966-04-06,12.4
1966-04-07,11.6
1966-04-08,9.4
1966-04-09,12.0
1966-04-10,10.1
1966-04-11,4.6
1966-04-12,2.9
1966-04-13,3.4
1966-04-14,1.6
1966-04-15,1.8
1966-04-16,6.8
1966-04-17,5.8
1966-04-18,8.6
1966-04-19,12.6
1966-04-20,12.1
1966-04-21,4.0
1966-04-22,5.8
1966-04-23,12.4
1966-04-24,16.1
1966-04-25,14.5
1966-04-26,14.6
1966-04-27,15.5
1966-04-28,15.8
1966-04-29,13.5
1966-04-30,15.2
1966-05-01,16.7
1966-05-02,19.0
1966-05-03,21.0
1966-05-04,17.3
1966-05-05,15.1
1966-05-06,13.1
1966-05-07,10.4
1966-05-08,12.2
1966-05-09,9.5
1966-05-10,7.2
1966-05-11,9.2
1966-05-12,14.6
1966-05-13,16.0
1966-05-14,19.4
1966-05-15,19.0
1966-05-16,19.0
1966-05-17,22.1
1966-05-18,21.8
1966-05-19,15.6
1966-05-20,12.7
1966-05-21,14.8
1966-05-22,18.9
1966-05-23,15.6
1966-05-24,14.1
1966-05-25,14.0
1966-05-26,11.5
