time,temperatura_avg
2018-01-01,-9.0
2018-01-02,-4.6
2018-01-03,2.1
2018-01-04,1.2
2018-01-05,4.7
2018-01-06,6.0
2018-01-07,3.2
2018-01-08,5.4
2018-01-09,10.1
2018-01-10,5.8
2018-01-11,-1.9
2018-01-12,1.4
2018-01-13,1.3
2018-01-14,2.2
2018-01-15,-8.7
2018-01-16,-8.3
2018-01-17,0.0
2018-01-18,6.6
2018-01-19,10.4
2018-01-20,4.4
2018-01-21,-4.3
2018-01-22,-2.2
2018-01-23,-2.0
2018-01-24,1.8
2018-01-25,6.3
2018-01-26,-0.4
2018-01-27,-1.2
2018-01-28,1.2
2018-01-29,4.6
2018-01-30,9.7
2018-01-31,1.5
2018-02-01,-2.4
2018-02-02,2.9
2018-02-03,7.6
2018-02-04,-3.8
2018-02-05,3.5
2018-02-06,-0.5
2018-02-07,2.8
2018-02-08,8.0
2018-02-09,-1.4
2018-02-10,-10.1
2018-02-11,-5.8
2018-02-12,-7.9
2018-02-13,2.1
2018-02-14,10.0
2018-02-15,2.3
2018-02-16,-2.9
2018-02-17,4.3
2018-02-18,10.0
2018-02-19,-11.3
2018-02-20,-15.4
2018-02-21,-11.9
2018-02-22,-7.6
2018-02-23,-6.0
2018-02-24,-3.5
2018-02-25,-2.4
2018-02-26,2.8
2018-02-27,3.0
2018-02-28,1.3
2018-03-01,3.2
2018-03-02,9.5
2018-03-03,12.6
2018-03-04,9.9
2018-03-05,-0.1
2018-03-06,-0.0
2018-03-07,1.1
2018-03-08,8.2
2018-03-09,9.3
2018-03-10,5.0
2018-03-11,0.7
2018-03-12,4.4
2018-03-13,5.2
2018-03-14,9.8
2018-03-15,9.5
2018-03-16,5.1
2018-03-17,7.9
2018-03-18,3.9
2018-03-19,0.3
2018-03-20,2.1
2018-03-21,7.4
2018-03-22,12.8
2018-03-23,14.8
2018-03-24,9.9
2018-03-25,8.8
2018-03-26,4.7
2018-03-27,1.6
2018-03-28,2.0
2018-03-29,0.7
2018-03-30,7.2
2018-03-31,5.7
2018-04-01,3.1
2018-04-02,12.5
2018-04-03,2.7
2018-04-04,7.2
2018-04-05,11.3
2018-04-06,-0.5
2018-04-07,4.0
2018-04-08,12.0
2018-04-09,5.7
2018-04-10,11.8
2018-04-11,17.1
2018-04-12,14.3
2018-04-13,2.0
2018-04-14,4.0
2018-04-15,7.2
2018-04-16,13.4
2018-04-17,12.7
2018-04-18,4.9
2018-04-19,9.5
2018-04-20,7.8
2018-04-21,1.2
2018-04-22,8.5
2018-04-23,12.7
2018-04-24,1.1
2018-04-25,8.3
2018-04-26,9.5
2018-04-27,12.5
2018-04-28,15.6
2018-04-29,19.0
2018-04-30,14.3
2018-05-01,11.5
2018-05-02,7.7
2018-05-03,5.4
2018-05-04,11.3
2018-05-05,15.3
2018-05-06,17.4
2018-05-07,18.7
2018-05-08,17.1
2018-05-09,17.3
2018-05-10,19.6
2018-05-11,15.4
2018-05-12,13.3
2018-05-13,12.2
2018-05-14,12.7
2018-05-15,14.5
2018-05-16,18.7
2018-05-17,20.7
2018-05-18,12.9
2018-05-19,7.8
2018-05-20,8.7
2018-05-21,15.5
2018-05-22,17.2
2018-05-23,18.2
2018-05-24,19.5
2018-05-25,21.8
2018-05-26,23.5
2018-05-27,22.3
2018-05-28,14.6
2018-05-29,16.9
2018-05-30,18.6
2018-05-31,22.6
2018-06-01,23.6
2018-06-02,16.9
2018-06-03,18.2
2018-06-04,22.8
2018-06-05,25.9
2018-06-06,23.7
2018-06-07,23.2
2018-06-08,25.4
2018-06-09,24.1
2018-06-10,25.5
2018-06-11,20.3
2018-06-12,21.8
2018-06-13,24.5
2018-06-14,26.3
2018-06-15,24.1
2018-06-16,21.1
2018-06-17,16.7
2018-06-18,18.4
2018-06-19,17.5
2018-06-20,17.2
2018-06-21,19.8
2018-06-22,21.2
2018-06-23,20.7
2018-06-24,14.4
2018-06-25,18.2
2018-06-26,24.9
2018-06-27,27.6
2018-06-28,28.4
2018-06-29,26.7
2018-06-30,17.4
2018-07-01,20.9
2018-07-02,25.0
2018-07-03,24.9
2018-07-04,23.5
2018-07-05,21.1
2018-07-06,23.6
2018-07-07,25.6
2018-07-08,26.0
2018-07-09,26.0
2018-07-10,27.4
2018-07-11,26.1
2018-07-12,22.8
2018-07-13,23.4
2018-07-14,26.6
2018-07-15,19.7
2018-07-16,21.3
2018-07-17,21.9
2018-07-18,25.4
2018-07-19,26.5
2018-07-20,24.4
2018-07-21,24.6
2018-07-22,24.1
2018-07-23,19.0
2018-07-24,21.7
2018-07-25,21.8
2018-07-26,19.1
2018-07-27,20.1
2018-07-28,19.6
2018-07-29,18.7
2018-07-30,17.1
2018-07-31,19.5
2018-08-01,20.5
2018-08-02,23.2
2018-08-03,22.2
2018-08-04,23.6
2018-08-05,22.0
2018-08-06,18.6
2018-08-07,19.7
2018-08-08,20.6
2018-08-09,21.5
2018-08-10,22.0
2018-08-11,23.2
2018-08-12,23.3
2018-08-13,21.8
2018-08-14,20.2
2018-08-15,21.7
2018-08-16,21.4
2018-08-17,21.2
2018-08-18,19.8
2018-08-19,16.1
2018-08-20,17.3
2018-08-21,16.5
2018-08-22,17.5
2018-08-23,21.1
2018-08-24,21.8
2018-08-25,22.3
2018-08-26,23.4
2018-08-27,23.0
2018-08-28,17.1
2018-08-29,19.7
2018-08-30,22.6
2018-08-31,22.6
2018-09-01,19.1
2018-09-02,18.9
2018-09-03,18.2
2018-09-04,18.3
2018-09-05,16.0
2018-09-06,16.3
2018-09-07,16.7
2018-09-08,18.4
2018-09-09,20.7
2018-09-10,21.3
2018-09-11,22.9
2018-09-12,23.2
2018-09-13,23.2
2018-09-14,22.1
2018-09-15,22.4
2018-09-16,23.2
2018-09-17,23.1
2018-09-18,23.1
2018-09-19,20.4
2018-09-20,18.5
2018-09-21,15.2
2018-09-22,18.8
2018-09-23,20.6
2018-09-24,17.6
2018-09-25,10.7
2018-09-26,12.8
2018-09-27,15.5
2018-09-28,9.0
2018-09-29,16.1
2018-09-30,12.0
2018-10-01,14.2
2018-10-02,17.1
2018-10-03,18.9
2018-10-04,11.8
2018-10-05,12.0
2018-10-06,7.4
2018-10-07,6.1
2018-10-08,2.8
2018-10-09,1.4
2018-10-10,0.1
2018-10-11,2.2
2018-10-12,6.4
2018-10-13,7.7
2018-10-14,-4.4
2018-10-15,-2.5
2018-10-16,3.7
2018-10-17,6.1
2018-10-18,8.9
2018-10-19,10.0
2018-10-20,9.8
2018-10-21,11.7
2018-10-22,11.5
2018-10-23,10.3
2018-10-24,9.9
2018-10-25,10.0
2018-10-26,10.8
2018-10-27,13.6
2018-10-28,12.1
2018-10-29,14.7
2018-10-30,3.1
2018-10-31,2.6
2018-11-01,4.5
2018-11-02,7.3
2018-11-03,5.4
2018-11-04,4.4
2018-11-05,5.0
2018-11-06,0.8
2018-11-07,-2.5
2018-11-08,-3.4
2018-11-09,-3.0
2018-11-10,1.4
2018-11-11,-5.2
2018-11-12,-7.2
2018-11-13,-1.2
2018-11-14,4.8
2018-11-15,5.7
2018-11-16,5.8
2018-11-17,-3.0
2018-11-18,-3.3
2018-11-19,-0.3
2018-11-20,2.1
2018-11-21,4.4
2018-11-22,6.0
2018-11-23,5.3
2018-11-24,2.6
2018-11-25,-3.5
2018-11-26,-1.7
2018-11-27,5.2
2018-11-28,7.4
2018-11-29,3.4
2018-11-30,0.7
2018-12-01,-0.9
2018-12-02,-4.8
2018-12-03,-6.1
2018-12-04,-6.2
2018-12-05,-3.7
2018-12-06,-5.5
2018-12-07,-4.1
2018-12-08,-1.7
2018-12-09,-2.2
2018-12-10,0.6
2018-12-11,3.1
2018-12-12,3.2
2018-12-13,-2.0
2018-12-14,1.0
2018-12-15,4.4
2018-12-16,3.6
2018-12-17,4.2
2018-12-18,5.7
2018-12-19,4.3
2018-12-20,-0.1
2018-12-21,4.9
2018-12-22,-2.0
2018-12-23,-2.5
2018-12-24,-0.0
2018-12-25,-0.8
2018-12-26,-2.2
2018-12-27,-7.8
2018-12-28,-11.0
2018-12-29,-7.8
2018-12-30,0.2
2018-12-31,-9.4
