time,temperatura_avg
2018-01-01,22.3
2018-01-02,22.2
2018-01-03,21.9
2018-01-04,22.7
2018-01-05,22.5
2018-01-06,21.9
2018-01-07,22.6
2018-01-08,21.7
2018-01-09,22.8
2018-01-10,22.7
2018-01-11,22.4
2018-01-12,22.1
2018-01-13,21.8
2018-01-14,21.9
2018-01-15,21.8
2018-01-16,
2018-01-17,21.3
2018-01-18,20.4
2018-01-19,20.5
2018-01-20,21.1
2018-01-21,22.0
2018-01-22,21.2
2018-01-23,21.8
2018-01-24,22.8
2018-01-25,22.9
2018-01-26,22.2
2018-01-27,22.7
2018-01-28,22.1
2018-01-29,22.5
2018-01-30,22.9
2018-01-31,22.2
2018-02-01,21.8
2018-02-02,22.0
2018-02-03,23.2
2018-02-04,22.8
2018-02-05,22.7
2018-02-06,24.1
2018-02-07,23.9
2018-02-08,22.9
2018-02-09,22.7
2018-02-10,22.9
2018-02-11,22.7
2018-02-12,24.1
2018-02-13,24.4
2018-02-14,23.4
2018-02-15,23.7
2018-02-16,24.5
2018-02-17,23.8
2018-02-18,22.6
2018-02-19,23.3
2018-02-20,23.7
2018-02-21,23.1
2018-02-22,21.9
2018-02-23,21.2
2018-02-24,22.9
2018-02-25,22.2
2018-02-26,22.1
2018-02-27,22.6
2018-02-28,21.8
2018-03-01,21.9
2018-03-02,21.3
2018-03-03,21.9
2018-03-04,22.4
2018-03-05,22.3
2018-03-06,20.8
2018-03-07,21.8
2018-03-08,22.6
2018-03-09,22.4
2018-03-10,21.7
2018-03-11,21.6
2018-03-12,21.6
2018-03-13,21.9
2018-03-14,22.1
2018-03-15,22.1
2018-03-16,22.1
2018-03-17,22.8
2018-03-18,22.8
2018-03-19,22.2
2018-03-20,21.8
2018-03-21,21.1
2018-03-22,20.4
2018-03-23,21.3
2018-03-24,21.2
2018-03-25,21.7
2018-03-26,21.2
2018-03-27,21.6
2018-03-28,21.1
2018-03-29,20.8
2018-03-30,21.0
2018-03-31,21.1
2018-04-01,21.8
2018-04-02,21.4
2018-04-03,21.8
2018-04-04,21.4
2018-04-05,21.5
2018-04-06,21.9
2018-04-07,20.5
2018-04-08,21.5
2018-04-09,22.0
2018-04-10,22.2
2018-04-11,21.1
2018-04-12,19.9
2018-04-13,19.7
2018-04-14,20.1
2018-04-15,20.4
2018-04-16,20.2
2018-04-17,21.1
2018-04-18,20.9
2018-04-19,20.2
2018-04-20,19.3
2018-04-21,19.8
2018-04-22,21.4
2018-04-23,20.9
2018-04-24,21.3
2018-04-25,21.2
2018-04-26,21.0
2018-04-27,20.7
2018-04-28,20.8
2018-04-29,20.5
2018-04-30,20.2
2018-05-01,19.9
2018-05-02,19.5
2018-05-03,19.4
2018-05-04,19.0
2018-05-05,18.4
2018-05-06,19.5
2018-05-07,19.4
2018-05-08,21.3
2018-05-09,20.6
2018-05-10,18.9
2018-05-11,18.0
2018-05-12,18.8
2018-05-13,18.3
2018-05-14,19.2
2018-05-15,19.9
2018-05-16,20.1
2018-05-17,18.4
2018-05-18,17.9
2018-05-19,17.7
2018-05-20,18.0
2018-05-21,17.9
2018-05-22,17.6
2018-05-23,18.4
2018-05-24,18.6
2018-05-25,18.0
2018-05-26,18.7
2018-05-27,18.2
2018-05-28,16.8
2018-05-29,16.5
2018-05-30,16.4
2018-05-31,16.6
2018-06-01,16.7
2018-06-02,17.7
2018-06-03,17.3
2018-06-04,17.2
2018-06-05,16.9
2018-06-06,17.4
2018-06-07,17.4
2018-06-08,17.5
2018-06-09,17.0
2018-06-10,17.5
2018-06-11,16.8
2018-06-12,16.5
2018-06-13,16.9
2018-06-14,16.7
2018-06-15,16.3
2018-06-16,16.6
2018-06-17,16.6
2018-06-18,16.2
2018-06-19,16.1
2018-06-20,16.4
2018-06-21,17.3
2018-06-22,16.6
2018-06-23,17.1
2018-06-24,17.3
2018-06-25,17.3
2018-06-26,16.9
2018-06-27,17.1
2018-06-28,17.4
2018-06-29,17.3
2018-06-30,17.5
2018-07-01,17.2
2018-07-02,16.7
2018-07-03,
2018-07-04,17.1
2018-07-05,17.0
2018-07-06,17.0
2018-07-07,16.8
2018-07-08,17.6
2018-07-09,17.1
2018-07-10,17.4
2018-07-11,17.4
2018-07-12,17.0
2018-07-13,17.7
2018-07-14,17.2
2018-07-15,16.8
2018-07-16,17.0
2018-07-17,17.2
2018-07-18,16.6
2018-07-19,17.6
2018-07-20,17.0
2018-07-21,16.8
2018-07-22,16.8
2018-07-23,16.8
2018-07-24,16.8
2018-07-25,16.8
2018-07-26,16.6
2018-07-27,16.7
2018-07-28,16.3
2018-07-29,16.3
2018-07-30,16.2
2018-07-31,16.1
2018-08-01,16.7
2018-08-02,16.4
2018-08-03,16.6
2018-08-04,16.4
2018-08-05,16.4
2018-08-06,16.0
2018-08-07,15.9
2018-08-08,16.0
2018-08-09,16.2
2018-08-10,16.3
2018-08-11,16.3
2018-08-12,16.5
2018-08-13,16.2
2018-08-14,16.4
2018-08-15,17.2
2018-08-16,16.9
2018-08-17,16.6
2018-08-18,16.1
2018-08-19,16.3
2018-08-20,16.8
2018-08-21,16.2
2018-08-22,16.3
2018-08-23,16.3
2018-08-24,16.6
2018-08-25,16.9
2018-08-26,16.6
2018-08-27,16.7
2018-08-28,16.3
2018-08-29,16.4
2018-08-30,16.9
2018-08-31,16.5
2018-09-01,17.2
2018-09-02,17.3
2018-09-03,17.1
2018-09-04,17.2
2018-09-05,17.4
2018-09-06,16.7
2018-09-07,17.0
2018-09-08,17.2
2018-09-09,16.9
2018-09-10,16.6
2018-09-11,16.8
2018-09-12,16.7
2018-09-13,17.2
2018-09-14,16.8
2018-09-15,17.3
2018-09-16,16.9
2018-09-17,16.9
2018-09-18,16.7
2018-09-19,16.3
2018-09-20,16.3
2018-09-21,16.8
2018-09-22,16.9
2018-09-23,16.8
2018-09-24,16.8
2018-09-25,16.8
2018-09-26,16.9
2018-09-27,17.3
2018-09-28,17.2
2018-09-29,17.3
2018-09-30,17.4
2018-10-01,16.9
2018-10-02,17.3
2018-10-03,18.3
2018-10-04,18.8
2018-10-05,18.2
2018-10-06,18.1
2018-10-07,18.2
2018-10-08,19.3
2018-10-09,19.7
2018-10-10,19.1
2018-10-11,18.4
2018-10-12,18.1
2018-10-13,18.2
2018-10-14,17.7
2018-10-15,18.0
2018-10-16,18.3
2018-10-17,18.2
2018-10-18,18.3
2018-10-19,18.0
2018-10-20,18.4
2018-10-21,18.0
2018-10-22,18.0
2018-10-23,18.2
2018-10-24,18.3
2018-10-25,18.6
2018-10-26,17.9
2018-10-27,17.6
2018-10-28,18.2
2018-10-29,18.7
2018-10-30,18.7
2018-10-31,19.0
2018-11-01,19.0
2018-11-02,19.6
2018-11-03,19.5
2018-11-04,19.5
2018-11-05,20.0
2018-11-06,19.6
2018-11-07,19.5
2018-11-08,19.7
2018-11-09,20.2
2018-11-10,19.6
2018-11-11,19.6
2018-11-12,19.8
2018-11-13,19.9
2018-11-14,20.1
2018-11-15,19.5
2018-11-16,19.2
2018-11-17,19.0
2018-11-18,19.9
2018-11-19,19.4
2018-11-20,19.5
2018-11-21,19.7
2018-11-22,19.9
2018-11-23,19.9
2018-11-24,19.8
2018-11-25,20.5
2018-11-26,20.3
2018-11-27,21.1
2018-11-28,20.9
2018-11-29,20.7
2018-11-30,20.9
2018-12-01,21.3
2018-12-02,20.8
2018-12-03,21.3
2018-12-04,21.7
2018-12-05,21.5
2018-12-06,21.1
2018-12-07,20.6
2018-12-08,19.7
2018-12-09,21.5
2018-12-10,21.3
2018-12-11,20.8
2018-12-12,20.4
2018-12-13,20.9
2018-12-14,22.0
2018-12-15,21.2
2018-12-16,21.7
2018-12-17,21.9
2018-12-18,22.5
2018-12-19,22.4
2018-12-20,22.3
2018-12-21,22.1
2018-12-22,22.6
2018-12-23,22.4
2018-12-24,22.0
2018-12-25,22.8
2018-12-26,22.4
2018-12-27,22.5
2018-12-28,22.7
2018-12-29,23.0
2018-12-30,23.1
2018-12-31,22.6
