time,temperatura_avg
1996-01-01,
1996-01-02,
1996-01-03,
1996-01-04,
1996-01-05,
1996-01-06,-5.6
1996-01-07,
1996-01-08,
1996-01-09,-2.1
1996-01-10,-2.2
1996-01-11,-4.4
1996-01-12,-2.8
1996-01-13,-2.4
1996-01-14,
1996-01-15,-7.0
1996-01-16,-6.1
1996-01-17,-5.6
1996-01-18,-9.0
1996-01-19,-6.3
1996-01-20,
1996-01-21,-5.3
1996-01-22,
1996-01-23,-5.3
1996-01-24,-6.3
1996-01-25,-6.0
1996-01-26,-4.5
1996-01-27,-2.0
1996-01-28,-2.2
1996-01-29,
1996-01-30,-1.3
1996-01-31,-1.2
1996-02-01,-5.1
1996-02-02,-3.6
1996-02-03,-5.1
1996-02-04,-3.0
1996-02-05,-3.4
1996-02-06,-2.8
1996-02-07,-7.8
1996-02-08,-6.6
1996-02-09,-4.8
1996-02-10,
1996-02-11,-9.1
1996-02-12,-13.1
1996-02-13,-12.9
1996-02-14,-7.4
1996-02-15,-13.4
1996-02-16,-12.2
1996-02-17,-13.3
1996-02-18,-14.4
1996-02-19,-12.6
1996-02-20,-12.9
1996-02-21,-16.2
1996-02-22,-15.2
1996-02-23,-15.2
1996-02-24,-18.4
1996-02-25,-18.0
1996-02-26,-18.4
1996-02-27,-16.4
1996-02-28,-20.4
1996-02-29,-18.8
1996-03-01,
1996-03-02,
1996-03-03,-19.9
1996-03-04,-20.1
1996-03-05,-19.1
1996-03-06,-21.8
1996-03-07,-22.7
1996-03-08,-18.6
1996-03-09,-12.0
1996-03-10,-21.5
1996-03-11,-17.9
1996-03-12,-18.4
1996-03-13,-22.4
1996-03-14,-24.8
1996-03-15,-26.8
1996-03-16,-25.7
1996-03-17,-21.5
1996-03-18,-23.4
1996-03-19,-28.4
1996-03-20,-24.6
1996-03-21,-21.3
1996-03-22,-25.0
1996-03-23,-24.1
1996-03-24,
1996-03-25,-24.6
1996-03-26,
1996-03-27,-26.9
1996-03-28,-29.1
1996-03-29,-15.1
1996-03-30,-12.3
1996-03-31,-19.5
1996-04-01,
1996-04-02,-21.9
1996-04-03,-29.6
1996-04-04,-27.2
1996-04-05,-28.9
1996-04-06,
1996-04-07,-27.3
1996-04-08,-24.3
1996-04-09,-27.4
1996-04-10,-33.1
1996-04-11,-17.2
1996-04-12,
1996-04-13,-17.8
1996-04-14,-11.1
1996-04-15,
1996-04-16,
1996-04-17,-13.0
1996-04-18,-19.0
1996-04-19,-12.0
1996-04-20,-9.3
1996-04-21,-14.2
1996-04-22,
1996-04-23,-28.7
1996-04-24,-25.6
1996-04-25,-19.7
1996-04-26,-25.2
1996-04-27,-27.1
1996-04-28,-23.4
1996-04-29,-24.9
1996-04-30,-29.9
1996-05-01,-32.4
1996-05-02,-25.6
1996-05-03,-30.4
1996-05-04,-32.0
1996-05-05,-29.2
1996-05-06,-25.7
1996-05-07,-26.0
1996-05-08,-28.1
1996-05-09,-14.8
1996-05-10,-14.9
1996-05-11,-17.1
1996-05-12,-20.6
1996-05-13,-16.7
1996-05-14,-19.3
1996-05-15,-21.1
1996-05-16,-23.9
1996-05-17,-26.9
1996-05-18,-30.6
1996-05-19,-30.9
1996-05-20,-29.9
1996-05-21,-34.1
1996-05-22,-40.1
1996-05-23,-37.4
1996-05-24,-37.4
1996-05-25,-31.8
1996-05-26,-30.7
1996-05-27,-28.9
1996-05-28,-30.9
1996-05-29,-38.2
1996-05-30,-43.5
1996-05-31,-39.9
1996-06-01,-30.4
1996-06-02,-34.4
1996-06-03,-36.7
1996-06-04,-34.2
1996-06-05,-29.7
1996-06-06,-32.1
1996-06-07,-35.4
1996-06-08,-39.8
1996-06-09,-37.0
1996-06-10,-38.8
1996-06-11,-40.1
1996-06-12,-32.2
1996-06-13,-23.0
1996-06-14,-26.7
1996-06-15,-21.4
1996-06-16,-22.1
1996-06-17,-29.3
1996-06-18,-24.8
1996-06-19,-23.5
1996-06-20,-29.8
1996-06-21,-30.9
1996-06-22,-32.6
1996-06-23,-40.7
1996-06-24,-37.9
1996-06-25,-18.7
1996-06-26,-20.3
1996-06-27,-24.9
1996-06-28,-19.4
1996-06-29,-30.6
1996-06-30,-32.6
1996-07-01,-27.4
1996-07-02,-15.7
1996-07-03,-28.0
1996-07-04,-35.3
1996-07-05,-33.6
1996-07-06,-34.6
1996-07-07,-36.6
1996-07-08,-38.9
1996-07-09,-38.7
1996-07-10,-35.3
1996-07-11,-22.2
1996-07-12,-18.4
1996-07-13,-22.4
