time,temperatura_avg
1959-01-01,3.4
1959-01-02,1.7
1959-01-03,0.9
1959-01-04,-1.4
1959-01-05,-1.1
1959-01-06,-1.1
1959-01-07,2.2
1959-01-08,1.6
1959-01-09,-1.5
1959-01-10,-3.6
1959-01-11,-5.5
1959-01-12,-5.1
1959-01-13,-2.9
1959-01-14,-2.2
1959-01-15,-4.4
1959-01-16,-7.7
1959-01-17,-6.8
1959-01-18,-3.3
1959-01-19,1.2
1959-01-20,-0.6
1959-01-21,1.5
1959-01-22,4.8
1959-01-23,7.3
1959-01-24,
1959-01-25,-0.8
1959-01-26,-1.4
1959-01-27,0.7
1959-01-28,-1.3
1959-01-29,-3.8
1959-01-30,-3.5
1959-01-31,-4.6
1959-02-01,-1.9
1959-02-02,-3.9
1959-02-03,-8.0
1959-02-04,-8.7
1959-02-05,-6.5
1959-02-06,-7.4
1959-02-07,
1959-02-08,-4.9
1959-02-09,-5.6
1959-02-10,-4.1
1959-02-11,-5.4
1959-02-12,-8.1
1959-02-13,-6.2
1959-02-14,-8.9
1959-02-15,-5.1
1959-02-16,0.2
1959-02-17,-0.6
1959-02-18,
1959-02-19,1.6
1959-02-20,2.1
1959-02-21,
1959-02-22,-2.6
1959-02-23,0.7
1959-02-24,3.4
1959-02-25,2.2
1959-02-26,4.3
1959-02-27,6.5
1959-02-28,5.9
1959-03-01,3.3
1959-03-02,5.2
1959-03-03,1.6
1959-03-04,3.6
1959-03-05,6.2
1959-03-06,
1959-03-07,5.8
1959-03-08,6.7
1959-03-09,3.8
1959-03-10,0.1
1959-03-11,0.8
1959-03-12,1.0
1959-03-13,0.5
1959-03-14,-0.1
1959-03-15,-0.1
1959-03-16,1.0
1959-03-17,1.6
1959-03-18,
1959-03-19,5.6
1959-03-20,7.3
1959-03-21,8.4
1959-03-22,8.7
1959-03-23,10.3
1959-03-24,11.3
1959-03-25,9.9
1959-03-26,6.5
1959-03-27,7.9
1959-03-28,7.3
1959-03-29,6.7
1959-03-30,7.3
1959-03-31,7.4
1959-04-01,6.5
1959-04-02,
1959-04-03,8.6
1959-04-04,8.8
1959-04-05,
1959-04-06,8.4
1959-04-07,7.4
1959-04-08,7.7
1959-04-09,11.1
1959-04-10,6.5
1959-04-11,6.8
1959-04-12,7.8
1959-04-13,12.7
1959-04-14,13.4
1959-04-15,14.2
1959-04-16,15.4
1959-04-17,14.4
1959-04-18,13.9
1959-04-19,
1959-04-20,1.0
1959-04-21,2.7
1959-04-22,5.6
1959-04-23,7.3
1959-04-24,7.1
1959-04-25,8.4
1959-04-26,10.5
1959-04-27,10.8
1959-04-28,12.9
1959-04-29,13.7
1959-04-30,14.0
1959-05-01,11.1
1959-05-02,7.3
1959-05-03,7.2
1959-05-04,8.7
1959-05-05,7.6
1959-05-06,10.8
1959-05-07,13.6
1959-05-08,15.4
1959-05-09,17.2
1959-05-10,17.8
1959-05-11,16.4
1959-05-12,13.2
1959-05-13,10.2
1959-05-14,9.5
1959-05-15,11.7
1959-05-16,13.3
1959-05-17,15.5
1959-05-18,15.6
1959-05-19,
1959-05-20,17.1
1959-05-21,14.4
1959-05-22,14.2
1959-05-23,12.2
1959-05-24,12.4
1959-05-25,14.3
1959-05-26,15.6
1959-05-27,10.2
1959-05-28,10.3
1959-05-29,11.2
1959-05-30,11.4
1959-05-31,14.7
1959-06-01,15.3
1959-06-02,13.6
1959-06-03,14.8
1959-06-04,15.1
1959-06-05,16.1
1959-06-06,18.8
1959-06-07,20.5
1959-06-08,20.6
1959-06-09,15.1
1959-06-10,12.6
1959-06-11,10.7
1959-06-12,11.2
1959-06-13,14.5
1959-06-14,16.8
1959-06-15,17.4
1959-06-16,11.6
1959-06-17,15.3
1959-06-18,18.8
1959-06-19,18.2
1959-06-20,17.2
1959-06-21,18.7
1959-06-22,19.1
1959-06-23,17.9
1959-06-24,17.6
1959-06-25,17.7
1959-06-26,
1959-06-27,18.3
1959-06-28,17.4
1959-06-29,14.5
1959-06-30,14.5
1959-07-01,14.7
1959-07-02,14.6
1959-07-03,17.0
1959-07-04,16.1
1959-07-05,17.4
1959-07-06,18.9
1959-07-07,17.8
1959-07-08,20.1
1959-07-09,23.3
1959-07-10,24.6
1959-07-11,25.5
1959-07-12,25.3
1959-07-13,21.9
1959-07-14,
1959-07-15,17.7
1959-07-16,15.6
1959-07-17,15.1
1959-07-18,16.7
1959-07-19,18.4
1959-07-20,19.6
1959-07-21,17.7
1959-07-22,16.2
1959-07-23,15.6
1959-07-24,17.3
1959-07-25,19.7
1959-07-26,19.9
1959-07-27,21.0
1959-07-28,24.1
1959-07-29,19.2
1959-07-30,15.8
1959-07-31,15.2
1959-08-01,15.3
1959-08-02,16.1
1959-08-03,15.3
1959-08-04,
1959-08-05,16.2
1959-08-06,15.3
1959-08-07,16.7
1959-08-08,18.9
1959-08-09,18.8
1959-08-10,20.9
1959-08-11,20.6
1959-08-12,19.8
1959-08-13,18.8
1959-08-14,19.0
1959-08-15,19.6
1959-08-16,
1959-08-17,13.6
1959-08-18,15.8
1959-08-19,17.8
1959-08-20,19.1
1959-08-21,20.3
1959-08-22,20.6
1959-08-23,21.2
1959-08-24,21.8
1959-08-25,21.5
1959-08-26,21.9
1959-08-27,15.9
1959-08-28,15.3
1959-08-29,13.1
1959-08-30,
1959-08-31,11.7
1959-09-01,12.0
1959-09-02,11.8
1959-09-03,13.1
1959-09-04,14.4
1959-09-05,14.7
1959-09-06,14.1
1959-09-07,12.8
1959-09-08,13.1
1959-09-09,14.8
1959-09-10,15.1
1959-09-11,15.4
1959-09-12,16.4
1959-09-13,17.4
1959-09-14,13.5
1959-09-15,14.6
1959-09-16,14.1
1959-09-17,10.2
1959-09-18,9.9
1959-09-19,10.3
1959-09-20,12.3
1959-09-21,14.2
1959-09-22,16.7
1959-09-23,15.6
1959-09-24,12.9
1959-09-25,11.4
1959-09-26,10.5
1959-09-27,12.1
1959-09-28,9.1
1959-09-29,7.2
1959-09-30,6.5
1959-10-01,8.9
1959-10-02,11.5
1959-10-03,12.4
1959-10-04,10.9
1959-10-05,5.6
1959-10-06,6.1
1959-10-07,7.6
1959-10-08,9.3
1959-10-09,10.2
1959-10-10,8.7
1959-10-11,6.9
1959-10-12,6.9
1959-10-13,6.1
1959-10-14,6.2
1959-10-15,5.6
1959-10-16,5.8
1959-10-17,7.2
1959-10-18,9.5
1959-10-19,9.8
1959-10-20,9.9
1959-10-21,9.3
1959-10-22,8.5
1959-10-23,8.1
1959-10-24,7.6
1959-10-25,8.4
1959-10-26,5.9
1959-10-27,8.1
1959-10-28,10.2
1959-10-29,7.4
1959-10-30,4.1
1959-10-31,4.6
1959-11-01,5.9
1959-11-02,5.6
1959-11-03,2.2
1959-11-04,
1959-11-05,2.9
1959-11-06,2.9
1959-11-07,1.9
1959-11-08,
1959-11-09,2.0
1959-11-10,1.6
1959-11-11,3.1
1959-11-12,2.2
1959-11-13,5.4
1959-11-14,6.4
1959-11-15,
1959-11-16,
1959-11-17,4.2
1959-11-18,3.7
1959-11-19,2.3
1959-11-20,4.6
1959-11-21,7.2
1959-11-22,5.3
1959-11-23,0.5
1959-11-24,-2.4
1959-11-25,-3.9
1959-11-26,-1.9
1959-11-27,-1.1
1959-11-28,1.4
1959-11-29,2.1
1959-11-30,5.0
1959-12-01,6.1
1959-12-02,1.4
1959-12-03,
1959-12-04,1.7
1959-12-05,
1959-12-06,1.4
1959-12-07,1.4
1959-12-08,1.2
1959-12-09,
1959-12-10,-4.2
1959-12-11,1.4
1959-12-12,
1959-12-13,-2.3
1959-12-14,-2.3
1959-12-15,-2.4
1959-12-16,-3.5
1959-12-17,-2.8
1959-12-18,2.1
1959-12-19,1.9
1959-12-20,1.7
1959-12-21,
1959-12-22,
1959-12-23,1.0
1959-12-24,
1959-12-25,2.2
1959-12-26,5.5
1959-12-27,5.7
1959-12-28,4.8
1959-12-29,3.0
1959-12-30,5.0
1959-12-31,4.0
