time,temperatura_avg
1999-01-01,2.5
1999-01-02,4.5
1999-01-03,3.5
1999-01-04,-0.1
1999-01-05,-1.8
1999-01-06,1.0
1999-01-07,-0.2
1999-01-08,-1.6
1999-01-09,-0.8
1999-01-10,
1999-01-11,0.9
1999-01-12,0.8
1999-01-13,-3.7
1999-01-14,-3.9
1999-01-15,-2.0
1999-01-16,-0.3
1999-01-17,-3.7
1999-01-18,-5.6
1999-01-19,-3.8
1999-01-20,-3.4
1999-01-21,-2.4
1999-01-22,0.8
1999-01-23,1.1
1999-01-24,1.1
1999-01-25,1.2
1999-01-26,-1.1
1999-01-27,0.9
1999-01-28,1.3
1999-01-29,4.5
1999-01-30,2.8
1999-01-31,7.2
1999-02-01,6.2
1999-02-02,1.9
1999-02-03,0.3
1999-02-04,-3.4
1999-02-05,-3.4
1999-02-06,-6.5
1999-02-07,-7.3
1999-02-08,-8.3
1999-02-09,-2.4
1999-02-10,2.4
1999-02-11,4.6
1999-02-12,3.8
1999-02-13,1.8
1999-02-14,1.6
1999-02-15,-1.8
1999-02-16,-5.9
1999-02-17,-4.5
1999-02-18,-0.3
1999-02-19,-5.3
1999-02-20,-2.8
1999-02-21,-2.4
1999-02-22,-4.7
1999-02-23,-0.4
1999-02-24,4.2
1999-02-25,1.0
1999-02-26,-1.5
1999-02-27,-1.7
1999-02-28,-2.3
1999-03-01,-1.8
1999-03-02,-0.7
1999-03-03,-2.1
1999-03-04,-3.3
1999-03-05,-4.1
1999-03-06,0.5
1999-03-07,1.1
1999-03-08,-0.3
1999-03-09,-0.2
1999-03-10,-1.8
1999-03-11,-1.3
1999-03-12,2.4
1999-03-13,0.4
1999-03-14,-1.8
1999-03-15,-1.5
1999-03-16,-0.8
1999-03-17,2.2
1999-03-18,-3.0
1999-03-19,-2.5
1999-03-20,1.3
1999-03-21,-1.3
1999-03-22,-1.6
1999-03-23,-1.5
1999-03-24,-1.4
1999-03-25,-1.3
1999-03-26,-0.2
1999-03-27,-2.3
1999-03-28,2.1
1999-03-29,1.1
1999-03-30,-4.1
1999-03-31,-5.1
1999-04-01,-1.8
1999-04-02,0.2
1999-04-03,3.5
1999-04-04,6.4
1999-04-05,7.2
1999-04-06,6.6
1999-04-07,5.7
1999-04-08,3.8
1999-04-09,3.1
1999-04-10,2.8
1999-04-11,1.4
1999-04-12,-4.8
1999-04-13,-3.7
1999-04-14,-2.2
1999-04-15,-1.1
1999-04-16,-3.6
1999-04-17,-2.6
1999-04-18,-1.0
1999-04-19,4.7
1999-04-20,3.1
1999-04-21,2.7
1999-04-22,3.3
1999-04-23,4.3
1999-04-24,4.6
1999-04-25,7.8
1999-04-26,8.5
1999-04-27,7.2
1999-04-28,5.4
1999-04-29,4.7
1999-04-30,4.3
1999-05-01,3.8
1999-05-02,5.4
1999-05-03,5.2
1999-05-04,8.6
1999-05-05,9.4
1999-05-06,8.8
1999-05-07,9.5
1999-05-08,8.2
1999-05-09,6.2
1999-05-10,6.7
1999-05-11,6.2
1999-05-12,7.3
1999-05-13,5.7
1999-05-14,5.2
1999-05-15,7.6
1999-05-16,9.1
1999-05-17,6.4
1999-05-18,6.2
1999-05-19,6.8
1999-05-20,3.7
1999-05-21,5.2
1999-05-22,3.4
1999-05-23,4.1
1999-05-24,5.1
1999-05-25,6.3
1999-05-26,6.8
1999-05-27,7.2
1999-05-28,6.5
1999-05-29,7.2
1999-05-30,7.8
1999-05-31,8.5
1999-06-01,8.0
1999-06-02,8.6
1999-06-03,7.8
1999-06-04,8.8
1999-06-05,7.7
1999-06-06,7.6
1999-06-07,8.0
1999-06-08,7.3
1999-06-09,10.2
1999-06-10,10.4
1999-06-11,11.7
1999-06-12,9.6
1999-06-13,8.7
1999-06-14,7.8
1999-06-15,6.2
1999-06-16,6.6
1999-06-17,7.8
1999-06-18,6.7
1999-06-19,7.0
1999-06-20,7.8
1999-06-21,8.1
1999-06-22,9.2
1999-06-23,9.4
1999-06-24,7.2
1999-06-25,7.6
1999-06-26,9.4
1999-06-27,11.4
1999-06-28,12.5
1999-06-29,12.1
1999-06-30,14.1
1999-07-01,11.5
1999-07-02,9.7
1999-07-03,10.4
1999-07-04,11.2
1999-07-05,11.1
1999-07-06,11.4
