time,temperatura_avg
1991-01-01,
1991-01-02,21.4
1991-01-03,22.0
1991-01-04,20.0
1991-01-05,19.8
1991-01-06,22.4
1991-01-07,21.4
1991-01-08,21.3
1991-01-09,23.1
1991-01-10,23.3
1991-01-11,21.4
1991-01-12,22.7
1991-01-13,23.1
1991-01-14,21.8
1991-01-15,20.1
1991-01-16,20.6
1991-01-17,18.7
1991-01-18,17.6
1991-01-19,19.0
1991-01-20,16.4
1991-01-21,19.0
1991-01-22,
1991-01-23,21.3
1991-01-24,22.4
1991-01-25,21.1
1991-01-26,19.3
1991-01-27,19.4
1991-01-28,18.0
1991-01-29,17.6
1991-01-30,
1991-01-31,20.4
1991-02-01,17.8
1991-02-02,17.4
1991-02-03,
1991-02-04,21.0
1991-02-05,
1991-02-06,21.9
1991-02-07,21.7
1991-02-08,20.2
1991-02-09,19.4
1991-02-10,21.6
1991-02-11,
1991-02-12,21.3
1991-02-13,20.4
1991-02-14,19.5
1991-02-15,
1991-02-16,20.7
1991-02-17,20.7
1991-02-18,19.5
1991-02-19,19.2
1991-02-20,19.6
1991-02-21,
1991-02-22,22.1
1991-02-23,21.1
1991-02-24,
1991-02-25,22.3
1991-02-26,23.1
1991-02-27,22.7
1991-02-28,19.3
1991-03-01,16.6
1991-03-02,18.0
1991-03-03,20.9
1991-03-04,21.2
1991-03-05,20.4
1991-03-06,17.6
1991-03-07,16.1
1991-03-08,17.4
1991-03-09,20.4
1991-03-10,22.0
1991-03-11,21.8
1991-03-12,18.8
1991-03-13,17.0
1991-03-14,16.5
1991-03-15,14.7
1991-03-16,15.8
1991-03-17,15.9
1991-03-18,15.3
1991-03-19,17.0
1991-03-20,17.9
1991-03-21,19.1
1991-03-22,17.3
1991-03-23,
1991-03-24,19.5
1991-03-25,20.7
1991-03-26,17.5
1991-03-27,17.5
1991-03-28,16.7
1991-03-29,15.8
1991-03-30,16.4
1991-03-31,17.1
1991-04-01,18.5
1991-04-02,16.9
1991-04-03,19.3
1991-04-04,17.4
1991-04-05,17.4
1991-04-06,17.1
1991-04-07,17.5
1991-04-08,16.4
1991-04-09,16.0
1991-04-10,14.2
1991-04-11,16.7
1991-04-12,17.6
1991-04-13,17.2
1991-04-14,17.4
1991-04-15,15.6
1991-04-16,14.7
1991-04-17,12.1
1991-04-18,10.9
1991-04-19,13.9
1991-04-20,13.1
1991-04-21,9.8
1991-04-22,11.8
1991-04-23,13.9
1991-04-24,
1991-04-25,15.6
1991-04-26,14.6
1991-04-27,13.8
1991-04-28,14.5
1991-04-29,12.9
1991-04-30,14.1
1991-05-01,12.9
1991-05-02,13.6
1991-05-03,10.8
1991-05-04,10.5
1991-05-05,11.2
1991-05-06,11.7
1991-05-07,12.7
1991-05-08,10.0
1991-05-09,10.6
1991-05-10,13.4
1991-05-11,13.1
1991-05-12,12.3
1991-05-13,12.1
1991-05-14,12.9
1991-05-15,13.3
1991-05-16,13.4
1991-05-17,13.4
1991-05-18,13.3
1991-05-19,11.8
1991-05-20,12.2
1991-05-21,11.9
1991-05-22,13.2
1991-05-23,11.4
1991-05-24,12.6
1991-05-25,12.2
1991-05-26,12.6
1991-05-27,14.4
1991-05-28,16.2
1991-05-29,15.9
1991-05-30,
1991-05-31,14.7
1991-06-01,13.1
1991-06-02,10.2
1991-06-03,11.7
1991-06-04,10.3
1991-06-05,8.8
1991-06-06,7.2
1991-06-07,7.0
1991-06-08,
1991-06-09,9.4
1991-06-10,10.1
1991-06-11,
1991-06-12,
1991-06-13,11.9
1991-06-14,12.9
1991-06-15,11.7
1991-06-16,11.8
1991-06-17,11.2
1991-06-18,
1991-06-19,7.7
1991-06-20,6.9
1991-06-21,5.8
1991-06-22,5.6
1991-06-23,5.3
1991-06-24,
1991-06-25,8.4
1991-06-26,10.4
1991-06-27,7.7
1991-06-28,8.5
1991-06-29,9.8
1991-06-30,9.1
1991-07-01,7.1
1991-07-02,7.9
1991-07-03,6.3
1991-07-04,8.9
1991-07-05,6.3
1991-07-06,7.0
1991-07-07,8.8
1991-07-08,10.9
1991-07-09,12.8
1991-07-10,10.2
1991-07-11,8.0
1991-07-12,5.9
1991-07-13,8.8
1991-07-14,9.3
1991-07-15,9.1
1991-07-16,9.1
1991-07-17,9.9
1991-07-18,8.2
1991-07-19,10.3
1991-07-20,8.4
1991-07-21,4.9
1991-07-22,
1991-07-23,
1991-07-24,
1991-07-25,7.3
1991-07-26,7.0
1991-07-27,8.3
1991-07-28,7.5
1991-07-29,8.9
1991-07-30,6.1
1991-07-31,4.5
1991-08-01,4.9
1991-08-02,7.3
1991-08-03,4.2
1991-08-04,7.3
1991-08-05,5.1
1991-08-06,4.5
1991-08-07,6.0
1991-08-08,4.5
1991-08-09,
1991-08-10,
1991-08-11,
1991-08-12,7.5
1991-08-13,10.7
1991-08-14,
1991-08-15,
1991-08-16,8.9
1991-08-17,10.8
1991-08-18,7.6
1991-08-19,8.7
1991-08-20,9.8
1991-08-21,7.6
1991-08-22,
1991-08-23,10.9
1991-08-24,10.4
1991-08-25,
1991-08-26,
1991-08-27,7.8
1991-08-28,7.9
1991-08-29,10.2
1991-08-30,11.9
1991-08-31,11.3
1991-09-01,11.6
1991-09-02,10.8
1991-09-03,11.2
1991-09-04,11.8
1991-09-05,10.2
1991-09-06,8.9
1991-09-07,
1991-09-08,
1991-09-09,13.8
1991-09-10,
1991-09-11,
1991-09-12,15.4
1991-09-13,
1991-09-14,
1991-09-15,11.7
1991-09-16,10.3
1991-09-17,
1991-09-18,11.6
1991-09-19,
1991-09-20,11.9
1991-09-21,11.9
1991-09-22,11.3
1991-09-23,13.3
1991-09-24,
1991-09-25,13.6
1991-09-26,13.4
1991-09-27,14.6
1991-09-28,12.7
1991-09-29,
1991-09-30,
1991-10-01,11.8
1991-10-02,11.4
1991-10-03,
1991-10-04,13.3
1991-10-05,10.3
1991-10-06,
1991-10-07,13.4
1991-10-08,12.1
1991-10-09,
1991-10-10,13.1
1991-10-11,11.6
1991-10-12,
1991-10-13,12.6
1991-10-14,7.2
1991-10-15,
1991-10-16,7.7
1991-10-17,
1991-10-18,
1991-10-19,
1991-10-20,17.4
1991-10-21,15.3
1991-10-22,12.5
1991-10-23,
1991-10-24,
1991-10-25,
1991-10-26,
1991-10-27,22.4
1991-10-28,17.4
1991-10-29,
1991-10-30,17.1
1991-10-31,15.8
1991-11-01,
1991-11-02,
1991-11-03,
1991-11-04,14.7
1991-11-05,
1991-11-06,
1991-11-07,16.9
1991-11-08,
1991-11-09,
1991-11-10,
1991-11-11,16.3
1991-11-12,11.9
1991-11-13,
1991-11-14,15.3
1991-11-15,16.2
1991-11-16,14.6
1991-11-17,15.8
1991-11-18,17.9
1991-11-19,20.2
1991-11-20,20.7
1991-11-21,20.5
1991-11-22,15.6
1991-11-23,14.7
1991-11-24,16.3
1991-11-25,
1991-11-26,18.8
1991-11-27,19.8
1991-11-28,19.2
1991-11-29,
1991-11-30,21.3
1991-12-01,23.2
1991-12-02,
1991-12-03,19.3
1991-12-04,17.1
1991-12-05,20.0
1991-12-06,19.9
1991-12-07,19.0
1991-12-08,18.0
1991-12-09,15.2
1991-12-10,11.4
1991-12-11,10.1
1991-12-12,15.6
1991-12-13,15.3
1991-12-14,18.1
1991-12-15,
1991-12-16,19.7
1991-12-17,20.3
1991-12-18,
