time,temperatura_avg
1973-01-01,21.8
1973-01-02,24.6
1973-01-03,24.0
1973-01-04,20.6
1973-01-05,20.8
1973-01-06,23.2
1973-01-07,20.6
1973-01-08,22.8
1973-01-09,21.3
1973-01-10,20.3
1973-01-11,21.0
1973-01-12,24.7
1973-01-13,22.5
1973-01-14,22.2
1973-01-15,23.7
1973-01-16,
1973-01-17,23.2
1973-01-18,23.2
1973-01-19,
1973-01-20,24.0
1973-01-21,24.7
1973-01-22,25.7
1973-01-23,24.8
1973-01-24,24.6
1973-01-25,25.2
1973-01-26,23.3
1973-01-27,21.8
1973-01-28,21.2
1973-01-29,24.7
1973-01-30,24.8
1973-01-31,22.0
1973-02-01,23.0
1973-02-02,26.7
1973-02-03,27.3
1973-02-04,26.5
1973-02-05,30.2
1973-02-06,23.3
1973-02-07,17.4
1973-02-08,17.8
1973-02-09,21.8
1973-02-10,18.8
1973-02-11,19.2
1973-02-12,20.8
1973-02-13,20.6
1973-02-14,21.2
1973-02-15,21.8
1973-02-16,21.7
1973-02-17,22.0
1973-02-18,22.3
1973-02-19,24.0
1973-02-20,23.5
1973-02-21,
1973-02-22,
1973-02-23,
1973-02-24,
1973-02-25,20.5
1973-02-26,21.8
1973-02-27,23.8
1973-02-28,24.2
1973-03-01,22.0
1973-03-02,23.5
1973-03-03,23.8
1973-03-04,22.6
1973-03-05,21.3
1973-03-06,21.2
1973-03-07,25.0
1973-03-08,24.8
1973-03-09,23.4
1973-03-10,22.0
1973-03-11,22.4
1973-03-12,24.7
1973-03-13,20.5
1973-03-14,17.8
1973-03-15,20.0
1973-03-16,22.6
1973-03-17,23.0
1973-03-18,26.2
1973-03-19,21.4
1973-03-20,21.5
1973-03-21,21.3
1973-03-22,18.6
1973-03-23,17.4
1973-03-24,19.0
1973-03-25,19.0
1973-03-26,20.0
1973-03-27,22.5
1973-03-28,23.7
1973-03-29,19.8
1973-03-30,17.6
1973-03-31,16.2
1973-04-01,16.8
1973-04-02,19.8
1973-04-03,21.5
1973-04-04,19.0
1973-04-05,22.3
1973-04-06,20.8
1973-04-07,19.0
1973-04-08,20.5
1973-04-09,19.0
1973-04-10,18.4
1973-04-11,17.2
1973-04-12,17.3
1973-04-13,16.0
1973-04-14,19.0
1973-04-15,21.5
1973-04-16,19.2
1973-04-17,19.7
1973-04-18,20.0
1973-04-19,20.7
1973-04-20,16.5
1973-04-21,17.5
1973-04-22,17.0
1973-04-23,15.0
1973-04-24,17.8
1973-04-25,19.2
1973-04-26,22.0
1973-04-27,23.2
1973-04-28,20.0
1973-04-29,18.8
1973-04-30,20.6
1973-05-01,16.8
1973-05-02,16.7
1973-05-03,16.0
1973-05-04,15.8
1973-05-05,17.8
1973-05-06,19.7
1973-05-07,20.0
1973-05-08,15.6
1973-05-09,17.0
1973-05-10,17.8
1973-05-11,15.2
1973-05-12,15.8
1973-05-13,12.0
1973-05-14,18.5
1973-05-15,12.5
1973-05-16,14.5
1973-05-17,11.4
1973-05-18,
1973-05-19,12.0
1973-05-20,13.8
1973-05-21,12.7
1973-05-22,13.5
1973-05-23,14.7
1973-05-24,16.2
1973-05-25,15.8
1973-05-26,16.3
1973-05-27,13.8
1973-05-28,13.3
1973-05-29,15.5
1973-05-30,13.4
1973-05-31,13.6
1973-06-01,18.3
1973-06-02,14.2
1973-06-03,10.5
1973-06-04,8.6
1973-06-05,10.0
1973-06-06,9.8
1973-06-07,9.7
1973-06-08,10.0
1973-06-09,11.2
1973-06-10,9.6
1973-06-11,13.0
1973-06-12,12.0
1973-06-13,13.6
1973-06-14,15.4
1973-06-15,13.2
1973-06-16,
1973-06-17,11.8
1973-06-18,14.4
1973-06-19,13.0
1973-06-20,14.6
1973-06-21,16.6
1973-06-22,
1973-06-23,15.5
1973-06-24,19.2
1973-06-25,14.8
1973-06-26,9.6
1973-06-27,11.7
1973-06-28,12.6
1973-06-29,15.8
1973-06-30,16.7
1973-07-01,14.3
1973-07-02,11.6
1973-07-03,15.3
1973-07-04,14.5
1973-07-05,14.5
1973-07-06,
1973-07-07,15.8
1973-07-08,15.4
1973-07-09,14.3
1973-07-10,13.0
1973-07-11,
1973-07-12,
1973-07-13,
1973-07-14,
1973-07-15,
1973-07-16,16.4
1973-07-17,11.8
1973-07-18,9.5
1973-07-19,9.6
1973-07-20,12.4
1973-07-21,13.2
1973-07-22,11.5
1973-07-23,13.8
1973-07-24,12.7
1973-07-25,12.7
1973-07-26,14.8
1973-07-27,14.6
1973-07-28,10.4
1973-07-29,11.6
1973-07-30,11.4
1973-07-31,16.3
1973-08-01,11.2
1973-08-02,11.4
1973-08-03,11.2
1973-08-04,13.4
1973-08-05,16.2
1973-08-06,17.8
1973-08-07,19.8
1973-08-08,12.2
1973-08-09,11.8
1973-08-10,10.3
1973-08-11,9.3
1973-08-12,10.6
1973-08-13,11.5
1973-08-14,12.5
1973-08-15,11.2
1973-08-16,14.2
1973-08-17,11.8
1973-08-18,11.0
1973-08-19,12.3
1973-08-20,12.8
1973-08-21,10.7
1973-08-22,12.6
1973-08-23,12.2
1973-08-24,12.5
1973-08-25,
1973-08-26,15.6
1973-08-27,15.0
1973-08-28,15.6
1973-08-29,13.5
1973-08-30,13.4
1973-08-31,14.0
1973-09-01,18.5
1973-09-02,13.6
1973-09-03,14.8
1973-09-04,13.8
1973-09-05,15.0
1973-09-06,14.5
1973-09-07,16.7
1973-09-08,14.8
1973-09-09,16.5
1973-09-10,16.5
1973-09-11,18.7
1973-09-12,18.3
1973-09-13,18.0
1973-09-14,16.4
1973-09-15,13.0
1973-09-16,13.4
1973-09-17,14.2
1973-09-18,14.7
1973-09-19,15.4
1973-09-20,12.8
1973-09-21,16.0
1973-09-22,15.7
1973-09-23,16.4
1973-09-24,17.6
1973-09-25,18.8
1973-09-26,18.8
1973-09-27,17.3
1973-09-28,16.8
1973-09-29,18.8
1973-09-30,26.0
1973-10-01,13.6
1973-10-02,14.4
1973-10-03,14.8
1973-10-04,23.2
1973-10-05,17.0
1973-10-06,15.7
1973-10-07,18.2
1973-10-08,19.6
1973-10-09,19.3
1973-10-10,15.5
1973-10-11,16.5
1973-10-12,14.3
1973-10-13,
1973-10-14,17.2
1973-10-15,18.8
1973-10-16,24.4
1973-10-17,21.0
1973-10-18,23.3
1973-10-19,25.0
1973-10-20,21.0
1973-10-21,15.8
1973-10-22,15.5
1973-10-23,14.4
1973-10-24,17.7
1973-10-25,19.0
