time,temperatura_avg
1991-01-01,6.3
1991-01-02,8.8
1991-01-03,7.4
1991-01-04,7.1
1991-01-05,5.9
1991-01-06,4.7
1991-01-07,5.4
1991-01-08,5.8
1991-01-09,6.6
1991-01-10,7.9
1991-01-11,8.1
1991-01-12,3.2
1991-01-13,5.8
1991-01-14,6.8
1991-01-15,4.6
1991-01-16,6.3
1991-01-17,6.6
1991-01-18,6.0
1991-01-19,7.9
1991-01-20,7.7
1991-01-21,5.4
1991-01-22,7.2
1991-01-23,3.6
1991-01-24,5.1
1991-01-25,8.7
1991-01-26,6.3
1991-01-27,6.1
1991-01-28,4.3
1991-01-29,5.4
1991-01-30,5.4
1991-01-31,6.4
1991-02-01,6.8
1991-02-02,5.4
1991-02-03,6.4
1991-02-04,6.5
1991-02-05,5.3
1991-02-06,6.4
1991-02-07,6.9
1991-02-08,5.1
1991-02-09,6.6
1991-02-10,5.4
1991-02-11,9.4
1991-02-12,8.1
1991-02-13,7.4
1991-02-14,9.1
1991-02-15,7.8
1991-02-16,10.3
1991-02-17,5.3
1991-02-18,5.1
1991-02-19,4.6
1991-02-20,4.0
1991-02-21,6.1
1991-02-22,5.7
1991-02-23,3.8
1991-02-24,3.2
1991-02-25,4.6
1991-02-26,7.5
1991-02-27,9.4
1991-02-28,12.7
1991-03-01,5.3
1991-03-02,6.7
1991-03-03,6.9
1991-03-04,10.6
1991-03-05,11.8
1991-03-06,12.4
1991-03-07,11.4
1991-03-08,4.9
1991-03-09,9.7
1991-03-10,10.2
1991-03-11,4.7
1991-03-12,8.9
1991-03-13,8.1
1991-03-14,3.9
1991-03-15,6.9
1991-03-16,4.9
1991-03-17,9.0
1991-03-18,9.5
1991-03-19,13.3
1991-03-20,17.8
1991-03-21,8.6
1991-03-22,7.1
1991-03-23,12.8
1991-03-24,15.7
1991-03-25,10.7
1991-03-26,14.1
1991-03-27,8.4
1991-03-28,8.8
1991-03-29,10.4
1991-03-30,12.9
1991-03-31,8.9
1991-04-01,5.8
1991-04-02,7.3
1991-04-03,10.3
1991-04-04,13.1
1991-04-05,14.2
1991-04-06,16.0
1991-04-07,12.1
1991-04-08,11.4
1991-04-09,19.2
1991-04-10,16.4
1991-04-11,17.5
1991-04-12,15.6
1991-04-13,16.6
1991-04-14,16.7
1991-04-15,16.5
1991-04-16,18.9
1991-04-17,20.1
1991-04-18,16.2
1991-04-19,15.1
1991-04-20,16.1
1991-04-21,16.2
1991-04-22,16.1
1991-04-23,17.6
1991-04-24,16.4
1991-04-25,13.6
1991-04-26,19.4
1991-04-27,16.4
1991-04-28,17.7
