time,temperatura_avg
2010-01-01,-4.0
2010-01-02,-13.1
2010-01-03,-12.0
2010-01-04,-9.4
2010-01-05,-7.0
2010-01-06,-5.4
2010-01-07,-4.3
2010-01-08,-8.7
2010-01-09,-11.3
2010-01-10,-6.9
2010-01-11,-4.9
2010-01-12,-5.8
2010-01-13,-2.2
2010-01-14,0.8
2010-01-15,3.5
2010-01-16,1.2
2010-01-17,1.3
2010-01-18,0.7
2010-01-19,0.2
2010-01-20,-3.2
2010-01-21,-2.5
2010-01-22,0.7
2010-01-23,-0.6
2010-01-24,3.9
2010-01-25,4.6
2010-01-26,0.4
2010-01-27,-2.5
2010-01-28,-8.4
2010-01-29,-13.3
2010-01-30,-13.4
2010-01-31,-7.3
2010-02-01,-5.5
2010-02-02,-4.2
2010-02-03,-1.4
2010-02-04,-2.5
2010-02-05,-2.7
2010-02-06,-7.8
2010-02-07,-6.6
2010-02-08,-4.1
2010-02-09,-5.0
2010-02-10,-4.3
2010-02-11,-4.0
2010-02-12,-3.3
2010-02-13,-4.7
2010-02-14,-1.5
2010-02-15,-1.6
2010-02-16,-1.2
2010-02-17,-0.6
2010-02-18,0.3
2010-02-19,1.9
2010-02-20,1.7
2010-02-21,0.8
2010-02-22,-0.8
2010-02-23,0.5
2010-02-24,-0.6
2010-02-25,-4.1
2010-02-26,-2.2
2010-02-27,2.2
2010-02-28,3.4
2010-03-01,2.0
2010-03-02,1.4
2010-03-03,2.6
2010-03-04,1.5
2010-03-05,1.2
2010-03-06,3.7
2010-03-07,6.4
2010-03-08,8.6
2010-03-09,7.8
2010-03-10,5.6
2010-03-11,8.8
2010-03-12,6.3
2010-03-13,5.9
2010-03-14,5.3
2010-03-15,8.1
2010-03-16,10.4
2010-03-17,11.1
2010-03-18,13.1
2010-03-19,11.3
2010-03-20,4.0
2010-03-21,2.7
2010-03-22,5.5
2010-03-23,3.4
2010-03-24,7.5
2010-03-25,4.3
2010-03-26,-2.7
2010-03-27,0.2
2010-03-28,5.2
2010-03-29,6.3
2010-03-30,7.0
2010-03-31,9.5
2010-04-01,12.8
2010-04-02,17.5
2010-04-03,16.8
2010-04-04,13.4
2010-04-05,17.6
2010-04-06,11.8
2010-04-07,12.5
2010-04-08,8.1
2010-04-09,3.7
2010-04-10,7.4
2010-04-11,11.1
2010-04-12,9.9
2010-04-13,10.7
2010-04-14,11.4
2010-04-15,14.4
2010-04-16,14.1
2010-04-17,6.4
2010-04-18,10.1
2010-04-19,11.3
2010-04-20,12.1
2010-04-21,11.6
2010-04-22,8.3
2010-04-23,8.2
2010-04-24,12.2
2010-04-25,11.5
2010-04-26,11.9
2010-04-27,7.5
2010-04-28,9.7
2010-04-29,12.7
2010-04-30,15.9
2010-05-01,17.6
2010-05-02,19.4
2010-05-03,20.2
2010-05-04,18.2
2010-05-05,18.5
2010-05-06,12.2
2010-05-07,10.3
2010-05-08,7.5
2010-05-09,6.3
2010-05-10,8.3
2010-05-11,8.5
2010-05-12,8.5
2010-05-13,8.2
2010-05-14,15.0
2010-05-15,12.1
2010-05-16,14.8
2010-05-17,15.9
2010-05-18,16.6
2010-05-19,18.3
2010-05-20,20.5
2010-05-21,18.3
2010-05-22,18.6
2010-05-23,20.1
2010-05-24,21.9
2010-05-25,23.1
2010-05-26,25.1
2010-05-27,25.0
2010-05-28,22.6
2010-05-29,22.7
2010-05-30,22.1
2010-05-31,22.1
2010-06-01,23.9
2010-06-02,21.7
2010-06-03,19.1
2010-06-04,19.9
2010-06-05,21.5
2010-06-06,15.7
2010-06-07,15.9
2010-06-08,15.7
2010-06-09,14.5
2010-06-10,17.3
2010-06-11,18.8
2010-06-12,17.2
2010-06-13,19.4
2010-06-14,21.6
2010-06-15,19.1
2010-06-16,20.9
2010-06-17,19.2
2010-06-18,20.4
2010-06-19,24.2
2010-06-20,23.5
2010-06-21,21.9
2010-06-22,21.9
2010-06-23,23.5
2010-06-24,23.3
2010-06-25,21.3
2010-06-26,19.8
2010-06-27,20.9
2010-06-28,24.2
2010-06-29,17.0
2010-06-30,16.0
2010-07-01,17.4
2010-07-02,19.5
2010-07-03,22.3
2010-07-04,23.9
2010-07-05,27.8
2010-07-06,28.1
2010-07-07,28.1
2010-07-08,29.4
2010-07-09,23.2
2010-07-10,23.7
2010-07-11,23.2
2010-07-12,23.5
2010-07-13,25.0
2010-07-14,24.6
2010-07-15,24.9
2010-07-16,27.0
2010-07-17,25.1
2010-07-18,22.5
2010-07-19,23.6
2010-07-20,23.2
2010-07-21,25.4
2010-07-22,24.0
2010-07-23,24.5
2010-07-24,23.9
2010-07-25,23.1
2010-07-26,23.3
2010-07-27,23.4
2010-07-28,25.8
2010-07-29,21.6
2010-07-30,20.3
2010-07-31,20.3
2010-08-01,22.2
2010-08-02,23.2
2010-08-03,25.9
2010-08-04,26.8
2010-08-05,26.0
2010-08-06,19.7
2010-08-07,18.7
2010-08-08,22.6
2010-08-09,24.2
2010-08-10,25.5
2010-08-11,24.7
2010-08-12,24.4
2010-08-13,23.7
2010-08-14,23.6
2010-08-15,26.2
2010-08-16,23.8
2010-08-17,22.8
2010-08-18,20.8
2010-08-19,22.6
2010-08-20,18.8
2010-08-21,21.7
2010-08-22,21.1
2010-08-23,19.7
2010-08-24,20.3
2010-08-25,21.4
2010-08-26,18.1
2010-08-27,17.9
2010-08-28,22.0
2010-08-29,23.4
2010-08-30,26.6
2010-08-31,26.7
2010-09-01,26.7
2010-09-02,26.2
2010-09-03,21.4
2010-09-04,14.9
2010-09-05,15.7
2010-09-06,16.2
2010-09-07,21.4
2010-09-08,17.3
2010-09-09,15.2
2010-09-10,16.0
2010-09-11,15.9
2010-09-12,17.7
2010-09-13,18.7
2010-09-14,16.1
2010-09-15,14.5
2010-09-16,13.5
2010-09-17,13.3
2010-09-18,16.5
2010-09-19,15.5
2010-09-20,13.9
2010-09-21,18.1
2010-09-22,18.2
2010-09-23,15.6
2010-09-24,23.8
2010-09-25,13.7
2010-09-26,12.7
2010-09-27,13.4
2010-09-28,16.7
